file_name,formula,space_group,value_per_atom
3_Mn4Sb2,Mn4Sb2,I4_1/amd,0.4959808317815088
15_CuNb,CuNb,P4/mmm,0.2119333832970964
20_Sr6Br4,Sr6Br4,R-3c,-1.1928946056775946
22_RhGe3,RhGe3,Imm2,-0.0905160589754983
24_Cu2Ga2,Cu2Ga2,Pmma,-0.0461503759196872
38_SbP,SbP,Fm-3m,-0.0401790750342963
44_NiPt,NiPt,P-6m2,-0.0435195877614695
52_Ca4Ta2,Ca4Ta2,I4/mcm,0.53492339105963
60_CuMn3,CuMn3,I4/mmm,0.2690644181336781
74_SmSb,SmSb,P-6m2,-1.3450050363071764
75_Fe8Pt,Fe8Pt,I4/mmm,-0.0521674073461721
81_Mo2As,Mo2As,Fmmm,0.430459223416058
86_Ni2Sb2,Ni2Sb2,P4/nmm,-0.0582208439969926
88_Ag2Al2,Ag2Al2,I4_1/amd,-0.0094356971058457
89_Ba2Ge2,Ba2Ge2,Pmmn,-0.1168555505437622
90_IrSn,IrSn,P4/mmm,-0.0646903528158198
94_Al2Pd2,Al2Pd2,P4/nmm,-0.7411901811862194
103_Fe2Pt,Fe2Pt,P4/mmm,0.98433841365906
108_Fe2Pb2,Fe2Pb2,Cmcm,0.4067883133950829
109_V2Br2,V2Br2,P4/nmm,-0.1510803872846198
115_CrRh2,CrRh2,I4/mmm,-0.0464562337250219
119_IrP,IrP,R-3m,-0.126183099143863
122_Na2Pt,Na2Pt,P4/mmm,-0.1094687629154324
125_Nb4I16,Nb4I16,Cmc2_1,-0.5983008791202679
127_Ge4As2,Ge4As2,Pnnm,0.2688744583085179
132_Au2In4,Au2In4,Pnnm,-0.1418995868927499
139_NpSb,NpSb,Fm-3m,-0.4497482521408535
144_CaRh4,CaRh4,I4/m,-0.0123593460472001
146_RbRh,RbRh,P-6m2,1.0519039009339617
162_FeAs3,FeAs3,Imm2,0.0881821666677709
167_Al3P,Al3P,Pm-3m,0.1003177873692511
172_CuTh,CuTh,F-43m,0.7968494262166388
189_CaW2,CaW2,I4/mmm,0.6406378987075527
195_Ni6Ge18,Ni6Ge18,Pmmn,0.2198266953462753
203_NaPb3,NaPb3,Fm-3m,-0.0546219459481367
211_WSb,WSb,P-6m2,0.5521977096633099
212_Fe2Ga4,Fe2Ga4,I4/mcm,-0.1746195386096053
216_Cr5Rh4,Cr5Rh4,I4/mmm,0.043413251064886
217_Ge8Br,Ge8Br,I4/mmm,0.2846492762005539
234_Ag5In,Ag5In,P4/mmm,0.0038147416913586
235_PAs3,PAs3,Fm-3m,0.5081874789383827
238_In4Pb16,In4Pb16,I-43m,0.2226825117026813
242_Ag7Ta,Ag7Ta,Fm-3m,0.3318113890532039
248_Cu5Pt7,Cu5Pt7,P1,-0.1172246329049636
267_CrP7,CrP7,Fm-3m,0.6510238187764203
