file_name,formula,space_group,value_per_atom
604_Cu4Ni2,Cu4Ni2,Fd-3m,0.2141543813091626
617_PaGe3,PaGe3,Fm-3m,-0.3479441991654255
619_Pd2Rh2,Pd2Rh2,P4/nmm,0.0335179686465618
621_V3Br,V3Br,I4/mmm,0.5547448324913553
630_P4As,P4As,Im-3m,0.812091334973811
639_Ni2P2,Ni2P2,P4/nmm,-0.165174269500933
642_As4Br16,As4Br16,I-43m,-0.046800421294947
643_Al4Pb8,Al4Pb8,Pnma,0.190216711141165
649_AuPa,AuPa,Fm-3m,-0.285637361273328
654_Al2In4,Al2In4,Cmcm,0.1587686536238752
657_CsI,CsI,P-6m2,-1.618852980774196
660_Al3Ca,Al3Ca,Fm-3m,-0.0211971321280866
676_AgTa3,AgTa3,Pm-3m,3.185028116001336
681_Pt3V,Pt3V,I4/mmm,-0.4605299601087775
684_AgAs,AgAs,Fm-3m,0.0355941644367785
687_In3Ni,In3Ni,Fm-3m,0.2402447399500977
689_In3Sr,In3Sr,Pm-3m,-0.3304793817924882
697_Ge2P6,Ge2P6,Cmcm,0.3548940576013857
704_Cu7Pt5,Cu7Pt5,P1,-0.1193349788810517
705_P16As8,P16As8,Fd-3m,0.2640915783909587
714_Fe2Pd26,Fe2Pd26,Fm-3c,0.4845342715894613
716_CuNb,CuNb,P4/mmm,0.2235941904050769
719_BaV3,BaV3,P4/mmm,0.6593841522437529
727_Ga2W,Ga2W,I4/mmm,0.2419851468309346
733_Pt2Sb,Pt2Sb,I4/mmm,-0.1835536045961205
740_Ag5Al7,Ag5Al7,P-1,-0.0106816300969262
744_V4W3,V4W3,I4/mmm,-0.0694999846588128
747_Mo3Ta,Mo3Ta,P4/mmm,-0.1285233832042944
748_Mo2P,Mo2P,Fm-3m,0.0111428188688501
752_Ba2Ga2,Ba2Ga2,Pmma,-0.1956373653855494
754_Ba3Sn,Ba3Sn,Immm,-0.322119701814052
756_Fe2Ir2,Fe2Ir2,P4/nmm,0.095469058522756
762_Na2Pt4,Na2Pt4,I4/mcm,0.3152627011305847
765_K2As2,K2As2,P4/nmm,-0.1608951117004919
769_P16Br4,P16Br4,I23,0.5858727126604272
779_As4Br2,As4Br2,I4/mcm,0.4452598407995474
780_NiTa,NiTa,P-6m2,0.0359782446442089
789_AuP3,AuP3,Imm2,0.4511237559475161
790_Ba5V,Ba5V,P4/mmm,0.5349305232872368
794_Sb5Ge,Sb5Ge,Amm2,0.1763970050717992
797_Al2K4,Al2K4,Cmcm,0.155120108336991
798_Ba2Sn4,Ba2Sn4,Cmcm,-0.4831717141879193
806_Al2Cu2,Al2Cu2,Pmma,-0.1881961713948934
809_PbAs3,PbAs3,Cmmm,0.3753619279989451
813_Cr4As,Cr4As,I4/m,0.0144065940607106
821_Ag12Br4,Ag12Br4,Pnma,0.0515699371614406
822_Ca5Sn7,Ca5Sn7,I4mm,-0.3709440976254115
833_Sb3Ge,Sb3Ge,Cmmm,0.2674849223565756
836_MnW5,MnW5,F-43m,0.637096752327229
842_Na4Pt2,Na4Pt2,I4/mcm,-0.1813541043859411
844_Au2Nb4,Au2Nb4,Cmcm,0.066589382172116
846_In2Ta2,In2Ta2,Pmma,0.2468565124577857
847_Fe3Pb,Fe3Pb,Pm-3m,0.8418246784643095
922_Ag4Al4,Ag4Al4,Pmm2,-0.0125733738802225
925_In5Sn,In5Sn,Cm,0.0071618832732151
926_Nb4Pb4,Nb4Pb4,Pnma,0.5735621749519426
931_Pt2As,Pt2As,I4/mmm,-0.0404441525489787
940_BiGe,BiGe,P4/mmm,0.3197912132401441
952_Pb2As4,Pb2As4,Pnnm,0.1364370872739471
953_Al2In6,Al2In6,Cmcm,0.1239297719224783
960_In2Br4,In2Br4,Cmcm,-0.4657886603656829
970_Nb4W8,Nb4W8,Pnma,0.124329705043389
971_Cr6Ta2,Cr6Ta2,Pmmn,0.3273652456195499
979_AuNb3,AuNb3,Imm2,0.040060795731776
981_AlMo3,AlMo3,Fm-3m,-0.0073852883437464
984_IrV3,IrV3,P4/mmm,-0.3727588195176974
986_PAs,PAs,Pm-3m,0.5533038979136409
1006_Cu2Ge,Cu2Ge,I4/mmm,0.0694776776662996
1007_CrRh4,CrRh4,I4/mmm,0.4467363132556045
1008_NpU,NpU,P4/mmm,0.0077134329019052
1009_RhU,RhU,P-6m2,-0.1940488904539723
1010_Cr3W,Cr3W,P4/mmm,0.0656147205161872
1016_FePt,FePt,P4/mmm,0.1046782928175824
1019_Cr5Rh4,Cr5Rh4,I4/mmm,0.0433450957045522
1024_Fe4Ga2,Fe4Ga2,I4/mcm,0.0881069186662758
1026_Ge2P4,Ge2P4,Cmcm,0.2497538444960133
1028_FeP,FeP,R-3m,-0.2909302413017611
1032_Fe2Ga,Fe2Ga,I4/mmm,-0.1271094661681431
1034_Cr3W,Cr3W,P4/mmm,0.070083144452175
1036_Au16Sr4,Au16Sr4,I-43m,-0.4394674910717768
1040_Cu8Pt4,Cu8Pt4,P-1,-0.1016922929724071
1050_Pd8Sb4,Pd8Sb4,Cmc2_1,-0.4733627168891452
1051_W4Sb16,W4Sb16,I-43m,0.8629071845772032
1055_SrW3,SrW3,Pm-3m,1.6994325432565986
1082_Pb4V,Pb4V,Im-3m,0.3152668653469838
1086_Al2Rh,Al2Rh,I4/mmm,-0.7934654617387066
1091_W2Sb6,W2Sb6,Pm-3n,0.7422411538439109
1111_Ag7Al5,Ag7Al5,P1,-0.0374998018127884
1112_Cr3Ta,Cr3Ta,Immm,0.054785266293079
1114_Pb2V,Pb2V,Fm-3m,0.7233741524777114
