file_name,space_group,value per atom
4146_Ir4Mn,Im-3m,0.913251661
734_Fe3Ir4,I4/mmm,0.38295323
1302_Ir2Pb4,I4/mcm,0.1596593
1746_Ir2V,P4/mmm,0.184942469
3843_Ir4Ta6,Fdd2,-0.344838574
1980_Ir5As,F-43m,0.787634666
1592_BaIr5,F-43m,0.648404801
3269_Ir2Pb2,Imma,0.503781119
2217_Ir3V,P4/mmm,-0.23904131
1488_IrTa,R-3m,-0.271511679
2415_Ir3Ta,Pmmm,-0.394971332
2481_Ir5As,F-43m,0.788930804
3442_Ir3P,Pm-3m,0.151429462
2152_Fe5Ir4,I4/mmm,0.00522373
1738_IrV,P4/mmm,-0.497286421
2360_Ir4Na2,Pnnm,0.711325335
4739_Ir16Mo14,P4_2/mnm,0.013068107
782_FeIr2,I4/mmm,0.016372948
3466_Ir3Sr,Pm-3m,0.456110735
2764_IrNb,Fm-3m,0.090326709
3779_CaIr3,Pm-3m,0.030534481
1130_Ir4Mn3,I4/mmm,0.128492856
2171_Ir2V,I4/mmm,-0.358653521
385_IrPb2,I4/mmm,0.225757719
2213_Ir16Pd8,Fd-3m,0.722231635
756_Fe2Ir2,P4/nmm,0.095469059
2611_FeIr8,I4/mmm,0.005633813
4133_Ir6Ta6,Pmma,-0.593499913
556_Ir4Ta2,Pnnm,-0.136053507
4500_IrMo2,Immm,-0.013815247
3497_FeIr3,I4/mmm,-0.05578018
3503_Ir3I,Pm-3m,0.999264673
4484_IrMo,Fm-3m,0.792264956
3901_Ir8Sn,I4/mmm,0.067294238
2412_Fe4Ir8,I4_1/amd,-0.028524602
3922_Cu2Ir2,Fd-3m,0.252982882
1464_Ir2Mo,Immm,0.088969877
192_Ir3V,P4/mmm,-0.020382561
4349_Ir3Ta3,Cm,-0.434781058
2182_Ir3V,I4/mmm,-0.398092459
2603_Ir3Ni,Fm-3m,0.380609712
4095_Ir2Pb2,Cmcm,0.336881798
1401_Ir2Na2,Pmmn,0.232729786
2730_Ir2Nb2,Cmme,-0.157871309
3357_Ir3Ta5,Cmmm,-0.366374519
3031_Ir2Ta,Immm,-0.451185449
4483_Ir2Mo,Fmmm,3.592244712
62_FeIr2,I4/mmm,0.014869236
2587_Ir2V2,I4_1/amd,-0.438731076
3540_AgIr,P4/mmm,0.720116156
628_FeIr2,I4/mmm,0.019241553
1720_FeIr3,P4/mmm,0.558477616
1135_BaIr2,Fmmm,2.783862077
1703_Ba5Ir24,I-43m,0.52845552
1753_Ir2Pb,I4/mmm,0.598367214
395_Ir2Pb2,P4/nmm,0.373805034
4594_Ag4Ir2,Fd-3m,0.818105615
3019_Ir3Ta3,Cm,-0.43639036
3786_Ir2W2,P4/nmm,-0.102030735
1456_Ir4Na2,Pnnm,0.713298185
3150_IrRh,P4/mmm,0.000701668
205_Ir3Mn4,I4/mmm,0.021602266
783_Fe2Ir2,P4/nmm,0.096681021
3859_Ir3W,Pmm2,-0.231525649
1041_Fe5Ir4,I4/mmm,0.02165419
2994_Ir5Mn,F-43m,0.755012571
2979_Ir3Pb,Immm,0.557765785
1154_BaIr3,Pm-3m,0.899172944
4519_Ir2Sb2,P4/nmm,0.11395874
1145_Ba2Ir4,Fd-3m,-0.006348404
1059_Ir18Mo6,Pmmn,-0.243433349
1293_Au3Ir,Immm,0.303989363
4634_Cu16Ir8,Fd-3m,0.421993336
3927_CuIr3,Pm-3m,0.211115094
2542_Ir2Ta,Immm,-0.44923465
2599_FeIr2,P4/mmm,0.657626575
1212_Ir4Ta2,Imma,-0.130470217
4719_Ir10Rh6,I4/mcm,0.397417335
3756_Ir3W,Cmmm,-0.176898303
3460_Ir3As,P4/mmm,0.295840009
3358_Ir2W2,I4_1/amd,-0.144643926
90_IrSn,P4/mmm,-0.064690353
1922_Fe2Ir,I4/mmm,0.099021681
4977_Fe2Ir2,P4/nmm,0.010346691
3833_Ir3Na,Cmmm,0.314096521
1901_Ir2Na,Immm,0.235828421
3605_Ir4Nb2,Pnnm,0.224875375
674_Fe2Ir,I4/mmm,0.096941791
3002_Ir2Rh2,P4/nmm,-0.008506071
3263_Ir16Nb8,Fd-3m,-0.070966837
1033_Ir2Mn2,P4/nmm,-0.009201355
4505_CuIr4,I4/mmm,0.535609193
50_Ir16Pd8,Fd-3m,0.721911912
3740_Ir2Pb,I4/mmm,0.598252618
3746_CuIr2,I4/mmm,0.258956207
1288_FeIr3,P4/mmm,0.558466483
1626_Ir6Na2,Pmmn,0.49229527
4243_Ir3Ni,Imm2,0.047391822
3915_Cu8Ir16,Fd-3m,0.456353686
713_Ir18Ta6,Pmmn,-0.5508677
2340_Ir4Ta4,Pnma,-0.567636996
2464_Ir3V,P4/mmm,-0.022799206
4244_AgIr3,Pm-3m,3.460465851
2509_AuIr3,Immm,0.378852579
3052_Ag2Ir4,Fd-3m,0.558492055
2892_Ir4Rh,I4/m,-0.005112754
781_Ir2V,I4/mmm,-0.191043315
3254_Ir2W4,I4/mcm,0.050498607
2075_Ir2Mn2,P4/nmm,-0.009185661
2430_Ir17As12,I-43m,0.375548432
1539_Ir3As,Pm-3m,0.195513388
985_BaIr3,Fm-3m,1.048165124
2332_Ir5Na,Amm2,0.306892725
1648_Ir3Br,P4/mmm,0.963816553
4481_Ba4Ir12,Pnma,0.136220214
3829_Ir6W4,Fdd2,-0.133601761
3117_Ba4Ir12,Pnma,0.140989216
