file_name,space_group,value_per_atom
2934_AuU,Pm-3m,-0.0663266
1832_Ni4U6,R-3c,2.431914498
4838_FeU3,Pm-3m,0.212649489
3473_CrU,Fm-3m,0.606115716
1009_RhU,P-6m2,-0.19404889
956_GaU,R-3m,-0.250569538
1945_RbU,P-6m2,1.181205022
4219_CeU,Fm-3m,1.150807871
943_USb,P-6m2,-0.287192691
3186_UGe,R-3m,-0.359717561
3865_CrU,R-3m,0.456724037
3027_NbU,P4/mmm,0.244158529
1693_AuU,Fm-3m,0.10760966
1297_RhU,F-43m,0.454830418
515_Ni4U6,R-3c,0.072958092
4966_PdU,P-6m2,-0.22391755
2588_RhU,F-43m,0.447726639
4926_PdU,P-6m2,-0.223021179
1528_RhU,P4/mmm,-0.268702452
1008_NpU,P4/mmm,0.007713433
294_RhU,P4/mmm,-0.440842555
1955_RbU,P-6m2,1.172279285
1099_AuU,Fm-3m,0.100697676
4715_CeU3,I4/mmm,0.4433664
