file_name,space_group,value per atom
4177_FePt3,Pmmm,0.072799491
1352_Fe4Pt8,I4_1/amd,-0.223004003
2149_NaPt2,I4/mmm,-0.046822418
3079_AlPt3,Cmmm,-0.588872017
3154_Na4Pt8,I4_1/amd,-0.031245602
1744_Na2Pt2,P4/nmm,0.017843398
1741_Pt8V,I4/mmm,-0.274964712
3469_Ag7Pt3,Pmm2,0.029488994
1232_Pt7Sb,Fm-3m,-0.156011983
3904_NaPt5,Cmmm,-0.050164829
2754_Ag7Pt5,P1,0.011499521
4854_Ag4Pt7,P-1,0.031125773
1998_Cu5Pt5,P-1,-0.124900493
1201_Cu6Pt4,P-1,-0.117017565
3370_Ag4Pt8,P-1,0.027242028
681_Pt3V,I4/mmm,-0.46052996
3333_Al3Pt5,Cmmm,-0.915859397
2090_Cu5Pt7,P1,-0.09389557
2063_Fe2Pt2,P4/nmm,0.078313229
1383_CrPt3,P4/mmm,-0.045181576
2364_Fe2Pt2,P4/nmm,0.072652717
771_Al2Pt4,Pnnm,-0.659476992
3147_Pt6As2,Cmcm,-0.073531222
704_Cu7Pt5,P1,-0.119334979
3122_MnPt3,P4/mmm,-0.078969098
3506_Ag3Pt9,Immm,0.023716628
1856_Cu4Pt4,P-1,-0.12058086
135_Pt8Sn4,I4_1/amd,-0.337948904
3883_Pt2As,P4/mmm,-0.11445111
3653_Ag5Pt5,P-1,0.045171744
3697_AlPt2,I4/mmm,-0.818484781
3793_NiPt3,Pm-3m,-0.087378435
2341_Ga4Pt4,P2_13,-0.63579983
733_Pt2Sb,I4/mmm,-0.183553605
3151_Pt3V,Pmmm,-0.420737781
597_Cu6Pt5,P-1,-0.122125306
1199_Pt10Sn6,I4/mcm,-0.258169535
4041_Pt5V,F-43m,0.088291387
3301_Ni2Pt6,P6_3/mmc,-0.015469802
1972_Ga2Pt2,P4/nmm,-0.290044483
2156_Na4Pt5,I4/mmm,0.000857927
1040_Cu8Pt4,P-1,-0.101692293
3585_Pt6As2,I4/mmm,-0.047013201
1295_Pt3Sb,P4/mmm,-0.12193027
4066_NbPt2,Immm,-0.714885041
2636_Pt7Sb,Fm-3m,-0.140544579
1966_NaPt3,Fm-3m,0.123796351
2158_Pt3V,P4/mmm,-0.426748376
