file_name,space_group,value per atom
4268_In4W8,Pnma,0.540418669
1294_Au3Ga,I4/mmm,-0.074805555
2943_Mo16V4,I-43m,0.796096331
813_Cr4As,I4/m,0.014406594
4328_AuCu,Pm-3m,-0.05975461
2018_Au2Mn2,Pmma,0.012775319
844_Au2Nb4,Cmcm,0.066589382
2258_Cr2Nb4,Pnnm,0.691069255
2577_Cr5Na,Amm2,0.694440627
2014_Cr12W18,P4_2/mnm,0.372157096
1503_FeMo5,F-43m,0.545366336
3053_W5As,Cmmm,0.229789187
4368_Mo17Pd12,I-43m,0.25635641
4821_Ag3Nb3,Cm,0.234584455
2259_Cr4Nb2,Pnnm,0.276705276
4459_AcMo,Pm-3m,0.935600119
3510_AgMn2,I4/mmm,0.368014239
970_Nb4W8,Pnma,0.124329705
4057_Nb4Ni,Im-3m,0.739951516
4360_Mn4W2,Cmcm,0.203574824
2130_Cr2Nb6,Pm-3n,0.108554609
4266_IrMo3,Cmmm,0.007533595
2307_Cr2W,I4/mmm,0.061862492
3738_Ag2Nb2,Cmcm,0.258623828
2088_Nb4Pb2,Cmcm,0.206876997
4763_InMo5,P4/mmm,0.157314233
186_Ir2Mo6,Cmcm,0.045988801
4019_Mo4W4,Pnma,0.401514695
1484_Nb2P,I4/mmm,-0.417602075
971_Cr6Ta2,Pmmn,0.327365246
2951_AuW2,I4/mmm,0.424223621
3847_W4Sb2,Pnnm,0.687730819
2969_Au3Nb3,Cm,-0.015142843
2982_VW7,Fm-3m,0.451688362
3492_Ir2Mn6,Pm-3n,0.01235375
1370_Cr5Nb24,I-43m,0.428241517
2482_Ac3Mn,I4/mmm,-53.62881944
3240_CuW,Pm-3m,0.608519449
1953_Mo16Nb8,Fd-3m,0.395089287
4560_CuW3,Pm-3m,3.104170629
2957_Sm3W,I4/mmm,0.063195085
3401_Mo2Sr,I4/mmm,0.667973199
3243_AuMn,P-6m2,0.193919443
3074_Ag2Mn,Immm,0.203899847
749_Mo10W6,I4/mcm,0.344623367
4221_Au2Mn,I4/mmm,-0.0893355
4321_MoW2,Immm,0.464061995
3603_Mo2Nb,I4/mmm,-0.117122748
3481_SmW,P4/mmm,0.641138086
4833_Mn2Nb,I4/mmm,0.132424764
2832_AlMo3,Immm,-0.099333345
1284_Cr4Nb4,P2_13,0.397703085
742_SnW2,I4/mmm,0.433686622
973_MnW,Pm-3m,0.147648574
101_CrW3,P4/mmm,0.053784405
3025_Ag2Nb4,Pnnm,0.570547465
761_CuMo,P-6m2,0.343004302
2612_Au2Nb4,Cmcm,0.05452372
2782_W3P,I4/mmm,0.340879044
3305_Cu4Fe,I4/m,0.112478734
2038_Nb10Ge6,P6_3/mcm,-0.562090112
