file_name,formula,space_group,value_per_atom,most_distinct_OFM
86_Ni2Sb2,Ni2Sb2,P4/nmm,-0.0582208439969926,False
87_AuMn3,AuMn3,Pmmm,0.2960059875718608,False
88_Ag2Al2,Ag2Al2,I4_1/amd,-0.0094356971058457,False
89_Ba2Ge2,Ba2Ge2,Pmmn,-0.1168555505437622,False
90_IrSn,IrSn,P4/mmm,-0.0646903528158198,False
91_V3Br,V3Br,I4/mmm,0.5709922328291892,False
92_InI,InI,R-3m,-0.3710410919205595,False
93_GaGe,GaGe,R-3m,-0.0146410194391521,False
94_Al2Pd2,Al2Pd2,P4/nmm,-0.7411901811862194,False
95_Cr2W2,Cr2W2,P4/nmm,0.0864102135558599,False
96_Mn3Sn,Mn3Sn,I4/mmm,0.1853687985945038,False
97_Ag3Al,Ag3Al,P4/mmm,-0.0385368658765874,False
98_Cr3Sn,Cr3Sn,P4/mmm,0.4386852445490596,False
99_Al2Pd2,Al2Pd2,P4/nmm,-0.7471028637113477,False
100_Ge3Br,Ge3Br,P4/mmm,0.1809122110204661,False
101_CrW3,CrW3,P4/mmm,0.0537844050765876,False
102_Cr2Sn2,Cr2Sn2,P4/nmm,0.2075312870777024,False
103_Fe2Pt,Fe2Pt,P4/mmm,0.98433841365906,False
104_KSn2,KSn2,I4/mmm,-0.1852067996178531,False
105_Cr3W,Cr3W,P4/mmm,0.0703150051877337,False
107_Cr2Sn2,Cr2Sn2,P4/nmm,0.2026693071890291,False
108_Fe2Pb2,Fe2Pb2,Cmcm,0.4067883133950829,False
109_V2Br2,V2Br2,P4/nmm,-0.1510803872846198,False
110_Cr4Rh,Cr4Rh,I4/mmm,0.6478040969868033,False
111_AgAl3,AgAl3,P4/mmm,-0.0152064934718052,False
112_VBr3,VBr3,P4/mmm,-0.2619159193614142,False
113_CsV,CsV,P-6m2,-0.1117365929441112,False
114_CrNb3,CrNb3,Immm,0.0723080494381864,False
115_CrRh2,CrRh2,I4/mmm,-0.0464562337250219,False
116_Ba2Ge2,Ba2Ge2,Cmcm,-0.5915835598114554,False
117_Mn2Sn,Mn2Sn,I4/mmm,0.2038638021403187,False
118_CrTa,CrTa,F-43m,2.66607583354954,False
119_IrP,IrP,R-3m,-0.126183099143863,False
120_Cu8Fe16,Cu8Fe16,Fd-3m,0.325100666679899,False
121_Fe12W12,Fe12W12,Pbcm,0.1591388106529313,False
122_Na2Pt,Na2Pt,P4/mmm,-0.1094687629154324,False
123_WP,WP,F-43m,0.5181687470777128,False
124_PbV3,PbV3,Fm-3m,0.3868962014052073,False
125_Nb4I16,Nb4I16,Cmc2_1,-0.5983008791202679,False
126_Ta4Ge2,Ta4Ge2,I4_1/amd,0.5502794154585248,False
127_Ge4As2,Ge4As2,Pnnm,0.2688744583085179,False
128_As4Br2,As4Br2,I4_1/amd,0.1886815862388336,False
129_InPt,InPt,Fm-3m,-0.2747187912913738,False
130_GaP,GaP,Pm-3m,0.2827077846157659,False
131_NiSn,NiSn,P-6m2,-0.1266843635676862,False
132_Au2In4,Au2In4,Pnnm,-0.1418995868927499,False
133_AlNb5,AlNb5,P4/mmm,0.0071761993991602,False
134_Au4Sr16,Au4Sr16,I-43m,-0.1130436182400256,False
135_Pt8Sn4,Pt8Sn4,I4_1/amd,-0.3379489042611444,False
136_Cu6Pt4,Cu6Pt4,P1,-0.1196874372681321,False
137_Au3P,Au3P,Immm,0.2305156716459713,False
138_Ge2As4,Ge2As4,Pnnm,0.1196947121736281,False
139_NpSb,NpSb,Fm-3m,-0.4497482521408535,False
140_CrNb5,CrNb5,F-43m,0.4547293105615727,False
141_CeBr,CeBr,F-43m,-0.8023102457033016,False
142_Ce12Ga8,Ce12Ga8,P4_2/mnm,-0.4472578612747064,False
