file_name,space_group,value per atom
2835_PbTa3,I4/mmm,0.383169298
739_Ag2Ta4,Fd-3m,0.562834941
955_V3Br,P4/mmm,0.245115813
4547_MoV3,Fm-3m,-0.063190505
41_TaV5,Cmmm,0.028542983
4582_Pt4V12,Pnma,-0.164202323
4000_MnTa2,Fmmm,0.030639864
3124_Pd3Ta,I4/mmm,-0.478961572
1932_AgTa3,Fm-3m,0.31875964
2511_Al2V6,Pm-3n,-0.13658813
2406_Pb4V4,P2_13,0.524912968
535_MoTa2,I4/mmm,-0.150560328
2445_Pd3Ta,P4/mmm,-0.26754619
4182_TaV,P-6m2,0.381089922
1428_InV,R-3m,0.402234665
672_Ba2Ta4,Cmcm,0.787986574
1519_Cr2Ta4,Pnnm,0.758102564
4641_CuV3,Fm-3m,0.154821046
2127_MoTa2,I4/mmm,-0.147809995
223_Pd12Ta18,P4_2/mnm,-0.188219433
1755_V3W,P4/mmm,-0.034069437
1020_MoV4,I4/mmm,0.563554779
706_Ta4V6,Fdd2,0.199398409
2821_V12As4,Pnma,-0.313049993
1731_CrTa,P-6m2,0.530166487
2857_NiTa7,Fm-3m,0.203167294
3781_Nb6V10,I4/mcm,0.263549242
1733_FeV,P-6m2,0.121331813
3796_Cu3V,Pm-3m,0.227882463
744_V4W3,I4/mmm,-0.069499985
3917_NbV2,I4/mmm,0.04586143
3043_RhTa,F-43m,0.685339556
3616_PtV3,Pm-3m,-0.234975318
3087_NiV,P4/mmm,-0.171053703
1997_BaTa2,P4/mmm,2.674288856
2728_Pd2V4,Pnnm,0.418559666
3990_TaV3,Fm-3m,0.053417021
4347_AuV,P4/mmm,0.178331361
124_PbV3,Fm-3m,0.386896201
271_PtV2,Fmmm,-0.340027223
4203_V4As2,Cmcm,-0.335452405
2178_Ir4Ta8,Pnma,-0.344523455
3001_Cu8Ta4,Pnma,0.14590147
4366_NbV2,I4/mmm,0.04810656
232_Ta3Ge,P4/mmm,-0.107039471
3537_V3Sb,Immm,-0.093084073
846_In2Ta2,Pmma,0.246856512
2921_Pb2V2,Imma,0.49285016
338_Nb2V,I4/mmm,0.050370562
3339_Pd6V18,Pmmn,0.009417649
14_Pd2Ta2,P4/nmm,-0.357259531
812_V4W2,I4_1/amd,0.455970303
4957_IrTa5,Cmmm,-0.263741136
331_VW2,I4/mmm,-0.093753824
968_IrV3,I4/mmm,-0.217750093
1314_Ta3V,Cmmm,0.292123385
3474_Ta2P2,P4/nmm,-0.039763434
1116_Ir2Ta4,Imma,0.168509247
3164_Pb4Ta2,I4/mcm,0.348691417
753_Ir2V4,I4/mcm,-0.173478362
4100_Pt4V8,Pnma,-0.272299817
4270_Mo2V6,Cmcm,-0.073424546
2525_CrTa,Cmmm,0.136852573
4630_Nb2V4,I4_1/amd,0.46167435
3273_Fe3V4,I4/mmm,-0.073961534
4185_Au4V16,I23,0.475591778
3618_Cu2V,I4/mmm,0.088283107
4574_Pt2V2,Imma,-0.441586733
1202_PdTa4,I4/mmm,0.782455823
91_V3Br,I4/mmm,0.570992233
1057_Fe4V12,Pnma,0.031568418
4109_RbTa,P-6m2,1.55870095
2864_V4P,Im-3m,0.332299456
1167_AgTa3,Pm-3m,3.130992589
1982_Fe2V4,Cmcm,-0.13789106
1601_IrV3,P4/mmm,-0.376939186
611_BaTa3,P4/mmm,1.209436451
1162_Fe6V4,Fdd2,-0.019215889
1880_Al4Ta5,I4/mmm,-0.155074502
2371_InTa2,I4/mmm,0.164313423
2442_V3Ge,I4/mmm,-0.183703101
3006_FeTa3,Immm,-0.021499726
2560_FeV,P-6m2,0.128725969
4015_Ta5Sb4,I4/m,0.094270438
1530_NiTa5,F-43m,0.466500415
1229_Nb2V6,I4/mmm,0.158111469
1639_V3W,P4/mmm,-0.031243212
2501_Ta12V4,Pnma,0.18171863
1975_Ta2Ge,I4/mmm,-0.170979629
4512_Au4V,Im-3m,0.50530514
322_Nb4V8,I4_1/amd,0.159762064
4474_Ni4Ta16,I-43m,0.550918835
4063_Fe2Ta2,Imma,-0.042983676
3216_Ta2P,I4/mmm,-0.286351957
4242_PtV5,F-43m,-0.080923485
1950_Ta10Ge6,I4/mcm,-0.475601148
4054_MnTa2,Fmmm,0.032619871
4907_Rh2Ta4,I4/mcm,-0.29970705
2169_Pt2V2,P4/nmm,-0.402197105
4616_Pt3V5,Cmmm,-0.405884876
1095_Cr4Ta6,Fddd,0.223974289
633_Fe4V12,Pnma,0.034761053
528_IrTa3,Immm,-0.316739099
3563_Pd2V,Immm,-0.277678872
3573_V18Sb6,Pmmn,-0.007509734
1581_FeV3,Immm,-0.142657312
3211_AuV3,Fm-3m,0.133303884
2914_Ni4Ta8,Pa-3,0.447526759
2620_Ta2V2,Imma,0.026845736
612_NiTa2,Fm-3m,0.324495408
4400_PdTa,P4/mmm,-0.294929843
3177_Pt2V2,Cmcm,-0.401111019
76_RhV,P-6m2,-0.23992756
2924_Pt2V2,Cmcm,-0.427623045
39_CrTa3,Immm,0.026584736
2491_Cu2Ta2,P4/nmm,0.051030941
4183_Au3Ta,I4/mmm,0.080584858
949_Cr12Ta12,Pbcm,0.231702824
1241_VW2,I4/mmm,-0.096044154
1354_V3Br,P4/mmm,0.245997695
3011_IrTa5,C2/m,-0.289500529
275_V4W4,Pnma,0.237876521
170_AlTa2,I4/mmm,-0.109572504
4042_V4W8,Pa-3,1.392748966
3356_Pd4Ta2,I4/mcm,-0.00580518
2745_NbV5,P4/mmm,0.032735693
4643_PdV3,Cmmm,-0.106436626
3258_Ta12As12,Pbcm,-0.200144639
638_Ta2V2,Cmcm,0.31316225
4499_Ta3Sb,P4/mmm,-0.025182908
621_V3Br,I4/mmm,0.554744832
1244_V10W6,I4/mcm,0.282036781
126_Ta4Ge2,I4_1/amd,0.550279415
265_Pd16Ta14,P4_2/mnm,-0.21555098
2582_Ir6Ta18,Pmmn,-0.205447422
984_IrV3,P4/mmm,-0.37275882
3195_CeV,Pm-3m,0.62111478
4701_Fe8Ta4,I4_1/amd,-0.043394022
1687_CrTa2,I4/mmm,-0.012932264
2596_FeV3,Immm,-0.143095179
1710_MnV2,I4/mmm,-0.225320814
4753_Cu4Ta4,P2_13,0.314586836
2497_CuTa,P4/mmm,0.251966802
780_NiTa,P-6m2,0.035978245
3747_Nb3V4,I4/mmm,0.036645119
4280_Al10Ta20,P4_2/mnm,-0.091016777
3391_Ni2V2,Pmma,-0.154661634
2000_AlTa8,I4/mmm,-0.038998045
1942_Pd4Ta26,P4_2/mnm,0.079827532
3910_Nb2V4,I4/mcm,0.631365038
1391_PdTa2,I4/mmm,-0.060998681
1174_PbV4,Im-3m,1.736418693
1432_Pb2Ta2,P4/nmm,0.380633149
4866_Pt2V2,Cmcm,-0.427656452
2651_Ag3V,I4/mmm,0.339459106
4278_CuTa3,Immm,0.150183042
3189_PtV,F-43m,0.777142941
298_PtV3,P4/mmm,-0.290034636
282_V2W,Immm,0.150859842
2502_NbV2,I4/mmm,0.041911903
3494_KTa2,Fmmm,0.803272711
1700_Fe2V2,Imma,-0.0782646
2422_Cr2Ta4,Pnnm,0.525177336
4383_V18W6,Pmmn,0.144445191
825_IrV5,P4/mmm,-0.248814642
2391_Pb2V4,Fd-3m,0.420007386
3535_Ir4Ta12,Pnma,-0.193148568
2527_BaTa3,P4/mmm,1.218272481
1846_VW2,Immm,0.839607671
3065_Mo2V2,Cmme,-0.068056343
3650_Au2Ta,Fm-3m,0.360385637
1660_V6W2,I4/mmm,0.127176735
3657_In2Ta2,Fd-3m,0.51237861
2999_Ta2Sb2,I4_1/amd,0.372864788
4735_V26W2,Fm-3c,0.413087493
187_Ta2Ge2,P4/nmm,0.101735269
2163_NbV2,I4/mmm,0.020850817
4431_Au2V2,P4/nmm,0.024942844
3250_InV,Pm-3m,0.368515813
676_AgTa3,Pm-3m,3.185028116
4194_PbTa3,I4/mmm,0.390054715
3373_MoTa3,Immm,-0.106953602
4881_Pd8V4,Pnma,-0.223808157
2013_MoV4,I4/mmm,0.571933054
2324_IrTa2,Immm,-0.351191342
4555_Fe2V6,P6_3/mmc,0.123355383
241_CrTa,F-43m,2.507036735
3880_V2Ge2,P4/nmm,-0.203446061
4826_Au2V2,P4/nmm,0.02718127
557_V2Br,I4/mmm,0.441906635
1511_V2W,Immm,0.150859842
1644_FeV3,Immm,-0.142446211
1912_AcV,Pm-3m,0.682573409
341_PtV3,I4/mmm,-0.243288262
2962_Ta3Sb,P4/mmm,0.011576003
1110_Ag6V10,I4/mcm,0.56321381
3871_Pb2V4,Cmcm,0.457602333
2454_V3Ge,P4/mmm,-0.224457206
3652_V2Ge,I4/mmm,-0.307418288
3741_GaTa2,I4/mmm,-0.121631109
2641_Nb2V2,P4/nmm,0.061103996
3867_AuTa3,Pm-3m,0.023720796
4166_Pb2Ta4,I4/mcm,0.731069624
2953_MoV,Pm-3m,-0.126784531
3496_V3P,Pm-3m,-0.486440196
823_Nb2V,I4/mmm,0.050871054
4550_NiTa4,Im-3m,0.763782227
2865_Pt2V4,Cmcm,-0.370453809
4814_Pd4V4,Pnma,-0.094859577
4083_Fe6Ta10,I4/mcm,-0.07841201
1238_Cr2Ta2,P4/nmm,0.060741487
4132_AuV5,F-43m,0.104021058
4490_KTa2,I4/mmm,1.054611954
2463_AuV,Fm-3m,0.692581346
2610_Mn2V,I4/mmm,-0.078771153
4829_Fe2Ta6,P6_3/mmc,0.247472125
1219_Pd2Ta2,P4/nmm,-0.298226198
2967_V2W2,Cmcm,0.540260046
666_Ag3Ta,Fm-3m,0.449218708
1286_Ta2V4,Cmcm,0.044716717
3075_Mo4V8,Pnma,-0.000640857
2860_V3Br,Cmmm,0.280716863
4393_V6W18,Pmmn,0.444346186
709_CeTa,P-6m2,0.769665438
4316_Cu3Ta,Immm,0.200339294
1752_Nb2V2,P4/nmm,0.056284344
4710_Mn2V2,Imma,-0.187863936
2410_AgTa,F-43m,2.146106139
2753_IrTa3,Immm,-0.314894706
1053_Cr2Ta6,Cmcm,0.061192334
596_Cr6Ta18,Pmmn,0.273494251
2179_Mn2V,I4/mmm,-0.070652102
1228_Mn2V2,P4/nmm,0.058010239
