file_name,space_group,value per atom
4426_In2Nb,Fm-3m,0.593196623
177_Au3Sr,Pm-3m,0.738265509
4281_NiGe2,P4/mmm,0.06683986
3262_In4Rh3,I4/mmm,-0.152919498
1187_AsBr8,I4/mmm,0.008510013
321_PAs,Pm-3m,0.552972442
1290_Ag2Br2,P2_1/m,-0.442706243
4938_Ni2Sb4,Pnnm,-0.399660901
357_CeGa3,Fm-3m,-0.298319459
4378_Au2As4,Pnnm,0.014495562
217_Ge8Br,I4/mmm,0.284649276
3912_P4Br2,Cmcm,0.183793837
4271_MnBr2,P-3m1,-0.985413621
73_NiSb2,I4/mmm,-0.002578556
1481_Fe3V,Imm2,0.011617551
2841_FePb,P-6m2,0.638992316
3803_K2Nb,Immm,1.375068381
4389_CuBr3,Pmm2,0.007896334
650_Mo5P24,I-43m,0.423191524
2784_Ga2Rh,I4/mmm,-0.354455439
1032_Fe2Ga,I4/mmm,-0.127109466
4223_K8As8,P2_12_12_1,-0.713846988
2327_Cu6Fe2,Pm-3n,0.264412368
1146_Fe8Pb4,Pa-3,1.084179711
2572_Ba3Rh,Pm-3m,0.245513247
3235_BaGe,Fm-3m,-0.183073889
2801_Al6Sb2,I4/mmm,0.169205743
183_AgP3,Fm-3m,0.637788747
2995_CaBr3,Pm-3m,-1.121502432
3347_CuIn5,F-43m,0.341505397
4733_K6Br18,Pmmn,-0.793680579
1719_Al3Ga,Cmmm,0.027582475
743_Al4P2,I4/mcm,0.106365628
925_In5Sn,Cm,0.007161883
483_Fe2Ga,I4/mmm,-0.123652761
4473_Ba4In,Im-3m,0.145173218
2948_Au6Ba2,Pmmn,-0.526886488
3038_NaBr,Pm-3m,-1.574279165
3233_WAs3,Imm2,0.130694115
754_Ba3Sn,Immm,-0.322119702
3555_PBr4,Im-3m,0.274910943
3719_Au3Fe4,I4/mmm,0.110528171
2077_Sn4P,Im-3m,0.162430146
3707_EuGe2,P-3m1,-0.920243673
4835_CaGa,Pm-3m,-0.428154641
2618_Al6In2,Pmmn,0.159128765
3208_CaW,Pm-3m,1.714438653
3637_K3Pt,P4/mmm,0.122777755
1504_FeNa3,Pm-3m,1.376228444
3621_KSb,R-3m,-0.279082504
630_P4As,Im-3m,0.812091335
270_FeNa,Fm-3m,2.234140737
4837_Ag6Fe2,P6_3/mmc,0.314575698
4469_GeAs,Immm,0.208114043
4910_AgGa5,Cmmm,0.033837728
1072_Fe2Pb2,P4/nmm,0.293003854
1083_Ba3Ta,P4/mmm,0.855457781
2355_AuIn,P4/mmm,-0.101576259
2642_Ag4Al4,P4/nmm,-0.029056817
752_Ba2Ga2,Pmma,-0.195637365
2591_Al16Cu36,P-43m,-0.217491267
2774_Ca2Cu2,Cmcm,-0.159069106
751_Ca3Ir,Fm-3m,-0.046826593
3220_Pd2Rb4,I4/mcm,0.145534718
4250_Ba4Ca2,Cmcm,0.032047549
2504_Cr2As2,P4/nmm,0.007712464
3696_Cr2Sb2,P6_3/mmc,-0.056309446
1748_Ag4Al3,I4/mmm,-0.035646312
3827_Al2Pt2,P4/nmm,-0.891541796
297_FePd3,Pm-3m,-0.106134942
3567_P4Br6,Fdd2,0.206936049
3411_Cu4As2,P4/nmm,-0.152558195
4776_Ni2Ge6,Pmmn,0.080092065
388_IrBr3,P4/mmm,0.630086523
481_RbW,P4/mmm,2.187420243
3604_Al3Pt,P4/mmm,-0.454992035
2026_Sr8Bi6,I-43d,-0.929269902
4540_Pd4Sb2,I4/mcm,-0.308877354
1525_CsYb,F-43m,0.671821148
1910_KSn,P4/mmm,0.031888841
4800_Nb3Br5,Cmmm,-0.061508105
2829_Ca2Nb,Fm-3m,1.172952548
2082_BaPd,Cmmm,-0.478361308
3088_Rh4As12,Im-3,-0.438173239
2485_W8Sb16,Fd-3m,0.643257211
266_Ag4Al4,Cccm,-0.017124273
2564_In2I2,Cmcm,-0.558938087
3896_K2P2,Cmcm,0.154092838
1209_Ag4Al,Immm,-0.027000362
1502_Fe5Mo,F-43m,0.122133319
1114_Pb2V,Fm-3m,0.723374152
1255_Ga4W,I4/mmm,0.511132656
936_FeAs3,Imm2,0.08974814
1835_Ca3Pb,Immm,-0.270961563
425_CsYb,P-6m2,0.213307081
577_Ba3Ir,Fm-3m,0.338428117
1940_Al3Cr,I4/mmm,-0.15515394
3331_KP,P4/mmm,0.13458227
19_In4Sn2,C2/m,0.005837277
16_Ac4I6,R-3c,-1.145669894
3689_GaK3,Pmm2,0.188651645
3178_Pt2P2,Imma,0.015446329
4384_AlK5,P4/mmm,0.190195795
1124_Ge4Br2,I4_1/amd,0.131922894
4585_CsIr,R-3m,1.543183644
1247_Ba2Ga2,Cmcm,-0.350939805
2116_Na2Pd,Fmmm,-0.041751161
3112_Na8Pd4,Pnma,-0.013511566
4309_SrBr,P-6m2,-1.483376796
725_SrV,P-6m2,1.193833339
954_Ga24Pt5,I-43m,-0.022192353
3244_Al4Eu2,P4_2/mnm,0.608962954
2119_WSb,Pm-3m,0.635789304
2047_Mo2Pb4,Cmcm,0.836551452
4085_Ga2Mn4,I4_1/amd,0.483263777
3577_EuMn,R-3m,0.601249529
1674_Pb2As4,Cmcm,0.035797715
4287_Ba4W2,Pnnm,1.464291426
978_AlIn3,Pmm2,0.131476188
2656_SnYb3,Pm-3m,-0.596043513
3162_PBr,P-6m2,0.722297973
1447_Fe2Pb2,P4/nmm,0.29446775
3069_Fe2Na2,P4/nmm,0.443835017
3875_In4K,Im-3m,0.56004063
2653_Cs3Sm,Pm-3m,-1.296839714
3366_Al4As2,P4_2/mnm,0.202797995
1299_Cr2Na6,Cmcm,0.601584825
3542_BaSr7,Fm-3m,0.003513234
4291_MoBr,Cmmm,0.98043329
3221_Al3Cu,Immm,0.006396528
2790_Al4Sb2,I4_1/amd,0.211344494
3193_Ni4Sr,I4/m,0.353006075
4702_AlPb8,I4/mmm,0.078134571
2345_KP5,Cmmm,0.025613391
2733_AlCu2,I4/mmm,-0.19949232
3268_Al5Mn,F-43m,0.180021086
795_MoSr2,I4/mmm,0.951530607
1697_Ca5Ga3,Cmmm,-0.122829598
1956_Sr8W4,Pa-3,1.562032957
273_Ba3Br,P4/mmm,-0.69441994
3284_SrAs,P-6m2,-0.946079743
3835_Fe2Br2,Pmma,0.555203704
2795_Al4Br2,P4_2/mnm,0.438326157
1431_Ba2Br,I4/mmm,-0.95933328
222_BaIr2,Fm-3m,1.761786482
3670_Pd4As2,Cmcm,-0.213284946
252_AuPt,F-43m,1.156897034
1185_AsBr,Pm-3m,0.606413846
