file_name,value_per_atom,space_group
4_Ir2Na2,0.4721300324400452,Imma
10_Ba2Bi3,-0.8094130623309983,Immm
13_Ga2Sr,-0.533854310311091,P6/mmm
18_InSn5,-0.0004405329807042,Cm
19_In4Sn2,0.0058372774279457,C2/m
20_Sr6Br4,-1.1928946056775946,R-3c
21_In2Sn4,0.0010884922752308,C2/m
29_Nb2W6,0.3700803438589179,Pmmn
39_CrTa3,0.0265847358564226,Immm
41_TaV5,0.0285429832034746,Cmmm
47_Na2Pt2,-0.0622927350794983,Pmmn
48_Pb4As2,0.0885945378502513,Pnnm
49_Al3Sb5,0.2406565035847956,Cmmm
55_AgMn,0.829020340298344,P4/mmm
56_CsMn,-5.420664132459949,P-6m2
59_GaNp,-0.1856436631432938,P-6m2
63_Cr2Sr2,0.7446481806535772,P4/nmm
68_FePb3,0.7885119954880766,Fm-3m
83_IrMn2,-0.0004295886141948,I4/mmm
98_Cr3Sn,0.4386852445490596,P4/mmm
99_Al2Pd2,-0.7471028637113477,P4/nmm
103_Fe2Pt,0.98433841365906,P4/mmm
110_Cr4Rh,0.6478040969868033,I4/mmm
114_CrNb3,0.0723080494381864,Immm
115_CrRh2,-0.0464562337250219,I4/mmm
118_CrTa,2.66607583354954,F-43m
127_Ge4As2,0.2688744583085179,Pnnm
130_GaP,0.2827077846157659,Pm-3m
132_Au2In4,-0.1418995868927499,Pnnm
146_RbRh,1.0519039009339617,P-6m2
147_Cu2Ni26,0.2677396298890073,Fm-3c
148_CrTh,1.709790452893314,F-43m
153_Al3V,-0.2967745434488575,I4/mmm
181_WSb,1.5974823249986905,F-43m
183_AgP3,0.6377887469169732,Fm-3m
185_AgSn,0.0542811791472521,P4/mmm
192_Ir3V,-0.0203825605630481,P4/mmm
196_Au8Mn4,-0.0326742680376834,Pnma
201_CrPd,0.7786205625391744,Fm-3m
209_CuI,0.163268240844149,P-6m2
220_Cr8Rh,0.215390972454407,I4/mmm
227_Ir2Na4,0.2310379275124135,Cmcm
228_Ge3P,0.4028421099060848,Pmmm
229_Pd2Rh2,0.0413431690888472,P4/nmm
233_Ag6Al6,-0.0259394001015677,Cmm2
235_PAs3,0.5081874789383827,Fm-3m
243_FePb3,0.4786018239383995,Pm-3m
254_NbP2,-0.6493615298102936,I4/mmm
255_Mo2Pb2,0.5946080176813062,Cmcm
260_CuNi,1.2524800810011456,F-43m
