file_name,value_per_atom,space_group
2_Ni4Ta6,0.1017402497441466,R-3c
3_Mn4Sb2,0.4959808317815088,I4_1/amd
6_Sn17P12,0.2150613449970501,I-43m
7_Sr6Br4,-1.1913767863029878,R-3c
9_Mn8Sb,0.1088367267697947,I4/mmm
15_CuNb,0.2119333832970964,P4/mmm
25_Fe4Na8,1.6371448910768656,Pa-3
26_PtSm,-1.2893512592068015,Pm-3m
36_Nb6Pt2,-0.4193485824946332,Pm-3n
37_AlMn,-0.1653908717519483,P-6m2
44_NiPt,-0.0435195877614695,P-6m2
60_CuMn3,0.2690644181336781,I4/mmm
65_Al4P2,0.0048209866646065,I4_1/amd
67_Ac3Yb,0.0483534304371855,Fm-3m
69_FeP,-0.053819012798443,R-3m
73_NiSb2,-0.0025785561335673,I4/mmm
86_Ni2Sb2,-0.0582208439969926,P4/nmm
89_Ba2Ge2,-0.1168555505437622,Pmmn
97_Ag3Al,-0.0385368658765874,P4/mmm
101_CrW3,0.0537844050765876,P4/mmm
108_Fe2Pb2,0.4067883133950829,Cmcm
113_CsV,-0.1117365929441112,P-6m2
116_Ba2Ge2,-0.5915835598114554,Cmcm
117_Mn2Sn,0.2038638021403187,I4/mmm
119_IrP,-0.126183099143863,R-3m
121_Fe12W12,0.1591388106529313,Pbcm
123_WP,0.5181687470777128,F-43m
128_As4Br2,0.1886815862388336,I4_1/amd
138_Ge2As4,0.1196947121736281,Pnnm
140_CrNb5,0.4547293105615727,F-43m
141_CeBr,-0.8023102457033016,F-43m
142_Ce12Ga8,-0.4472578612747064,P4_2/mnm
143_Ba2Pt2,-0.4142137698980046,P6_3/mmc
152_Ni2As6,0.2952248090641767,I4/mmm
154_Pd2Ta2,-0.3618708831950421,P4/nmm
160_Ba2Pt2,-0.4579160620289459,P6_3/mmc
162_FeAs3,0.0881821666677709,Imm2
163_As3Br,0.2126619543483046,P4/mmm
167_Al3P,0.1003177873692511,Pm-3m
172_CuTh,0.7968494262166388,F-43m
173_Ba2V,0.6621519240922341,I4/mmm
174_PbSr7,-0.030999434316967,Fm-3m
176_In3K,-0.0780771556712189,Cmmm
186_Ir2Mo6,0.0459888007119957,Cmcm
187_Ta2Ge2,0.1017352688524066,P4/nmm
194_Al12Pb12,0.2570537015373606,Pbcm
195_Ni6Ge18,0.2198266953462753,Pmmn
197_Mn10Sn6,0.2141267769039148,I4/mcm
200_CsW,2.392753487086816,P-6m2
202_K3Na,0.0175885883206032,P4/mmm
203_NaPb3,-0.0546219459481367,Fm-3m
208_PI,0.6765507848780659,R-3m
211_WSb,0.5521977096633099,P-6m2
215_AgAl2,0.1927638806395458,P4/mmm
221_Mo7Nb,0.4178278478907451,Fm-3m
224_K2As6,0.0183152754736446,I4/mmm
225_AlPd2,-0.7917135539533374,I4/mmm
230_Cu7Pt5,-0.1185395596556523,P1
241_CrTa,2.5070367353222007,F-43m
252_AuPt,1.1568970335132995,F-43m
253_Cu3Ge4,0.2297082476966535,I4/mmm
262_BaBr3,-1.4692358460725734,P4/mmm
271_PtV2,-0.3400272227183064,Fmmm
272_NbPb3,0.5071251497625129,Cmmm
273_Ba3Br,-0.6944199402649203,P4/mmm
278_Al12Sn4,0.1373679800708411,Pnma
289_P5As,0.7837244693717675,F-43m
293_Mo4Pb2,0.5902547794711998,Cmcm
298_PtV3,-0.2900346358635062,P4/mmm
310_Ba6Sn2,-0.1445053251641583,Cmcm
312_Nb2W4,0.1948479195466153,Pnnm
315_CrNa,0.9867061782141312,Cmmm
316_MnW,1.98968045727348,F-43m
319_GaNa3,0.0242168552505561,P4/mmm
336_KP3,0.0163658427781863,Pmmm
348_MnNb,1.8045609325081904,F-43m
349_Ga2As2,0.2211742613306651,P4/nmm
358_SbGe,0.3136889612467888,Cmmm
364_Ca2Sn,-0.4536710840000347,I4/mmm
365_In2Na2,-0.095822273802697,P4/nmm
380_MoTa2,-0.1507586219781795,I4/mmm
381_Sb4Ge2,0.2403865894397162,Cmcm
391_Ga2Na,-0.0480496307103811,I4/mmm
404_Au3P,0.2363162278525057,Cmmm
461_Nb2Pt2,-0.6457401466596764,Pmma
462_Fe2Pb4,0.4720998800685994,Pnnm
470_P24As5,0.2436816057725621,I-43m
491_Ag2Al2,-0.0136965697181792,P4/nmm
497_Al4Th6,-0.2419117160556957,P4/mbm
501_FeSb3,0.3358709608334767,Immm
521_CuGe,0.1750219402579942,P4/mmm
528_IrTa3,-0.316739098636301,Immm
531_Pb3Ta,0.7059161694290506,I4/mmm
544_Mn4Sb5,0.6126234421869883,I4/mmm
548_CuIr,1.7455088971045418,F-43m
552_Fe17Pb12,1.2324810144787373,I-43m
562_Mo2W4,-0.0005864744588208,C2/m
574_Ag2Al,-0.0620567473526894,I4/mmm
585_AuNi,0.9641375582202292,F-43m
589_Ni2P6,0.3413307033604384,I4/mmm
595_Fe2Ga2,0.0474305641048955,P4/nmm
599_Ag2Na,-0.0121683720273303,Immm
602_W2As2,0.3709171496726551,P4/nmm
611_BaTa3,1.209436450673138,P4/mmm
613_IrAs,0.2667370160346731,Fm-3m
616_Mo2Nb2,-0.0860738262660874,Fd-3m
618_TaGe4,0.177546213788969,I4/m
630_P4As,0.812091334973811,Im-3m
633_Fe4V12,0.0347610532886228,Pnma
635_CrNb,0.0400403641248559,Pm-3m
639_Ni2P2,-0.165174269500933,P4/nmm
644_Al2Pt2,-0.9206056344885516,Imma
647_PtTh,-0.9985407139856556,R-3m
650_Mo5P24,0.4231915241768708,I-43m
654_Al2In4,0.1587686536238752,Cmcm
655_PdRh2,0.0668231722260811,I4/mmm
657_CsI,-1.618852980774196,P-6m2
658_AgAl5,-0.0043263235933051,P4/mmm
675_AlRh3,-0.4132671229453981,Pmmm
683_Cr3Na,0.5610182583884997,Cmmm
686_Cu4Ge2,0.1101341585813073,Pnnm
688_AuV,0.5982158839355014,Fm-3m
692_Fe2Mo,0.8089052993960735,Fm-3m
701_Fe2W4,0.1736369429963483,Cmcm
704_Cu7Pt5,-0.1193349788810517,P1
706_Ta4V6,0.1993984094369878,Fdd2
710_K2Ge2,-0.1416724648632179,Cmcm
712_PtSb3,0.0037757119550514,P4/mmm
719_BaV3,0.6593841522437529,P4/mmm
727_Ga2W,0.2419851468309346,I4/mmm
728_FeBr3,0.3130408727754359,Fm-3m
734_Fe3Ir4,0.3829532302239989,I4/mmm
736_Cr2Nb4,0.7428867004486825,Fd-3m
737_NiBi3,0.3715862485464503,Fm-3m
743_Al4P2,0.1063656280243972,I4/mcm
747_Mo3Ta,-0.1285233832042944,P4/mmm
750_Cr2As4,0.1067575780174448,I4_1/amd
757_W5P,0.7596371541010379,F-43m
769_P16Br4,0.5858727126604272,I23
770_Cr4Sr5,0.8423494786280783,I4/mmm
774_W5Sb,0.6439930759214031,F-43m
777_Al2Cu6,-0.1611115337218152,Cmcm
783_Fe2Ir2,0.0966810213421247,P4/nmm
790_Ba5V,0.5349305232872368,P4/mmm
799_Ba3In,-0.2065075990659131,P4/mmm
809_PbAs3,0.3753619279989451,Cmmm
834_Ag5Sn3,0.0055465449788667,Cmmm
842_Na4Pt2,-0.1813541043859411,I4/mcm
847_Fe3Pb,0.8418246784643095,Pm-3m
921_Cr4P8,0.1722750167158722,Pa-3
928_CaMo3,0.7670388591526027,Pmmm
929_GeP3,0.3912980832327397,Immm
930_Ba4Pd2,-0.3112198981691587,Cmcm
932_BaBr2,-2.124731627500796,I4/mmm
934_Nb2Pb4,0.527916409969278,Pnnm
939_In2Sn2,0.0072557806581281,C2/m
954_Ga24Pt5,-0.0221923533320317,I-43m
962_In2Na,-0.0923335285838901,I4/mmm
963_Pb5As,0.0730055359613004,Cmmm
966_Ag2Ca,-0.2523950355557402,I4/mmm
969_CsW,2.3783873322065965,P-6m2
970_Nb4W8,0.124329705043389,Pnma
985_BaIr3,1.048165124383834,Fm-3m
987_Cr2Na2,0.9853560370272048,Pmmn
989_Cr5Sr4,0.8622231105534092,I4/mmm
990_Ga16Pt4,-0.0780871849600103,I-43m
992_K3Na,0.0077935929563961,P4/mmm
993_Ba4Ni6,0.4805433521371796,R-3c
997_Ga3W,0.2291023504900202,P4/mmm
1001_Ge2Br,-0.0034931880682318,I4/mmm
1011_Cr2Rh2,0.0194575353109609,P4/nmm
1012_KPt,0.3818962756672643,P4/mmm
1016_FePt,0.1046782928175824,P4/mmm
1018_AlPd3,-0.5908285954344459,P4/mmm
1035_K2Sn,-0.0105444293062548,I4/mmm
1040_Cu8Pt4,-0.1016922929724071,P-1
1043_AsBr2,0.1637912403107397,I4/mmm
1047_K2Na4,0.0428438262803355,Pnnm
1048_Cu7Pt5,-0.1273997840012809,P1
1054_Sr16W4,1.1537662752830578,I-43m
1058_V4W2,0.6447502404714527,Pnnm
1061_AgNa2,0.0057255469738176,I4/mmm
1064_EuU,1.3282505515044436,Fm-3m
1065_Cr3Rh,0.0961999135035913,P4/mmm
1070_Ni5Ta,-0.2416319823883223,F-43m
1072_Fe2Pb2,0.2930038543888518,P4/nmm
1074_NiSn2,-0.0607263927219516,I4/mmm
1077_AgTa7,0.265534970245266,Fm-3m
1083_Ba3Ta,0.8554577806908497,P4/mmm
1089_MoP,-0.4032645725072434,Pm-3m
1090_Al3K,0.3997707114694173,Fm-3m
1112_Cr3Ta,0.054785266293079,Immm
1122_Au4Mn6,0.1804851735896761,Fdd2
1123_Au8Mn4,-0.03722282827629,Pnma
1133_Mn2Sn4,-0.0217938214707539,I4/mcm
1141_AlPd2,-0.7903348888563736,I4/mmm
1145_Ba2Ir4,-0.006348404294106,Fd-3m
1154_BaIr3,0.8991729438340785,Pm-3m
1168_Pb5Sr24,0.0469595991761585,I-43m
1170_NbP3,-0.1655885277068263,P4/mmm
1174_PbV4,1.736418693171305,Im-3m
1177_PAs5,0.7699399335684985,F-43m
1180_Mo3W,-0.0004325140166905,P2/m
1183_K3Sn,-0.0495743689624823,Immm
1192_Ge8I32,-0.4877157299122451,Pa-3
1193_Ag7Al3,-0.0400596366406151,Amm2
1196_Ba4Sb2,-0.7672871561808551,I4/mcm
1203_BaCu5,0.1611099610981305,Amm2
1204_PdW2,0.0761774245930648,Fmmm
1224_Na3Pt,-0.0569240620067024,I4/mmm
1241_VW2,-0.0960441537532806,I4/mmm
1243_Ag2Ge6,0.2741174677480242,Cmcm
1270_Cu2Sn2,0.0571521049419954,P4/nmm
1274_Al5Sr,0.0170560447700485,Cmmm
1275_Ca2W2,0.4891521987122589,P4/nmm
1278_CrNb3,0.2586689314898542,I4/mmm
1280_Fe17Pd12,0.6157757955179565,I-43m
1282_Ga8Pt16,-0.3592429540116804,Fd-3m
1285_Ga4As2,0.1240833690026974,I4/mcm
1288_FeIr3,0.5584664826945129,P4/mmm
1292_CrNb2,0.6005480090209071,Fm-3m
1299_Cr2Na6,0.6015848251485396,Cmcm
1316_TaGe3,0.2141826952026813,Pmm2
1354_V3Br,0.2459976949128535,P4/mmm
1383_CrPt3,-0.0451815759747766,P4/mmm
1384_VBr3,0.6187073980676105,P4/mmm
1391_PdTa2,-0.0609986808037371,I4/mmm
