file_name,value_per_atom,space_group
4_Ir2Na2,0.4721300324400452,Imma
10_Ba2Bi3,-0.8094130623309983,Immm
15_CuNb,0.2119333832970964,P4/mmm
27_Cr4Sr5,0.8411270269282158,I4/mmm
31_CsNi,1.2079635948348568,Amm2
34_Nb4W8,0.1253886633291424,Pnma
37_AlMn,-0.1653908717519483,P-6m2
50_Ir16Pd8,0.7219119116409539,Fd-3m
53_NiRh,0.0437963995323711,P-6m2
59_GaNp,-0.1856436631432938,P-6m2
65_Al4P2,0.0048209866646065,I4_1/amd
72_Ni4Ge4,-0.3244859129136115,Pnma
73_NiSb2,-0.0025785561335673,I4/mmm
75_Fe8Pt,-0.0521674073461721,I4/mmm
77_Au4Mn,-0.0475317577619271,Immm
86_Ni2Sb2,-0.0582208439969926,P4/nmm
94_Al2Pd2,-0.7411901811862194,P4/nmm
97_Ag3Al,-0.0385368658765874,P4/mmm
100_Ge3Br,0.1809122110204661,P4/mmm
101_CrW3,0.0537844050765876,P4/mmm
102_Cr2Sn2,0.2075312870777024,P4/nmm
111_AgAl3,-0.0152064934718052,P4/mmm
114_CrNb3,0.0723080494381864,Immm
119_IrP,-0.126183099143863,R-3m
121_Fe12W12,0.1591388106529313,Pbcm
127_Ge4As2,0.2688744583085179,Pnnm
138_Ge2As4,0.1196947121736281,Pnnm
139_NpSb,-0.4497482521408535,Fm-3m
140_CrNb5,0.4547293105615727,F-43m
144_CaRh4,-0.0123593460472001,I4/m
146_RbRh,1.0519039009339617,P-6m2
150_YbP,-0.8482652900103984,R-3m
161_Ni2Ta4,0.6395073564584782,Fd-3m
165_Ni2Sn,-0.1054898433116857,I4/mmm
167_Al3P,0.1003177873692511,Pm-3m
169_Cu3Ta,0.0786238311665679,P4/mmm
173_Ba2V,0.6621519240922341,I4/mmm
174_PbSr7,-0.030999434316967,Fm-3m
176_In3K,-0.0780771556712189,Cmmm
178_SrW2,3.2276063672278554,Fm-3m
179_Al2Rh,-0.6991817297737448,P4/mmm
187_Ta2Ge2,0.1017352688524066,P4/nmm
188_BiBr,-0.3222004881677978,P-6m2
197_Mn10Sn6,0.2141267769039148,I4/mcm
198_K8P4,-0.0861383471739086,Pnma
223_Pd12Ta18,-0.1882194332244068,P4_2/mnm
231_Ba3Ir,0.3315548688782104,Pm-3m
235_PAs3,0.5081874789383827,Fm-3m
241_CrTa,2.5070367353222007,F-43m
