formula,n_distinct_space_groups,distinct_space_groups
Mo4P8,2,"['I4_1/amd', 'Pa-3']"
Mo5W,2,"['Cmmm', 'P4/mmm']"
MoBr3,2,"['Imm2', 'Pmm2']"
MoI,2,"['F-43m', 'Fm-3m']"
MoNb2,2,"['I4/mmm', 'Immm']"
MoP,2,"['Fm-3m', 'Pm-3m']"
MoP3,2,"['P4/mmm', 'Pm-3m']"
MoRh2,2,"['I4/mmm', 'Immm']"
MoW,2,"['P-6m2', 'Pm-3m']"
MoW2,2,"['I4/mmm', 'Immm']"
MoW3,2,"['P4/mmm', 'Pmm2']"
MoW5,2,"['Cmmm', 'F-43m']"
Na2Pb2,2,"['Imma', 'Pmmn']"
Na2Pd,2,"['Fmmm', 'Immm']"
Na2Pt,2,"['I4/mmm', 'P4/mmm']"
Na2Pt4,2,"['Cmcm', 'I4/mcm']"
Na3Pd,2,"['Imm2', 'Immm']"
Na3Rh,2,"['Cmmm', 'Immm']"
Na4Pb2,2,"['Cmcm', 'Fd-3m']"
Na4Pt8,2,"['I4_1/amd', 'Pnma']"
Na5Pt,2,"['Cmmm', 'F-43m']"
NaP,2,"['Cmmm', 'P-6m2']"
NaPb,2,"['P-6m2', 'Pm-3m']"
NaPt2,2,"['I4/mmm', 'P4/mmm']"
NaPt3,2,"['Fm-3m', 'P4/mmm']"
NaSr,2,"['P4/mmm', 'Pm-3m']"
Nb10Ge6,2,"['I4/mcm', 'P6_3/mcm']"
Nb2Pb4,2,"['Cmcm', 'Pnnm']"
Nb2V4,2,"['I4/mcm', 'I4_1/amd']"
Nb2W,2,"['I4/mmm', 'Immm']"
Nb6Pt2,2,"['Cmcm', 'Pm-3n']"
NbBr3,2,"['Immm', 'P4/mmm']"
Ni2Ge4,2,"['Cmcm', 'Pnnm']"
Ni2P2,2,"['Cmcm', 'P4/nmm']"
Ni2P4,2,"['Cmcm', 'I4/mcm']"
Ni2Pb2,2,"['P6_3/mmc', 'P6_3mc']"
Ni2Rh4,2,"['Cmmm', 'Fd-3m']"
Ni2Sb,2,"['I4/mmm', 'P4/mmm']"
Ni2Sb4,2,"['I4/mcm', 'Pnnm']"
Ni2Sn2,2,"['P4/nmm', 'Pmmn']"
Ni2Ta,2,"['Fm-3m', 'I4/mmm']"
NiAs3,2,"['Fm-3m', 'P4/mmm']"
NiGe2,2,"['I4/mmm', 'P4/mmm']"
NiPt,2,"['P-6m2', 'P4/mmm']"
NiRh,2,"['P-6m2', 'R-3m']"
NpPd,2,"['P-6m2', 'R-3m']"
NpYb,2,"['P4/mmm', 'R-3m']"
P3As,2,"['Fm-3m', 'Pm-3m']"
Pb2As4,2,"['Cmcm', 'Pnnm']"
Pb2Sr2,2,"['Cmcm', 'Pmma']"
Pb2V2,2,"['Imma', 'P4/nmm']"
Pb2V4,2,"['Cmcm', 'Fd-3m']"
Pb3Sr,2,"['I4/mmm', 'Pm-3m']"
Pb4V4,2,"['P2_13', 'Pnma']"
Pb6As2,2,"['Pm-3n', 'Pmmn']"
PbGe,2,"['Fm-3m', 'P4/mmm']"
PbP3,2,"['I4/mmm', 'P4/mmm']"
PbSb,2,"['Cmmm', 'P4/mmm']"
PbSb3,2,"['I4/mmm', 'Immm']"
PbTa3,2,"['I4/mmm', 'P4/mmm']"
Pd2Rh2,2,"['Cmme', 'P4/nmm']"
Pd2V2,2,"['Cmcm', 'Pmma']"
Pd2W,2,"['I4/mmm', 'Immm']"
Pd2W2,2,"['Cmcm', 'Cmme']"
Pd3Sb,2,"['Immm', 'Pmm2']"
Pd3Ta,2,"['I4/mmm', 'P4/mmm']"
Pd4As2,2,"['Cmcm', 'Pnnm']"
PdAs3,2,"['Imm2', 'Pmm2']"
PdRh2,2,"['I4/mmm', 'P4/mmm']"
PdRh4,2,"['I4/m', 'I4/mmm']"
Pt2As,2,"['I4/mmm', 'P4/mmm']"
Pt2Sn2,2,"['I4_1/amd', 'P4/nmm']"
Pt6As2,2,"['Cmcm', 'I4/mmm']"
PtAs3,2,"['P4/mmm', 'Pmmm']"
PtSm,2,"['F-43m', 'Pm-3m']"
PtTh,2,"['P-6m2', 'R-3m']"
PtYb,2,"['Fm-3m', 'R-3m']"
RbTa,2,"['Fm-3m', 'P-6m2']"
RbU,2,"['Fm-3m', 'P-6m2']"
RbW,2,"['F-43m', 'P4/mmm']"
Rh2W2,2,"['Pmma', 'Pmmn']"
Rh3As,2,"['Cmmm', 'Pmmm']"
Rh4W2,2,"['I4/mcm', 'I4_1/amd']"
RhBr,2,"['P-6m2', 'R-3m']"
RhSb,2,"['F-43m', 'Pm-3m']"
RhV,2,"['F-43m', 'P-6m2']"
RhYb,2,"['P-6m2', 'Pm-3m']"
Sb2Ge2,2,"['Imma', 'P4/nmm']"
Sb4Ge2,2,"['Cmcm', 'I4/mcm']"
Sb5Ge,2,"['Amm2', 'Cmmm']"
Sb6Ge2,2,"['Cmcm', 'Pmmn']"
SbGe,2,"['Cmmm', 'Pm-3m']"
SbP,2,"['Fm-3m', 'Pm-3m']"
SmSb,2,"['P-6m2', 'R-3m']"
Sn2P4,2,"['Fd-3m', 'Pnnm']"
Sn2W,2,"['I4/mmm', 'P4/mmm']"
Sn3W,2,"['Imm2', 'Pmmm']"
SnP,2,"['F-43m', 'Fm-3m']"
SnP3,2,"['Fm-3m', 'Im-3m']"
SnSb,2,"['F-43m', 'Pm-3m']"
SnW,2,"['Cmmm', 'F-43m']"
SrBi,2,"['P-6m2', 'P4/mmm']"
SrBr,2,"['Fm-3m', 'P-6m2']"
Ta2Ge2,2,"['Cmcm', 'P4/nmm']"
Ta2Sb2,2,"['Cmcm', 'I4_1/amd']"
Ta2V2,2,"['Cmcm', 'Imma']"
TaSb3,2,"['Cmmm', 'P4/mmm']"
V2W,2,"['Fm-3m', 'Immm']"
V3Ge,2,"['I4/mmm', 'P4/mmm']"
V4W2,2,"['I4_1/amd', 'Pnnm']"
VBr3,2,"['I4/mmm', 'P4/mmm']"
VW2,2,"['I4/mmm', 'Immm']"
W3Sb,2,"['Fm-3m', 'Pmm2']"
W4Sb2,2,"['Cmcm', 'Pnnm']"
W5Sb,2,"['Cmmm', 'F-43m']"
WAs2,2,"['I4/mmm', 'P4/mmm']"
WAs3,2,"['Imm2', 'P4/mmm']"
WP,2,"['F-43m', 'Pm-3m']"
Ac2Al6,1,['P6_3/mmc']
Ac3Fe,1,['Fm-3m']
Ac3I,1,['Pm-3m']
Ac3Mn,1,['I4/mmm']
Ac3Yb,1,['Fm-3m']
Ac4Bi6,1,['R-3c']
Ac4Br6,1,['R-3c']
Ac4I6,1,['R-3c']
AcAl3,1,['I4/mmm']
AcBi,1,['P-6m2']
AcBi3,1,['Pm-3m']
AcBr,1,['P-6m2']
AcEu,1,['P-6m2']
AcK,1,['P-6m2']
AcMn,1,['P4/mmm']
AcMo,1,['Pm-3m']
AcNa,1,['Pm-3m']
AcNb,1,['Fm-3m']
AcNp,1,['P-6m2']
AcP,1,['Pm-3m']
AcPa,1,['Fm-3m']
AcPb,1,['P-6m2']
AcPd,1,['P-6m2']
AcRb,1,['Fm-3m']
AcSb,1,['Fm-3m']
AcSn,1,['P4/mmm']
AcTh,1,['P-6m2']
AcTh3,1,['Pm-3m']
AcV,1,['Pm-3m']
AcV3,1,['I4/mmm']
Ag10Fe6,1,['I4/mcm']
Ag12Br12,1,['Pbcm']
Ag12Br4,1,['Pnma']
Ag12P17,1,['I-43m']
Ag14Ca4,1,['Cmcm']
Ag14Yb4,1,['Cmcm']
Ag24Al5,1,['I-43m']
Ag2Al,1,['I4/mmm']
Ag2Al6,1,['I4/mmm']
Ag2Au2,1,['Cmme']
Ag2Ba2,1,['Cmcm']
Ag2Br2,1,['P2_1/m']
Ag2Br6,1,['I4/mmm']
Ag2Ca,1,['I4/mmm']
Ag2Ca4,1,['I4/mcm']
Ag2Cu,1,['I4/mmm']
Ag2Ga,1,['Immm']
Ag2Ga4,1,['Cmcm']
Ag2Ge4,1,['Pnnm']
Ag2Ge6,1,['Cmcm']
Ag2In2,1,['P4/nmm']
Ag2In4,1,['I4/mcm']
Ag2Ir4,1,['Fd-3m']
Ag2Mn2,1,['P4/nmm']
Ag2Mo2,1,['Pmma']
Ag2Na,1,['Immm']
Ag2Nb,1,['Immm']
Ag2Nb2,1,['Cmcm']
Ag2P,1,['Fm-3m']
Ag2P2,1,['Imma']
Ag2Sn,1,['I4/mmm']
Ag2Sn2,1,['P4/nmm']
Ag2Sn4,1,['I4_1/amd']
Ag2Ta4,1,['Fd-3m']
Ag3Al5,1,['P1']
Ag3Au,1,['Cmmm']
Ag3Ca,1,['P4/mmm']
Ag3In,1,['P4/mmm']
Ag3Mo,1,['P4/mmm']
Ag3Na5,1,['Cmmm']
Ag3Nb3,1,['Cm']
Ag3P,1,['Pm-3m']
Ag3Pb,1,['Imm2']
Ag3Pt9,1,['Immm']
Ag3Sn,1,['P4/mmm']
Ag3Sr,1,['Pm-3m']
Ag3Ta,1,['Fm-3m']
Ag3Th,1,['Pm-3m']
Ag3V,1,['I4/mmm']
Ag4Al3,1,['I4/mmm']
Ag4Al5,1,['I4/mmm']
Ag4Al8,1,['P-1']
Ag4Ba6,1,['Fdd2']
Ag4Ba8,1,['Pnma']
Ag4Br2,1,['Cmcm']
Ag4Fe,1,['I4/m']
Ag4Ge12,1,['Pnma']
Ag4Ge4,1,['Pnma']
Ag4Ge6,1,['Fdd2']
Ag4Ir2,1,['Fd-3m']
Ag4Mo,1,['I4/m']
Ag4Na2,1,['Pnnm']
Ag4Pd6,1,['Fdd2']
Ag4Sn8,1,['I4_1/amd']
Ag4Sr2,1,['Fd-3m']
Ag4W,1,['I4/mmm']
Ag5Al,1,['P4/mmm']
Ag5Al2,1,['I4/mmm']
Ag5Al3,1,['Amm2']
Ag5Al4,1,['P-1']
Ag5Al5,1,['P-1']
Ag5Al7,1,['P-1']
Ag5In,1,['P4/mmm']
Ag5P,1,['F-43m']
Ag5Pt6,1,['P1']
Ag5Sn3,1,['Cmmm']
Ag6Al4,1,['P-1']
Ag6Al5,1,['P-1']
Ag6Fe2,1,['P6_3/mmc']
Ag6P2,1,['Pm-3n']
Ag6Pt3,1,['P-1']
Ag6Pt5,1,['P1']
Ag6V10,1,['I4/mcm']
Ag7Al3,1,['Amm2']
Ag7Al5,1,['P1']
Ag7Pt3,1,['Pmm2']
Ag7Pt5,1,['P1']
Ag7Ta,1,['Fm-3m']
Ag8Au4,1,['I4_1/amd']
Ag8K4,1,['P6_3/mmc']
Ag8Mn,1,['I4/mmm']
Ag8P16,1,['Fd-3m']
Ag8Ta4,1,['Pa-3']
AgAl,1,['P4/mmm']
AgAl4,1,['I4/mmm']
AgAl5,1,['P4/mmm']
AgAs,1,['Fm-3m']
AgAu2,1,['I4/mmm']
AgAu3,1,['Pmm2']
AgAu5,1,['P4/mmm']
AgBa,1,['P4/mmm']
AgBr,1,['Cmmm']
AgBr2,1,['Immm']
AgBr3,1,['Cmmm']
AgCa2,1,['I4/mmm']
AgCu8,1,['I4/mmm']
AgGa3,1,['Pmmm']
AgGe,1,['Cmmm']
AgGe2,1,['Immm']
AgGe3,1,['Immm']
AgGe5,1,['Cmmm']
AgI,1,['F-43m']
AgIn2,1,['P4/mmm']
AgIr,1,['P4/mmm']
AgIr3,1,['Pm-3m']
AgMn,1,['P4/mmm']
AgMn2,1,['I4/mmm']
AgMn3,1,['P4/mmm']
AgMn4,1,['I4/m']
AgMn8,1,['I4/mmm']
AgMo,1,['Pm-3m']
AgMo2,1,['Immm']
AgMo3,1,['P4/mmm']
AgNa2,1,['I4/mmm']
AgNa4,1,['I4/m']
AgNb,1,['Fm-3m']
AgNi2,1,['Immm']
AgP7,1,['Fm-3m']
AgRb,1,['Pm-3m']
AgSn,1,['P4/mmm']
AgSn3,1,['P4/mmm']
AgSn4,1,['I4/mmm']
AgSn8,1,['I4/mmm']
AgSr2,1,['I4/mmm']
AgTa,1,['F-43m']
AgTa7,1,['Fm-3m']
AgTh,1,['Fm-3m']
AgW,1,['Pm-3m']
AgW2,1,['I4/mmm']
Al10Au20,1,['Pnnm']
Al10Ga6,1,['Cmcm']
Al10Ta20,1,['P4_2/mnm']
Al12As17,1,['I-43m']
Al12K12,1,['Pbcm']
Al12Pb12,1,['Pbcm']
Al12Sn4,1,['Pnma']
Al14Th4,1,['Pbam']
Al16As8,1,['Fd-3m']
Al16Cu36,1,['P-43m']
Al16Ge8,1,['Fd-3m']
Al16Mn4,1,['I-43m']
Al17As12,1,['I-43m']
Al18In6,1,['Pmmn']
Al18Pb6,1,['Pmmn']
Al18Pt6,1,['Pmmn']
Al18Rh6,1,['Pmmn']
Al2As,1,['Fm-3m']
Al2Au,1,['I4/mmm']
Al2Ba,1,['I4/mmm']
Al2Ca6,1,['P6_3/mmc']
Al2Fe,1,['I4/mmm']
Al2In4,1,['Cmcm']
Al2In6,1,['Cmcm']
Al2K,1,['I4/mmm']
Al2Mn,1,['Fm-3m']
Al2Mo6,1,['P6_3/mmc']
Al2Na,1,['I4/mmm']
Al2Na2,1,['Cmme']
Al2Nb2,1,['I4_1/amd']
Al2Nb6,1,['P6_3/mmc']
Al2Ni,1,['I4/mmm']
Al2Ni2,1,['Pmmn']
Al2Ni4,1,['Cmcm']
Al2P,1,['I4/mmm']
Al2P2,1,['P4/nmm']
Al2P4,1,['I4/mcm']
Al2Pb4,1,['Pnnm']
Al2Pd,1,['I4/mmm']
Al2Pd2,1,['P4/nmm']
Al2Pd6,1,['Cmcm']
Al2Pt,1,['P4/mmm']
Al2Sb6,1,['Cmcm']
Al2Ta,1,['I4/mmm']
Al2Ta4,1,['Pnnm']
Al2Th,1,['P6/mmm']
Al2Th2,1,['Cmcm']
Al2Th4,1,['I4/mcm']
Al2U2,1,['P6_3/mmc']
Al2V,1,['Fmmm']
Al3Ba,1,['P4/mmm']
Al3Cu,1,['Immm']
Al3Cu2,1,['P-3m1']
Al3Cu5,1,['Cmmm']
Al3Cu9,1,['Pmmm']
Al3Fe,1,['I4/mmm']
Al3Ga,1,['Cmmm']
Al3Ge,1,['Fm-3m']
Al3I,1,['I4/mmm']
Al3Ir,1,['Imm2']
Al3Mn,1,['Pm-3m']
Al3Mo,1,['Pmmm']
Al3Na,1,['Cmmm']
Al3Nb,1,['I4/mmm']
Al3Ni,1,['Imm2']
Al3P,1,['Pm-3m']
Al3Pb,1,['Pm-3m']
Al3Pd,1,['P4/mmm']
Al3Pt5,1,['Cmmm']
Al3Sb5,1,['Cmmm']
Al3Sm,1,['Pm-3m']
Al3Sn3,1,['Cm']
Al3Sn5,1,['Cmmm']
Al3Th,1,['Fm-3m']
Al3V,1,['I4/mmm']
Al42Pd16,1,['I4_1/a']
Al4As2,1,['P4_2/mnm']
Al4Ba,1,['I4/mmm']
Al4Ba3,1,['I4/mmm']
Al4Bi2,1,['P4_2/mnm']
Al4Ce,1,['I4/mmm']
Al4Ce2,1,['P4_2/mnm']
Al4Cr2,1,['P4_2/mnm']
Al4Cu2,1,['Cmcm']
Al4Cu8,1,['Pnma']
Al4Eu2,1,['P4_2/mnm']
Al4Ga2,1,['I4/mcm']
Al4Ga8,1,['Pnma']
Al4Ge8,1,['Pa-3']
Al4I2,1,['P4_2/mnm']
Al4In2,1,['Cmcm']
Al4Ir2,1,['Cmcm']
Al4K5,1,['I4/mmm']
Al4Mn,1,['Im-3m']
Al4Mn8,1,['Pa-3']
Al4Mo12,1,['Pnma']
Al4Mo2,1,['Imma']
Al4Mo4,1,['Pnma']
Al4Ni4,1,['Pnma']
Al4Np2,1,['P4_2/mnm']
Al4Pb2,1,['Pnnm']
Al4Pb8,1,['Pnma']
Al4Pd2,1,['P4_2/mnm']
Al4Pd4,1,['Pnma']
Al4Pt6,1,['Fdd2']
Al4Pt8,1,['Pnma']
Al4Rh2,1,['Imma']
Al4Sb2,1,['I4_1/amd']
Al4Sr2,1,['Pnnm']
Al4Ta5,1,['I4/mmm']
Al4Th2,1,['Fd-3m']
Al4Th6,1,['P4/mbm']
Al4V2,1,['I4_1/amd']
Al5As24,1,['I-43m']
Al5K,1,['P4/mmm']
Al5K4,1,['I4/mmm']
Al5Mn,1,['F-43m']
Al5Mn24,1,['I-43m']
Al5Ni,1,['Amm2']
Al5Pt,1,['Amm2']
Al5Rh7,1,['Fmmm']
Al5Sr,1,['Cmmm']
Al6Ba2,1,['P6_3/mmc']
Al6Br2,1,['Cmcm']
Al6Ca4,1,['Fdd2']
Al6Cu18,1,['Pmmn']
Al6Cu2,1,['Cmcm']
Al6In2,1,['Pmmn']
Al6Mn2,1,['Pm-3n']
Al6Pb18,1,['Pmmn']
Al6Pt4,1,['Fdd2']
Al6Rb2,1,['P6_3/mmc']
Al6Sb2,1,['I4/mmm']
Al6Sr2,1,['Pmmn']
Al7Ge,1,['Fm-3m']
Al8As4,1,['Pa-3']
Al8Fe,1,['I4/mmm']
Al8Mn16,1,['Fd-3m']
Al8Pb4,1,['Pnma']
Al8Sn4,1,['Pnma']
Al8Ta4,1,['I4_1/amd']
Al9Sr5,1,['R-3m']
AlAs3,1,['Fm-3m']
AlBa5,1,['P4/mmm']
AlBa8,1,['I4/mmm']
AlCa3,1,['Immm']
AlCe,1,['Pm-3m']
AlCe3,1,['Pm-3m']
AlCs,1,['P4/mmm']
AlCs3,1,['Fm-3m']
AlCu3,1,['Imm2']
AlCu5,1,['Cmmm']
AlFe,1,['P-6m2']
AlFe2,1,['Fmmm']
AlFe3,1,['Immm']
AlGa,1,['Cmmm']
AlGa2,1,['I4/mmm']
AlGa3,1,['Cmmm']
AlGe,1,['Pm-3m']
AlGe3,1,['Pm-3m']
AlIn5,1,['F-43m']
AlK,1,['Pm-3m']
AlK4,1,['I4/mmm']
AlK5,1,['P4/mmm']
AlMn3,1,['Pm-3m']
AlMn4,1,['Im-3m']
AlMn5,1,['F-43m']
AlMo,1,['Pm-3m']
AlMo2,1,['Fmmm']
AlNa3,1,['I4/mmm']
AlNb,1,['P-6m2']
AlNb2,1,['I4/mmm']
AlNb3,1,['P4/mmm']
AlNb5,1,['P4/mmm']
AlNi,1,['P-6m2']
AlNi5,1,['Amm2']
AlNp3,1,['Fm-3m']
AlP2,1,['I4/mmm']
AlP4,1,['I4/m']
AlPa,1,['P4/mmm']
AlPb3,1,['Fm-3m']
AlPb8,1,['I4/mmm']
AlPd3,1,['P4/mmm']
AlPt2,1,['I4/mmm']
AlPt3,1,['Cmmm']
AlRb,1,['P4/mmm']
AlRh2,1,['I4/mmm']
AlRh4,1,['I4/mmm']
AlSb2,1,['I4/mmm']
AlSb3,1,['Immm']
AlSm,1,['R-3m']
AlSn,1,['Fm-3m']
AlSn3,1,['C2/m']
AlSr5,1,['Cmmm']
AlTa,1,['Fm-3m']
AlTa4,1,['I4/m']
AlTa8,1,['I4/mmm']
AlV,1,['Fm-3m']
AlYb3,1,['Fm-3m']
As16Br4,1,['I23']
As17Br12,1,['I-43m']
As18Br6,1,['Pmmn']
As2Br,1,['I4/mmm']
As2Br2,1,['Fd-3m']
As4Br16,1,['I-43m']
As4Br4,1,['P2_13']
As5Br4,1,['I4/mmm']
As6Br2,1,['Pm-3n']
As8Br4,1,['Pa-3']
AsBr4,1,['Im-3m']
AsBr8,1,['I4/mmm']
AsI,1,['P-6m2']
Au10Ga6,1,['I4/mcm']
Au10Ni6,1,['I4/mcm']
Au12Nb12,1,['Pbcm']
Au12Ni4,1,['Pnma']
Au12Pb4,1,['Pnma']
Au12Sb17,1,['I-43m']
Au12Sb4,1,['Pnma']
Au12Sr17,1,['I-43m']
Au16Sn4,1,['I-43m']
Au16Sr4,1,['I-43m']
Au16Yb20,1,['Pnma']
Au21Ga6,1,['P-62m']
Au24Br5,1,['I-43m']
Au26Ta2,1,['Fm-3c']
Au2As,1,['Fmmm']
Au2As2,1,['P4/nmm']
Au2As4,1,['Pnnm']
Au2Ba6,1,['Pmmn']
Au2Br,1,['I4/mmm']
Au2Cr,1,['P4/mmm']
Au2Fe2,1,['Pmmn']
Au2Fe4,1,['I4/mcm']
Au2Ga4,1,['I4_1/amd']
Au2Ge4,1,['I4/mcm']
Au2In4,1,['Pnnm']
Au2Mn,1,['I4/mmm']
Au2Mn6,1,['Cmcm']
Au2Na4,1,['Fd-3m']
Au2Ni2,1,['Cmcm']
Au2P,1,['I4/mmm']
Au2Pb4,1,['I4_1/amd']
Au2Ta,1,['Fm-3m']
Au2V2,1,['P4/nmm']
Au2V6,1,['Pm-3n']
Au2W4,1,['I4/mcm']
Au3Ba5,1,['Cmmm']
Au3Cr,1,['P4/mmm']
Au3Cu,1,['Pm-3m']
Au3Fe4,1,['I4/mmm']
Au3Ir,1,['Immm']
Au3Na,1,['P4/mmm']
Au3Nb3,1,['Cm']
Au3Ni,1,['Cmmm']
Au3P4,1,['I4/mmm']
Au3Pb,1,['Imm2']
Au3Sb,1,['Pm-3m']
Au3Sn,1,['Fm-3m']
Au3Ta,1,['I4/mmm']
Au3V,1,['Pm-3m']
Au4Ba2,1,['Pnnm']
Au4Fe,1,['I4/m']
Au4Ga,1,['I4/mmm']
Au4In2,1,['Pnnm']
Au4K6,1,['Fdd2']
Au4Mn,1,['Immm']
Au4Mn6,1,['Fdd2']
Au4Na2,1,['Fd-3m']
Au4Ni3,1,['I4/mmm']
Au4Ni8,1,['Pnma']
Au4Sb12,1,['Pnma']
Au4Sr16,1,['I-43m']
Au4Sr2,1,['Imma']
Au4V,1,['Im-3m']
Au4V16,1,['I23']
Au4V2,1,['Cmcm']
Au5Cr4,1,['I4/mmm']
Au5Mn,1,['Cmmm']
Au5Nb,1,['Cmmm']
Au5Nb3,1,['Cmmm']
Au5Ni,1,['Amm2']
Au5Sr24,1,['I-43m']
Au6Ba2,1,['Pmmn']
Au6Ga10,1,['I4/mcm']
Au6K2,1,['Pmmn']
Au6Nb2,1,['Pmmn']
Au6Pb10,1,['I4/mcm']
Au6Sb2,1,['Pm-3n']
Au7Sb,1,['Fm-3m']
Au8Cu16,1,['Fd-3m']
Au8Cu4,1,['I4_1/amd']
Au8In,1,['I4/mmm']
Au8Mn4,1,['Pnma']
Au8Na4,1,['Pa-3']
Au8Rh4,1,['Pnma']
AuAs3,1,['Immm']
AuAs4,1,['I4/mmm']
AuAs5,1,['Cmmm']
AuBa,1,['Pm-3m']
AuBr,1,['Fm-3m']
AuCr2,1,['I4/mmm']
AuCr3,1,['P4/mmm']
AuCs,1,['P-6m2']
AuEu,1,['Fm-3m']
AuFe4,1,['I4/m']
AuGa3,1,['P4/mmm']
AuGa4,1,['I4/mmm']
AuGe,1,['P-6m2']
AuI,1,['P-6m2']
AuIn,1,['P4/mmm']
AuIn8,1,['I4/mmm']
AuIr,1,['F-43m']
AuIr3,1,['Immm']
AuK,1,['Fm-3m']
AuK3,1,['Imm2']
AuMn,1,['P-6m2']
AuMn3,1,['Pmmm']
AuMo,1,['F-43m']
AuNa3,1,['Pm-3m']
AuNb,1,['F-43m']
AuNb2,1,['Immm']
AuNi2,1,['Immm']
AuNi5,1,['Amm2']
AuNp,1,['F-43m']
AuP2,1,['I4/mmm']
AuPb,1,['Fm-3m']
AuPb3,1,['Pmm2']
AuPt,1,['F-43m']
AuRh,1,['Pm-3m']
AuRh2,1,['Immm']
AuRh3,1,['Pmmm']
AuSb2,1,['I4/mmm']
AuSn7,1,['Fm-3m']
AuTa3,1,['Pm-3m']
AuV3,1,['Fm-3m']
AuV5,1,['F-43m']
AuW2,1,['I4/mmm']
AuW4,1,['I4/m']
AuW8,1,['I4/mmm']
Ba12Ir17,1,['I-43m']
Ba16Ir4,1,['I-43m']
Ba16Ir8,1,['Fd-3m']
Ba2Bi3,1,['Immm']
Ba2Br,1,['I4/mmm']
Ba2Br2,1,['P4/nmm']
Ba2Br4,1,['I4/mcm']
Ba2Br6,1,['Pm-3n']
Ba2Ca2,1,['Pmmn']
Ba2Cu,1,['I4/mmm']
Ba2Cu2,1,['Cmcm']
Ba2Cu6,1,['Pmmn']
Ba2Fe,1,['I4/mmm']
Ba2Fe2,1,['P6_3mc']
Ba2Ge,1,['I4/mmm']
Ba2Ge6,1,['I4/mmm']
Ba2In,1,['I4/mmm']
Ba2In2,1,['C2/m']
Ba2Ir,1,['Fm-3m']
Ba2Ir4,1,['Fd-3m']
Ba2Mn2,1,['P4/nmm']
Ba2Na2,1,['P4/nmm']
Ba2Ni2,1,['P6_3mc']
Ba2Ni6,1,['I4/mmm']
Ba2P,1,['I4/mmm']
Ba2Pb,1,['Immm']
Ba2Pd,1,['Fmmm']
Ba2Pd2,1,['Cmcm']
Ba2Pt2,1,['P6_3/mmc']
Ba2Rh2,1,['P4/nmm']
Ba2Sb,1,['Fmmm']
Ba2Sb2,1,['Cmcm']
Ba2Sn6,1,['Cmcm']
Ba2Ta2,1,['Imma']
Ba2Ta4,1,['Cmcm']
Ba2V,1,['I4/mmm']
Ba2V4,1,['I4/mcm']
Ba2W,1,['Immm']
Ba3Br,1,['P4/mmm']
Ba3Cu,1,['P4/mmm']
Ba3Fe,1,['P4/mmm']
Ba3Ga,1,['Pmm2']
Ba3Ga5,1,['Cmmm']
Ba3Ge,1,['P4/mmm']
Ba3In,1,['P4/mmm']
Ba3In3,1,['Cm']
Ba3P,1,['Pm-3m']
Ba3Pt,1,['Pm-3m']
Ba3Rh,1,['Pm-3m']
Ba3Sb,1,['P4/mmm']
Ba3Sn,1,['Immm']
Ba3V,1,['P4/mmm']
Ba4As,1,['I4/m']
Ba4Br,1,['I4/mmm']
Ba4Br8,1,['Pnma']
Ba4Cu,1,['Im-3m']
Ba4Cu8,1,['Pnma']
Ba4Fe2,1,['C2/m']
Ba4In,1,['Im-3m']
Ba4In5,1,['I4/mmm']
Ba4Ir12,1,['Pnma']
Ba4Ir2,1,['Fd-3m']
Ba4Ni2,1,['Cmcm']
Ba4Ni6,1,['R-3c']
Ba4P,1,['Im-3m']
Ba4P2,1,['I4_1/amd']
Ba4P8,1,['I4_1/amd']
Ba4Pd2,1,['Cmcm']
Ba4Rh2,1,['Cmcm']
Ba4Sb2,1,['I4/mcm']
Ba4Sr16,1,['I-43m']
Ba4Sr8,1,['Pnma']
Ba4V2,1,['C2/m']
Ba4W2,1,['Pnnm']
Ba4W4,1,['Pnma']
Ba5Ca,1,['P4/mmm']
Ba5Fe,1,['Cm']
Ba5Ir24,1,['I-43m']
Ba5Pb,1,['Cmmm']
Ba5Pd,1,['Amm2']
Ba5Rh,1,['Cmmm']
Ba5Sn,1,['Cmmm']
Ba5Sn3,1,['Cmmm']
Ba5W,1,['Amm2']
Ba6As2,1,['I4/mmm']
Ba6Ir2,1,['Pm-3n']
Ba6Sn2,1,['Cmcm']
Ba7P,1,['Fm-3m']
Ba8Bi6,1,['I-43d']
Ba8P,1,['I4/mmm']
BaAs4,1,['I4/m']
BaAs8,1,['I4/mmm']
BaBr,1,['F-43m']
BaBr3,1,['P4/mmm']
BaCa3,1,['I4/mmm']
BaCa5,1,['P4/mmm']
BaFe2,1,['I4/mmm']
BaFe3,1,['P4mm']
BaFe4,1,['I4/m']
BaGa4,1,['I4/mmm']
BaGe,1,['Fm-3m']
BaGe2,1,['I4/mmm']
BaGe8,1,['I4/mmm']
BaIn,1,['Pm-3m']
BaIn2,1,['Fm-3m']
BaIn5,1,['P4/mmm']
BaIr5,1,['F-43m']
BaNb3,1,['Immm']
BaNi3,1,['P4mm']
BaP,1,['Fm-3m']
BaP3,1,['Pm-3m']
BaPa,1,['Fm-3m']
BaPd,1,['Cmmm']
BaPd3,1,['Immm']
BaRh2,1,['I4/mmm']
BaSn5,1,['Cmmm']
BaSr7,1,['Fm-3m']
BaTa2,1,['P4/mmm']
BaTa3,1,['P4/mmm']
BaTh,1,['Fm-3m']
BaU,1,['Fm-3m']
BaV2,1,['I4/mmm']
