formula,n_distinct_space_groups,distinct_space_groups
Fe3Pd,3,"['Cmmm', 'Fm-3m', 'Pm-3m']"
Fe3V,3,"['Cmmm', 'Fm-3m', 'Imm2']"
Fe4W2,3,"['Cmcm', 'Fd-3m', 'I4/mcm']"
FePb,3,"['F-43m', 'P-6m2', 'Pm-3m']"
FePd,3,"['F-43m', 'Fm-3m', 'Pm-3m']"
FePd3,3,"['Fm-3m', 'Pm-3m', 'Pmmm']"
GaMn2,3,"['Fm-3m', 'I4/mmm', 'P4/mmm']"
GaP,3,"['Fm-3m', 'Pm-3m', 'R-3m']"
Ge2P4,3,"['C2/m', 'Cmcm', 'Imma']"
In3Mn,3,"['Cmmm', 'Imm2', 'Pmm2']"
Ir2Pb2,3,"['Cmcm', 'Imma', 'P4/nmm']"
IrNa3,3,"['Cmmm', 'Immm', 'Pmm2']"
K3P,3,"['Fm-3m', 'Imm2', 'Pm-3m']"
KGe3,3,"['Imm2', 'Immm', 'Pm-3m']"
KNa3,3,"['I4/mmm', 'Immm', 'P4/mmm']"
Mn2Sb2,3,"['Cmcm', 'I4_1/amd', 'P4/nmm']"
Mn2V2,3,"['Cmcm', 'Imma', 'P4/nmm']"
Mn3Sb,3,"['Immm', 'P4/mmm', 'Pm-3m']"
MnPd3,3,"['Cmmm', 'Imm2', 'Pmm2']"
MnW,3,"['F-43m', 'Fm-3m', 'Pm-3m']"
Mo2Nb2,3,"['Cmcm', 'Fd-3m', 'Imma']"
Mo2Rh2,3,"['Cmcm', 'I4_1/amd', 'P4/nmm']"
MoSr3,3,"['I4/mmm', 'P4/mmm', 'Pmm2']"
Na2Rh4,3,"['Cmcm', 'Fd-3m', 'Pnnm']"
Na4P2,3,"['Cmc2_1', 'I4/mcm', 'P4_2/mnm']"
Na4Pt2,3,"['Cmcm', 'Fd-3m', 'I4/mcm']"
NaBr,3,"['Cmmm', 'Fm-3m', 'Pm-3m']"
NaP3,3,"['Cmmm', 'Imm2', 'Immm']"
NaPt,3,"['P-6m2', 'P4/mmm', 'Pm-3m']"
Nb2As2,3,"['Cmcm', 'Imma', 'P4/nmm']"
Nb3W,3,"['Immm', 'P4/mmm', 'Pmm2']"
NbW3,3,"['Cmmm', 'Immm', 'Pmm2']"
Ni2Sr2,3,"['Fd-3m', 'I4_1/amd', 'Pmma']"
Ni3P,3,"['Immm', 'P4/mmm', 'Pmmm']"
Ni3Sb,3,"['Fm-3m', 'I4/mmm', 'P4/mmm']"
PAs3,3,"['Fm-3m', 'Immm', 'Pm-3m']"
Pb3As,3,"['Fm-3m', 'I4/mmm', 'Immm']"
Pb3V,3,"['Immm', 'P4/mmm', 'Pm-3m']"
Pt2V2,3,"['Cmcm', 'Imma', 'P4/nmm']"
Rh3Ta,3,"['I4/mmm', 'Imm2', 'Pmm2']"
RhU,3,"['F-43m', 'P-6m2', 'P4/mmm']"
SbGe3,3,"['Cmmm', 'Imm2', 'Immm']"
SbP3,3,"['Cmmm', 'Im-3m', 'Imm2']"
SmW,3,"['F-43m', 'P-6m2', 'P4/mmm']"
Sn2W2,3,"['Cmcm', 'Imma', 'P4/nmm']"
Sn2W4,3,"['Cmcm', 'I4/mcm', 'I4_1/amd']"
Sn4W2,3,"['Cmcm', 'I4/mcm', 'I4_1/amd']"
SrAs,3,"['Immm', 'P-6m2', 'P4/mmm']"
SrI,3,"['Fm-3m', 'P-6m2', 'Pm-3m']"
TaGe3,3,"['Cmmm', 'Immm', 'Pmm2']"
V2Br2,3,"['I4_1/amd', 'Imma', 'P4/nmm']"
V3Br,3,"['Cmmm', 'I4/mmm', 'P4/mmm']"
W2Sb6,3,"['Cmcm', 'Pm-3n', 'Pmmn']"
WBr,3,"['Cmmm', 'P4/mmm', 'Pm-3m']"
WSb,3,"['F-43m', 'P-6m2', 'Pm-3m']"
AcSm,2,"['Fm-3m', 'P4/mmm']"
Ag2Al2,2,"['I4_1/amd', 'P4/nmm']"
Ag2Al3,2,"['I4/mmm', 'Immm']"
Ag2Mn,2,"['I4/mmm', 'Immm']"
Ag2Mn4,2,"['I4/mcm', 'I4_1/amd']"
Ag2Na4,2,"['I4/mcm', 'Pnnm']"
Ag2Sr,2,"['Fm-3m', 'I4/mmm']"
Ag3Al,2,"['P4/mmm', 'Pm-3m']"
Ag3Al4,2,"['I4/mmm', 'P-1']"
Ag3Ge,2,"['Imm2', 'Pmmm']"
Ag3K,2,"['I4/mmm', 'Immm']"
Ag3Mn,2,"['I4/mmm', 'P4/mmm']"
Ag3Ni,2,"['Pm-3m', 'Pmm2']"
Ag4Al,2,"['I4/m', 'Immm']"
Ag4Al6,2,"['P1', 'R-3c']"
Ag4Ba2,2,"['Cmcm', 'Imma']"
Ag4Mn2,2,"['I4/mcm', 'I4_1/amd']"
Ag4Nb2,2,"['Cm', 'Fd-3m']"
Ag4Pt7,2,"['P-1', 'P1']"
Ag4Pt8,2,"['P-1', 'Pnma']"
Ag4Sn,2,"['I4/m', 'I4/mmm']"
Ag4Sn2,2,"['I4/mcm', 'I4_1/amd']"
Ag5Pt5,2,"['P-1', 'P1']"
Ag5Pt7,2,"['Imm2', 'Pmm2']"
Ag6Al6,2,"['Cmm2', 'I4mm']"
Ag6Pt6,2,"['Cmcm', 'P-1']"
AgAl3,2,"['I4/mmm', 'P4/mmm']"
AgEu,2,"['P4/mmm', 'Pm-3m']"
AgFe2,2,"['Fmmm', 'Immm']"
AgGa5,2,"['Amm2', 'Cmmm']"
AgIn3,2,"['I4/mmm', 'Pmm2']"
AgNb3,2,"['Fm-3m', 'Pmm2']"
AgP,2,"['F-43m', 'Pm-3m']"
AgSn2,2,"['I4/mmm', 'P4/mmm']"
AgSr,2,"['P-6m2', 'Pm-3m']"
AgSr3,2,"['Fm-3m', 'P4/mmm']"
AgTa3,2,"['Fm-3m', 'Pm-3m']"
Al2Ba4,2,"['I4/mcm', 'I4_1/amd']"
Al2Cu4,2,"['Cmcm', 'Pnnm']"
Al2Cu6,2,"['Cmcm', 'Pmmn']"
Al2Fe2,2,"['Cmcm', 'Pmmn']"
Al2In,2,"['I4/mmm', 'P4/mmm']"
Al2In2,2,"['I4_1/amd', 'P4/nmm']"
Al2Mn4,2,"['Fd-3m', 'I4_1/amd']"
Al2Pt4,2,"['I4/mcm', 'Pnnm']"
Al2Rh,2,"['I4/mmm', 'P4/mmm']"
Al2Rh2,2,"['Cmcm', 'Pmmn']"
Al2Sb2,2,"['Imma', 'P4/nmm']"
Al2Sb4,2,"['I4_1/amd', 'Pnnm']"
Al2Sn4,2,"['C2/m', 'Pnnm']"
Al2Sn6,2,"['Cmcm', 'Pmmn']"
Al2Sr6,2,"['Cmcm', 'Pmmn']"
Al2Ta2,2,"['I4_1/amd', 'P6_3/mmc']"
Al2V6,2,"['I4/mmm', 'Pm-3n']"
Al3Ca,2,"['Fm-3m', 'Pm-3m']"
Al3Cr,2,"['I4/mmm', 'Pm-3m']"
Al3Cs,2,"['Fm-3m', 'Pm-3m']"
Al3K,2,"['Fm-3m', 'P4/mmm']"
Al3Rh,2,"['P4/mmm', 'Pmmm']"
Al3Ta,2,"['I4/mmm', 'P4/mmm']"
Al4Br2,2,"['P4_2/mnm', 'Pnnm']"
Al4In,2,"['I4/mmm', 'Im-3m']"
Al4P2,2,"['I4/mcm', 'I4_1/amd']"
