formula,space_group,structure,id,formation_energy
Cr2Rh2,P4/nmm,"[{'data': {'a': [2.6513255999999997e-10, 0, 0], 'b': [0, 2.6513255999999997e-10, 0], 'c': [0, 0, 7.44060433e-10], 'atoms': [{'x': 6.628313999999999e-11, 'y': 6.628313999999999e-11, 'z': 9.13886795191089e-11, 'element': 'Cr'}, {'x': 1.9884942e-10, 'y': 1.9884942e-10, 'z': 6.526717534808911e-10, 'element': 'Cr'}, {'x': 6.628313999999999e-11, 'y': 6.628313999999999e-11, 'z': 4.785206590726588e-10, 'element': 'Rh'}, {'x': 1.9884942e-10, 'y': 1.9884942e-10, 'z': 2.655397739273412e-10, 'element': 'Rh'}]}, 'natoms': 4, 'element': {'Rh': 2, 'Cr': 2}}]",PN_2GFFACNIB46DC6AS6YF42UAYNRCQMFBN,"{'reference': {'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2', 'Cr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WHxcrFh6QWqSn5mGUr5mBg/Xf06z3W_uXiss4I1OdzRpCsLCWOj'}, 'value_per_atom': 0.01945753531096095, 'value': 0.0778301412438438}"
KPt,P4/mmm,"[{'data': {'a': [2.079112e-10, 2.079112e-10, 0], 'b': [0, 4.158223e-10, 0], 'c': [0, 0, 5.048602e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'K'}, {'x': 2.079110440666e-10, 'y': 4.1582204021234895e-10, 'z': 2.52429983882154e-10, 'element': 'Pt'}]}, 'natoms': 2, 'element': {'Pt': 1, 'K': 1}}]",PN_TLDUH56ZT6F32XEQYQYXKOVOWUMH4IVD,"{'reference': {'Pt': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/p77us0Iv8qkLqTvlRwxxb9fQSrAo', 'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/lUBTJTAefobrOyyxt282jjOrO_f4'}, 'value_per_atom': 0.38189627566726436, 'value': 0.7637925513345287}"
Ge2Br2,P4/nmm,"[{'data': {'a': [3.81638318e-10, 0, 0], 'b': [0, 3.81638318e-10, 0], 'c': [0, 0, 8.35861528e-10], 'atoms': [{'x': 9.54095795e-11, 'y': 9.54095795e-11, 'z': 5.741292442056547e-10, 'element': 'Br'}, {'x': 2.862287385e-10, 'y': 2.862287385e-10, 'z': 2.617322837943453e-10, 'element': 'Br'}, {'x': 9.54095795e-11, 'y': 9.54095795e-11, 'z': -2.646828248364936e-11, 'element': 'Ge'}, {'x': 2.862287385e-10, 'y': 2.862287385e-10, 'z': 2.646828248364936e-11, 'element': 'Ge'}]}, 'natoms': 4, 'element': {'Br': 2, 'Ge': 2}}]",PN_LECNNFRVPBIYPUW27L4XU6WXSSFCOZV5,"{'reference': {'Br': 'https://nomad-lab.eu/prod/rae/gui/entry/id/HQMYKHP6Soitf8Zcgmf6SQ/7DmDJRePJNTiaaJiAv-YuiT0_OyO', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': -0.3539225105654191, 'value': -1.4156900422616765}"
CrRh2,P4/mmm,"[{'data': {'a': [4.05478396e-10, 0, 0], 'b': [0, 4.05478396e-10, 0], 'c': [0, 0, 2.8349301800000004e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Cr'}, {'x': 0, 'y': 2.02739198e-10, 'z': 1.4174650900000002e-10, 'element': 'Rh'}, {'x': 2.02739198e-10, 'y': 0, 'z': 1.4174650900000002e-10, 'element': 'Rh'}]}, 'natoms': 3, 'element': {'Rh': 2, 'Cr': 1}}]",PN_EDH5FZFMYCQ5D2YSK4QYYUG6WOGTYN6U,"{'reference': {'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2', 'Cr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WHxcrFh6QWqSn5mGUr5mBg/Xf06z3W_uXiss4I1OdzRpCsLCWOj'}, 'value_per_atom': 0.47018624623034455, 'value': 1.4105587386910337}"
Cr8Rh,I4/mmm,"[{'data': {'a': [6.19794018e-10, 1.40487101e-10, 0], 'b': [0, 1.40487101e-10, 6.19794018e-10], 'c': [6.19794018e-10, 0, 6.19794018e-10], 'atoms': [{'x': 2.080662153894396e-10, 'y': 0, 'z': 2.080662153894396e-10, 'element': 'Cr'}, {'x': 4.1172780261056046e-10, 'y': 0, 'z': 4.1172780261056046e-10, 'element': 'Cr'}, {'x': 2.080662153894396e-10, 'y': 1.40487101e-10, 'z': 4.1172780261056046e-10, 'element': 'Cr'}, {'x': 4.010147993641144e-10, 'y': 1.40487101e-10, 'z': 6.19794018e-10, 'element': 'Cr'}, {'x': 6.19794018e-10, 'y': 1.40487101e-10, 'z': 8.385732366358857e-10, 'element': 'Cr'}, {'x': 4.1172780261056046e-10, 'y': 1.40487101e-10, 'z': 2.080662153894396e-10, 'element': 'Cr'}, {'x': 6.19794018e-10, 'y': 1.40487101e-10, 'z': 4.010147993641144e-10, 'element': 'Cr'}, {'x': 8.385732366358857e-10, 'y': 1.40487101e-10, 'z': 6.19794018e-10, 'element': 'Cr'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Rh'}]}, 'natoms': 9, 'element': {'Rh': 1, 'Cr': 8}}]",PN_VPTXMWGGOPJ2WKARN2Z22IDL6ZUEI24S,"{'reference': {'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2', 'Cr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WHxcrFh6QWqSn5mGUr5mBg/Xf06z3W_uXiss4I1OdzRpCsLCWOj'}, 'value_per_atom': 0.4020511085975929, 'value': 3.618459977378336}"
FePt,P4/mmm,"[{'data': {'a': [3.76559204e-10, 0, 0], 'b': [0, 3.76559204e-10, 0], 'c': [0, 0, 3.68449384e-10], 'atoms': [{'x': 9.4139801e-11, 'y': 2.82419403e-10, 'z': 0, 'element': 'Fe'}, {'x': 2.82419403e-10, 'y': 9.4139801e-11, 'z': 0, 'element': 'Fe'}, {'x': 9.4139801e-11, 'y': 9.4139801e-11, 'z': 1.8421261791368632e-10, 'element': 'Pt'}, {'x': 2.82419403e-10, 'y': 2.82419403e-10, 'z': 1.842367660863137e-10, 'element': 'Pt'}]}, 'natoms': 4, 'element': {'Pt': 2, 'Fe': 2}}]",PN_46PKJM647I42IZAVWJU2A6G62LJFD5WO,"{'reference': {'Pt': 'https://nomad-lab.eu/prod/rae/gui/entry/id/68wFX7Q8S5SrqzKuJtOXRg/hfTXu5BPKf83TlYNvYL_xjc7wecf', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.10467829281758245, 'value': 0.4187131712703298}"
CuGa,P-6m2,"[{'data': {'a': [2.831604e-10, 0, 0], 'b': [-1.415802e-10, 2.452187e-10, 0], 'c': [0, 0, 4.0603790000000003e-10], 'atoms': [{'x': 1.4158003293536398e-10, 'y': 8.1738984680952e-11, 'z': 3.0452903405685004e-10, 'element': 'Cu'}, {'x': 3.3979247997681806e-17, 'y': 1.6347997034649602e-10, 'z': 1.0151001097002802e-10, 'element': 'Ga'}]}, 'natoms': 2, 'element': {'Cu': 1, 'Ga': 1}}]",PN_O3GU4O7TCW5KFXGDYN2UKLUW6QPIE4TJ,"{'reference': {'Cu': 'https://nomad-lab.eu/prod/rae/gui/entry/id/mAAfBZKmTQWDVL1ZPRsrVQ/RJxSjMDRsm3WyoHrN444BNogn6Zv', 'Ga': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/2ERN7ZvJrgUF_ixLeiC-2pn_xLJl'}, 'value_per_atom': -0.055034055860068154, 'value': -0.11006811172013631}"
AlPd3,P4/mmm,"[{'data': {'a': [2.97226725e-10, 0, 0], 'b': [0, 2.8972876300000003e-10, 5.1145835e-11], 'c': [0, 1.7054332800000002e-10, 7.23428963e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Al'}, {'x': 1.486133625e-10, 'y': 3.417216591102823e-10, 'z': 6.006665208771775e-10, 'element': 'Pd'}, {'x': 0, 'y': 2.3013604550000003e-10, 'z': 3.87287399e-10, 'element': 'Pd'}, {'x': 1.486133625e-10, 'y': 1.1855043188971773e-10, 'z': 1.7390827712282244e-10, 'element': 'Pd'}]}, 'natoms': 4, 'element': {'Pd': 3, 'Al': 1}}]",PN_BDNHCTSAE6O35DK6FPVW3YBCJLXFPOXR,"{'reference': {'Pd': 'https://nomad-lab.eu/prod/rae/gui/entry/id/eWp7nSoCThCvuNshTV7OvQ/B_YsxQ9yjPSLQPBbgi6ptP2Q1A64', 'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-'}, 'value_per_atom': -0.5908285954344459, 'value': -2.3633143817377835}"
Cr5Rh4,I4/mmm,"[{'data': {'a': [7.89113337e-10, 0, 0], 'b': [0, 7.89113337e-10, 0], 'c': [3.9455666900000004e-10, 3.9455666900000004e-10, 1.8578112200000002e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Cr'}, {'x': 2.639920511280563e-10, 'y': 2.639920511280563e-10, 'z': 0, 'element': 'Cr'}, {'x': 2.639920511280563e-10, 'y': 5.251212858719438e-10, 'z': 0, 'element': 'Cr'}, {'x': 5.251212858719438e-10, 'y': 2.639920511280563e-10, 'z': 0, 'element': 'Cr'}, {'x': 5.251212858719438e-10, 'y': 5.251212858719438e-10, 'z': 0, 'element': 'Cr'}, {'x': 0, 'y': 2.5309917007977517e-10, 'z': 0, 'element': 'Rh'}, {'x': 0, 'y': 5.360141669202249e-10, 'z': 0, 'element': 'Rh'}, {'x': 2.5309917007977517e-10, 'y': 0, 'z': 0, 'element': 'Rh'}, {'x': 5.360141669202249e-10, 'y': 0, 'z': 0, 'element': 'Rh'}]}, 'natoms': 9, 'element': {'Rh': 4, 'Cr': 5}}]",PN_UIBQTZY7DOYVBI3C72EQYDGOSE45IFQR,"{'reference': {'Rh': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7IQEcowSTDaJcMTtCigTSQ/7pAP54pzEP8-EwENC3ty75erNef2', 'Cr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WHxcrFh6QWqSn5mGUr5mBg/Xf06z3W_uXiss4I1OdzRpCsLCWOj'}, 'value_per_atom': 0.04334509570455225, 'value': 0.39010586134097025}"
MoV4,I4/mmm,"[{'data': {'a': [0, 3.3942531e-10, 0], 'b': [1.69712655e-10, -1.69712655e-10, 6.44873996e-10], 'c': [3.3942531e-10, 0, 0], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Mo'}, {'x': 1.69712655e-10, 'y': 0, 'z': 3.22436998e-10, 'element': 'V'}, {'x': 3.3942531e-10, 'y': 1.2610151242862449e-26, 'z': 5.158593306895674e-10, 'element': 'V'}, {'x': 1.69712655e-10, 'y': 1.6971265499999996e-10, 'z': 1.2901466531043272e-10, 'element': 'V'}, {'x': 3.3942531e-10, 'y': 1.6971265500000002e-10, 'z': 3.22436998e-10, 'element': 'V'}]}, 'natoms': 5, 'element': {'Mo': 1, 'V': 4}}]",PN_MMMBLFLC7J2S34ZWQAFIAKUEQ3ID3N27,"{'reference': {'Mo': 'https://nomad-lab.eu/prod/rae/gui/entry/id/miRFVZUUSvmc1uMMJkU4LA/TwiQxc0usHCKW3MtmHjbnh8mT5GC', 'V': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/6a_z-sYaeMtEBgvOYDzXel9FP5XK'}, 'value_per_atom': 0.5635547788826841, 'value': 2.8177738944134205}"
Ni3Sb,P4/mmm,"[{'data': {'a': [3.2334669e-10, 0, 0], 'b': [0, 3.2334669e-10, 0], 'c': [0, 0, 5.16551891e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 6.27539263404042e-12, 'element': 'Ni'}, {'x': 1.61673345e-10, 'y': 1.61673345e-10, 'z': 1.2913797275e-10, 'element': 'Ni'}, {'x': 0, 'y': 0, 'z': 2.520005528659596e-10, 'element': 'Ni'}, {'x': 1.61673345e-10, 'y': 1.61673345e-10, 'z': 3.8741391825000005e-10, 'element': 'Sb'}]}, 'natoms': 4, 'element': {'Ni': 3, 'Sb': 1}}]",PN_CFR5VBPJU3YKRRUDFFKQCMK3GLTS5G7K,"{'reference': {'Ni': 'https://nomad-lab.eu/prod/rae/gui/entry/id/q7lAKuoOTPWL1mJ5gkMDhg/2z6qKgNMlPjxK4R1fKqhhgll26lp', 'Sb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WMu7V8unTIq_ZADrznasag/e0MYdRBQr9wEXHzKsLol9DZ8gMvs'}, 'value_per_atom': 0.03213430732331801, 'value': 0.12853722929327205}"
SmGe5,Immm,"[{'data': {'a': [4.0201189499999995e-10, 0, 0], 'b': [0, 6.203275220000001e-10, 0], 'c': [-2.0100594699999998e-10, -3.1016376100000004e-10, 4.951784520000001e-10], 'atoms': [{'x': 0, 'y': 3.1016376100000004e-10, 'z': 0, 'element': 'Ge'}, {'x': 2.0100594967930467e-10, 'y': 1.8155757389955158e-10, 'z': 1.6761317704778343e-10, 'element': 'Ge'}, {'x': 2.0100594967930467e-10, 'y': 4.387699481004485e-10, 'z': 1.6761317704778343e-10, 'element': 'Ge'}, {'x': -1.6793047244361119e-18, 'y': -1.2860618710044846e-10, 'z': 3.2756527495221665e-10, 'element': 'Ge'}, {'x': -1.6793047244361119e-18, 'y': 1.2860618710044846e-10, 'z': 3.2756527495221665e-10, 'element': 'Ge'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Sm'}]}, 'natoms': 6, 'element': {'Sm': 1, 'Ge': 5}}]",PN_3LMNS3MK3F6KQTZAJPFYSSEZCPMASS63,"{'reference': {'Sm': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/_QRJJknIDoDicf-YE5iLlQPtC5ne', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/A42JdZXMSM6ZvFkyAy3k1g/nH8H7aIXL4SwjYAB7X_4snhAGFE1'}, 'value_per_atom': -0.6336399568411982, 'value': -3.801839741047189}"
Ac4I6,R-3c,"[{'data': {'a': [-7.501432930000001e-10, 0, 0], 'b': [3.75071647e-10, -6.496431470000001e-10, -4.9999999999999996e-18], 'c': [-3.75071647e-10, 2.16547752e-10, 8.939558910000001e-10], 'atoms': [{'x': -3.750716425803466e-10, 'y': -2.1654771807961816e-10, 'z': -6.088931899211671e-12, 'element': 'Ac'}, {'x': -7.501432969196535e-10, 'y': 2.0579618143996767e-17, 'z': 4.530668748992117e-10, 'element': 'Ac'}, {'x': 3.9196535273667346e-18, 'y': -4.3309541557961815e-10, 'z': 4.408890111007884e-10, 'element': 'Ac'}, {'x': -3.419653547093739e-18, 'y': -4.330954289203819e-10, 'z': 6.0889268992116704e-12, 'element': 'Ac'}, {'x': -2.4752960214184394e-10, 'y': -4.361575904381059e-12, 'z': 2.2348897229976428e-10, 'element': 'I'}, {'x': -6.226012484818912e-10, 'y': -2.1218612159561894e-10, 'z': 2.2348897070023577e-10, 'element': 'I'}, {'x': -2.5508408862626495e-10, 'y': -4.330954222500001e-10, 'z': 2.2348896900000004e-10, 'element': 'I'}, {'x': -4.950592043737351e-10, 'y': 2.7249999988265496e-17, 'z': 6.704669170000001e-10, 'element': 'I'}, {'x': -1.2754204451810892e-10, 'y': -2.2090927340438108e-10, 'z': 6.704669152997643e-10, 'element': 'I'}, {'x': -5.026136908581561e-10, 'y': -4.28733819095619e-10, 'z': 6.704669137002359e-10, 'element': 'I'}]}, 'natoms': 10, 'element': {'Ac': 4, 'I': 6}}]",PN_OFKTMIIJOWEH2C2YS4AJUZE4NEICBL3Y,"{'reference': {'Ac': 'https://nomad-lab.eu/prod/rae/gui/entry/id/hXjxFrSARi6vr8ZsckYj7Q/iWBIRb7QiLZT3UTReI3nDZH2uLUu', 'I': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/UuwV3j-OlSP2VAyed1nJ8kM9NeTZ'}, 'value_per_atom': -1.1254737931145116, 'value': -11.254737931145115}"
Fe4Ga2,I4/mcm,"[{'data': {'a': [-2.82714655e-10, 2.82714655e-10, 2.46488674e-10], 'b': [2.82714655e-10, -2.82714655e-10, 2.46488674e-10], 'c': [2.82714655e-10, 2.82714655e-10, -2.46488674e-10], 'atoms': [{'x': 8.24119495590341e-11, 'y': 2.003027054409659e-10, 'z': 0, 'element': 'Fe'}, {'x': 2.0030270544096593e-10, 'y': 8.241194955903408e-11, 'z': 2.46488674e-10, 'element': 'Fe'}, {'x': 3.6512660455903413e-10, 'y': 8.241194955903412e-11, 'z': -3.225862972749963e-26, 'element': 'Fe'}, {'x': -8.241194955903413e-11, 'y': 2.0030270544096593e-10, 'z': 2.46488674e-10, 'element': 'Fe'}, {'x': 0, 'y': 0, 'z': 3.69733011e-10, 'element': 'Ga'}, {'x': 0, 'y': 0, 'z': 1.23244337e-10, 'element': 'Ga'}]}, 'natoms': 6, 'element': {'Ga': 2, 'Fe': 4}}]",PN_UXMHL7CNSLIYKVFHD3E4CD2C74UZGT4M,"{'reference': {'Ga': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/vRXRCHTc1BwC0KVL2zTyDtxvDQO7', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.08810691866627589, 'value': 0.5286415119976553}"
KPb2,I4/mmm,"[{'data': {'a': [-1.9680637100000002e-10, 1.9680637100000002e-10, 7.018239140000001e-10], 'b': [1.9680637100000002e-10, -1.9680637100000002e-10, 7.018239140000001e-10], 'c': [1.9680637100000002e-10, 1.9680637100000002e-10, -7.018239140000001e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'K'}, {'x': -1.3095384307405023e-27, 'y': 1.3095384307405023e-27, 'z': 4.3744298556467304e-10, 'element': 'Pb'}, {'x': 3.309287278025524e-27, 'y': -3.309287278025524e-27, 'z': 9.662048424353271e-10, 'element': 'Pb'}]}, 'natoms': 3, 'element': {'Pb': 2, 'K': 1}}]",PN_SCIHXXPLPYQ3JTO7Z33CVWUVJOKDAUMQ,"{'reference': {'Pb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/gsAlmK4OTCGsgQBj4SzPwA/aYJtYKNr85nM-0acWcW3IEbYkJ65', 'K': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/-0vh5pzaGjLtxl6QcMcZHMEL5lI1'}, 'value_per_atom': -0.12242238836863646, 'value': -0.3672671651059094}"
Ge2P4,Cmcm,"[{'data': {'a': [1.8657401700000002e-10, -8.684269040000001e-10, 0], 'b': [1.8657401700000002e-10, 8.684269040000001e-10, 0], 'c': [0, 0, 3.2664960700000004e-10], 'atoms': [{'x': 1.8657401700000002e-10, 'y': 6.599099100872306e-10, 'z': 8.166240175000001e-11, 'element': 'Ge'}, {'x': 1.8657401700000002e-10, 'y': -6.599099100872306e-10, 'z': 2.4498720525000004e-10, 'element': 'Ge'}, {'x': 1.8657401700000002e-10, 'y': 8.055402908029828e-11, 'z': 8.166240175000001e-11, 'element': 'P'}, {'x': 1.8657401700000002e-10, 'y': -8.055402908029828e-11, 'z': 2.4498720525000004e-10, 'element': 'P'}, {'x': 1.8657401700000002e-10, 'y': -4.4713951751551185e-10, 'z': 8.166240175000001e-11, 'element': 'P'}, {'x': 1.8657401700000002e-10, 'y': 4.471395175155119e-10, 'z': 2.4498720525000004e-10, 'element': 'P'}]}, 'natoms': 6, 'element': {'P': 4, 'Ge': 2}}]",PN_J2TW7VWIS4HWVNB4DZN4UPOVDPCYQZVY,"{'reference': {'P': 'https://nomad-lab.eu/prod/rae/gui/entry/id/SwEGZUqCTPyNJvGH3CWDPQ/VliAGY_Z2yfFnSNW4d80E-Y7rLrP', 'Ge': 'https://nomad-lab.eu/prod/rae/gui/entry/id/ANn_TqXdRYm4bpJCvHC9sg/2eVSxv5n6du3VVsS6uZHLFviKxDn'}, 'value_per_atom': 0.24975384449601337, 'value': 1.4985230669760803}"
CaFe,Cmmm,"[{'data': {'a': [2.30772706e-10, -2.3436368500000003e-10, 0], 'b': [2.30772706e-10, 2.3436368500000003e-10, 0], 'c': [0, 0, 4.05557153e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Ca'}, {'x': 2.30772706e-10, 'y': 0, 'z': 2.027785765e-10, 'element': 'Fe'}]}, 'natoms': 2, 'element': {'Ca': 1, 'Fe': 1}}]",PN_E7LH4KSMBTMAFBDFI6MIOSLQZDTKQNFP,"{'reference': {'Ca': 'https://nomad-lab.eu/prod/rae/gui/entry/id/LNJYtPiDTJ2RgcndgMzMEQ/c08VF8Y4GAg0AFj1CQdui2kVY_IF', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.6670044540710167, 'value': 1.3340089081420334}"
FeP,R-3m,"[{'data': {'a': [1.34672079e-10, 7.775304300000001e-11, 3.444248e-10], 'b': [-1.34672079e-10, 7.775304300000001e-11, 3.444248e-10], 'c': [0, -1.5550588700000002e-10, 3.444248e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Fe'}, {'x': -2.6862450748700054e-27, 'y': 1.2416629654922818e-17, 'z': 5.166370105663599e-10, 'element': 'P'}]}, 'natoms': 2, 'element': {'P': 1, 'Fe': 1}}]",PN_DP56VOORYSLIO3AJ6KNXUIYBXW2PK5GZ,"{'reference': {'P': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/RqzAgcgoQ2ZTm0QGvfa6HhzocDYR', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/0-sUPGbCT4WTrNYF4-xkZQ/s_woDjkWMozMyIoPlFslLFZo09pK'}, 'value_per_atom': -0.29093024130176115, 'value': -0.5818604826035223}"
AlNb3,P4/mmm,"[{'data': {'a': [3.3974981600000004e-10, 0, 0], 'b': [0, 3.3974981600000004e-10, 0], 'c': [0, 0, 6.06482614e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Al'}, {'x': 1.6987490800000002e-10, 'y': 1.6987490800000002e-10, 'z': 1.498528476525821e-10, 'element': 'Nb'}, {'x': 0, 'y': 0, 'z': 3.03241307e-10, 'element': 'Nb'}, {'x': 1.6987490800000002e-10, 'y': 1.6987490800000002e-10, 'z': 4.566297663474179e-10, 'element': 'Nb'}]}, 'natoms': 4, 'element': {'Nb': 3, 'Al': 1}}]",PN_KYSB23SRMKVOM4CUD2IPWHCJK63J4C72,"{'reference': {'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr', 'Al': 'https://nomad-lab.eu/prod/rae/gui/entry/id/nX_oJtCvReKSQKlosaruaA/NwZCCfhy6KcjdrLfBEnERme_39m-'}, 'value_per_atom': -0.1644287196143619, 'value': -0.6577148784574476}"
CrNb2,Fmmm,"[{'data': {'a': [1.5877698300000002e-10, -1.6426915600000002e-10, 1.6426915600000002e-10], 'b': [-1.5877698300000002e-10, 4.5851466399999995e-10, 4.5851466399999995e-10], 'c': [-1.5877698300000002e-10, -1.6426915600000002e-10, 1.6426915600000002e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 0, 'element': 'Cr'}, {'x': -1.5877698225801081e-18, 'y': -2.0848533944223962e-11, 'z': 3.076897780557761e-10, 'element': 'Nb'}, {'x': -1.587769814122302e-10, 'y': 1.5082488594422388e-10, 'z': 4.793631979442239e-10, 'element': 'Nb'}]}, 'natoms': 3, 'element': {'Nb': 2, 'Cr': 1}}]",PN_Y7ZS5LVUKJ2JWVOD4Y3M35VE3QHKUPQC,"{'reference': {'Nb': 'https://nomad-lab.eu/prod/rae/gui/entry/id/FsjvRjUORt2wbpq8ej5bOA/861X4hlRjiSg-bvBzuNmZtnnHOYr', 'Cr': 'https://nomad-lab.eu/prod/rae/gui/entry/id/WHxcrFh6QWqSn5mGUr5mBg/Xf06z3W_uXiss4I1OdzRpCsLCWOj'}, 'value_per_atom': 0.10226908000265549, 'value': 0.30680724000796644}"
BaFe2,I4/mmm,"[{'data': {'a': [-1.6192161700000002e-10, 1.6192161700000002e-10, 5.68410749e-10], 'b': [1.6192161700000002e-10, -1.6192161700000002e-10, 5.68410749e-10], 'c': [1.6192161700000002e-10, 1.6192161700000002e-10, -5.68410749e-10], 'atoms': [{'x': 0, 'y': 0, 'z': 5.68410749e-10, 'element': 'Ba'}, {'x': -1.003496087861732e-27, 'y': 1.003496087861732e-27, 'z': 2.6796419690525296e-10, 'element': 'Fe'}, {'x': 1.003496087861732e-27, 'y': -1.003496087861732e-27, 'z': 8.68857301094747e-10, 'element': 'Fe'}]}, 'natoms': 3, 'element': {'Ba': 1, 'Fe': 2}}]",PN_XCILR5EBPMNO7FJHVO2S2BFYY3SCDIJU,"{'reference': {'Ba': 'https://nomad-lab.eu/prod/rae/gui/entry/id/tX6mKyN2Q0ahPatA8GfBWw/Lj0gGgNhl0ZMZK5-5xnXiYpf0ut5', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': 0.877546727959088, 'value': 2.632640183877264}"
Fe2Ga,I4/mmm,"[{'data': {'a': [-1.52825648e-10, 1.52825648e-10, 4.0148540300000004e-10], 'b': [1.52825648e-10, -1.52825648e-10, 4.0148540300000004e-10], 'c': [1.52825648e-10, 1.52825648e-10, -4.0148540300000004e-10], 'atoms': [{'x': -6.674352068216659e-28, 'y': 6.674352068216659e-28, 'z': 5.398391839443184e-10, 'element': 'Fe'}, {'x': 6.674352068216659e-28, 'y': -6.674352068216659e-28, 'z': 2.631316220556818e-10, 'element': 'Fe'}, {'x': 0, 'y': 0, 'z': 0, 'element': 'Ga'}]}, 'natoms': 3, 'element': {'Ga': 1, 'Fe': 2}}]",PN_64SCVQPMJX6626ABSHLD4T2KITNTLSX6,"{'reference': {'Ga': 'https://nomad-lab.eu/prod/rae/gui/entry/id/7v_xfwA8SXar--QHXNyP3w/vRXRCHTc1BwC0KVL2zTyDtxvDQO7', 'Fe': 'https://nomad-lab.eu/prod/rae/gui/entry/id/287sI9_oSguef6cQl5_HXg/uv45-FAwcp05wlvr2QydJ3AkRZeu'}, 'value_per_atom': -0.12710946616814311, 'value': -0.38132839850442934}"
