formula,space_group,count,median,median_cif_name,other_cif_names
AlSb2,I4/mmm,3,0.1446425292884262,3440_AlSb2.cif,4500_AlSb2.cif;4955_AlSb2.cif
AlTa2,I4/mmm,3,-0.1247615256722092,1552_AlTa2.cif,0169_AlTa2.cif;1617_AlTa2.cif
As3Br,P4/mmm,3,0.2125740824372881,1980_As3Br.cif,0162_As3Br.cif;1165_As3Br.cif
AsBr2,I4/mmm,3,0.1644874317319959,1079_AsBr2.cif,1042_AsBr2.cif;1672_AsBr2.cif
AsBr3,P4/mmm,3,0.507192221287605,0693_AsBr3.cif,0624_AsBr3.cif;2003_AsBr3.cif
Au2Nb4,Cmcm,3,0.0545237198894454,2611_Au2Nb4.cif,0843_Au2Nb4.cif;1456_Au2Nb4.cif
Au2P,I4/mmm,3,0.3116512668179887,0607_Au2P.cif,0041_Au2P.cif;2007_Au2P.cif
Au3Cr,P4/mmm,3,0.0798392217555257,1753_Au3Cr.cif,0359_Au3Cr.cif;2173_Au3Cr.cif
Ba2V,I4/mmm,3,0.6647159440825513,2613_Ba2V.cif,0172_Ba2V.cif;0570_Ba2V.cif
Ba3In,P4/mmm,3,-0.211620368678886,4505_Ba3In.cif,0798_Ba3In.cif;2866_Ba3In.cif
Ba3Ir,Pm-3m,3,0.0420704712902604,1250_Ba3Ir.cif,0230_Ba3Ir.cif;0236_Ba3Ir.cif
Ba3Ta,P4/mmm,3,0.8543729953738324,2542_Ba3Ta.cif,1082_Ba3Ta.cif;2150_Ba3Ta.cif
BaAs,P4/mmm,3,-0.8242741931404591,1973_BaAs.cif,1406_BaAs.cif;1464_BaAs.cif
BaBr2,I4/mmm,3,-2.1246359399750907,0564_BaBr2.cif,0931_BaBr2.cif;2072_BaBr2.cif
BaFe2,I4/mmm,3,0.8755973013057728,2059_BaFe2.cif,1030_BaFe2.cif;1362_BaFe2.cif
BaIr3,Pm-3m,3,3.6400044468240753,2607_BaIr3.cif,1153_BaIr3.cif;2625_BaIr3.cif
BaTa3,P4/mmm,3,1.209436450673138,0610_BaTa3.cif,1092_BaTa3.cif;2526_BaTa3.cif
BaV2,I4/mmm,3,0.8428249004638602,0699_BaV2.cif,0737_BaV2.cif;1536_BaV2.cif
CaW3,P4/mmm,3,0.7743857544767856,0367_CaW3.cif,0377_CaW3.cif;3061_CaW3.cif
Cr2Sn2,P4/nmm,3,0.2075312870777024,0101_Cr2Sn2.cif,0106_Cr2Sn2.cif;2352_Cr2Sn2.cif
CrTa,F-43m,3,2.5070367353222007,0240_CrTa.cif,0117_CrTa.cif;0647_CrTa.cif
CrW3,P4/mmm,3,0.0477118599784649,2399_CrW3.cif,0100_CrW3.cif;0444_CrW3.cif
CsNi,Amm2,3,1.2031352450911528,1264_CsNi.cif,0030_CsNi.cif;0562_CsNi.cif
CsV,P-6m2,3,-5.544304572661331,0105_CsV.cif,0112_CsV.cif;2535_CsV.cif
CsYb,F-43m,3,0.6736704833459317,1920_CsYb.cif,1457_CsYb.cif;1524_CsYb.cif
Cu2Ge2,P4/nmm,3,0.1863597944661306,1891_Cu2Ge2.cif,1004_Cu2Ge2.cif;2376_Cu2Ge2.cif
CuI,P-6m2,3,0.163268240844149,0208_CuI.cif,2020_CuI.cif;2362_CuI.cif
CuIr,F-43m,3,1.783717347151633,0255_CuIr.cif,0547_CuIr.cif;1051_CuIr.cif
CuNi,F-43m,3,1.2802434695571363,2534_CuNi.cif,0259_CuNi.cif;1171_CuNi.cif
Fe2As,I4/mmm,3,0.0120831969950868,4829_Fe2As.cif,3230_Fe2As.cif;4913_Fe2As.cif
