formula,reason
1338_Cu2K2,insufficient 'structure'
1339_FePd3,insufficient 'structure'
1340_Ag2Cu2,insufficient 'structure'
1341_Rh2Sn,insufficient 'structure'
1342_PtRh3,insufficient 'structure'
1343_Pb2Ta2,insufficient 'structure'
1344_Fe2Pd,insufficient 'structure'
1345_Au2Ga,insufficient 'structure'
1346_Cu2K2,insufficient 'structure'
1347_Au2Ga3,insufficient 'structure'
1348_Cu3Sn,insufficient 'structure'
1349_Ag2Cu,insufficient 'structure'
1350_NiSn2,insufficient 'structure'
1354_Mn2Ni2,insufficient 'structure'
1355_Pt2Rh,insufficient 'structure'
1356_In2Sr,insufficient 'structure'
1357_NbGe3,insufficient 'structure'
1358_FeMn2,insufficient 'structure'
1359_AuMn3,insufficient 'structure'
1365_Ag3Ge2,insufficient 'structure'
1366_Sn2Ta2,insufficient 'structure'
1367_Ag2K2,insufficient 'structure'
1368_W2As3,insufficient 'structure'
1370_Mn3P2,insufficient 'structure'
1371_CrSr2,insufficient 'structure'
1372_Cu3Nb2,insufficient 'structure'
1373_AuK3,insufficient 'structure'
1374_Ca3P2,insufficient 'structure'
1375_Ni2Sn2,insufficient 'structure'
1376_PbRh2,insufficient 'structure'
1377_Ag2Pb2,insufficient 'structure'
1384_In3K,insufficient 'structure'
1385_Mn3Ni2,insufficient 'structure'
1386_Ag2K2,insufficient 'structure'
1392_Ga3Mn,insufficient 'structure'
1393_Mn2Ni,insufficient 'structure'
1394_PbRh3,insufficient 'structure'
1395_Sn2Ta2,insufficient 'structure'
1404_Fe6As6,insufficient 'structure'
1413_Ca2Fe,insufficient 'structure'
1756_Cu6P6,insufficient 'structure'
1757_Rh2Ge2,insufficient 'structure'
1758_Cu2P,insufficient 'structure'
1759_CuIn3,insufficient 'structure'
1760_Fe2Rh3,insufficient 'structure'
1761_TaP3,insufficient 'structure'
1762_Au2Ga,insufficient 'structure'
1763_Fe3Mn2,insufficient 'structure'
1764_Ir2V,insufficient 'structure'
1765_GaMn3,insufficient 'structure'
1766_CuRh2,insufficient 'structure'
1767_MnPt2,insufficient 'structure'
1768_Ba7P6,insufficient 'structure'
1769_Cu3In2,insufficient 'structure'
1770_CuK,insufficient 'structure'
1771_Ga3Sn,insufficient 'structure'
1772_Fe2As,insufficient 'structure'
1773_Cr2As2,insufficient 'structure'
1774_Ga2Mn2,insufficient 'structure'
1775_Pd2P2,insufficient 'structure'
1776_Pd2Pt7,insufficient 'structure'
1777_Ca2As2,insufficient 'structure'
1778_P3Br,insufficient 'structure'
1779_NiGe3,insufficient 'structure'
1780_CuSn3,insufficient 'structure'
1781_In2Rh2,insufficient 'structure'
1782_Cu3Rh,insufficient 'structure'
1783_Mo2P2,insufficient 'structure'
1784_Mn2Ni2,insufficient 'structure'
1785_Cu2P,insufficient 'structure'
1786_Ca7As6,insufficient 'structure'
1787_Ca2Fe,insufficient 'structure'
1788_Ir3Ni,insufficient 'structure'
1789_BaCa2,insufficient 'structure'
1790_Al2Nb,insufficient 'structure'
1791_Ag2Cu,insufficient 'structure'
1792_Ga2V3,insufficient 'structure'
1793_Al3Rh2,insufficient 'structure'
1794_CuIn2,insufficient 'structure'
1795_Cu5Pt3,insufficient 'structure'
1796_Ba2Ca2,insufficient 'structure'
1797_Ba2P2,insufficient 'structure'
1798_Cu3Sn6,insufficient 'structure'
1799_Mn2Ni3,insufficient 'structure'
1800_Ca2Pb2,insufficient 'structure'
1801_Ga2Mn2,insufficient 'structure'
1802_IrGe3,insufficient 'structure'
1803_Ir6Ge7,insufficient 'structure'
1804_CuP2,insufficient 'structure'
1805_BaCa3,insufficient 'structure'
1806_Cr2Rh2,insufficient 'structure'
1807_Ba3Ca,insufficient 'structure'
1808_Ca3Fe,insufficient 'structure'
1809_Cu6Ge7,insufficient 'structure'
1810_Ga13Mn13,insufficient 'structure'
1811_Ni3P2,insufficient 'structure'
1812_Cr2Rh2,insufficient 'structure'
1813_BaPd3,insufficient 'structure'
1814_AlNb3,insufficient 'structure'
1815_Cr2Rh2,insufficient 'structure'
1816_Ag2Pb,insufficient 'structure'
2221_CrSr2,insufficient 'structure'
2222_Mn2P3,insufficient 'structure'
2223_GaW3,insufficient 'structure'
2224_Ni6P7,insufficient 'structure'
2225_Cr3As,insufficient 'structure'
2226_AuBa3,insufficient 'structure'
2227_MnPt3,insufficient 'structure'
2228_CuMo3,insufficient 'structure'
2229_Ag7K6,insufficient 'structure'
2230_SrGe3,insufficient 'structure'
2231_Ba2Pd2,insufficient 'structure'
2232_CrAs2,insufficient 'structure'
2233_Ga2Rh2,insufficient 'structure'
2234_NbGe3,insufficient 'structure'
2235_VP3,insufficient 'structure'
2236_Fe2Sr2,insufficient 'structure'
2237_CuSn2,insufficient 'structure'
2238_Au2Ba2,insufficient 'structure'
2240_CuGe2,insufficient 'structure'
2241_IrGe2,insufficient 'structure'
2242_Mo2Pt,insufficient 'structure'
2243_BaP2,insufficient 'structure'
2244_CuSn3,insufficient 'structure'
2245_NbGe,insufficient 'structure'
2246_Ir3V2,insufficient 'structure'
2247_Au2Ga2,insufficient 'structure'
2250_Pd2Pt,insufficient 'structure'
2251_Ba3Na2,insufficient 'structure'
2252_W2As,insufficient 'structure'
2253_Pt2Rh2,insufficient 'structure'
2254_Fe2Rh3,insufficient 'structure'
2255_FePd3,insufficient 'structure'
2256_CuSn3,insufficient 'structure'
2260_Cr2Sr2,insufficient 'structure'
2261_PdP2,insufficient 'structure'
2262_Cu3In2,insufficient 'structure'
2263_Fe2Rh3,insufficient 'structure'
2264_Ga2W2,insufficient 'structure'
2265_Fe4Rh2,insufficient 'structure'
2266_Pd7Sb6,insufficient 'structure'
2267_Rh3Ge2,insufficient 'structure'
2268_InP3,insufficient 'structure'
2269_Cu7In6,insufficient 'structure'
2270_Fe2Pd,insufficient 'structure'
2271_FeAs2,insufficient 'structure'
2272_Fe2V,insufficient 'structure'
2273_Ir2Ni,insufficient 'structure'
2274_V7P6,insufficient 'structure'
2281_Ga3Nb2,insufficient 'structure'
2282_Ga3V,insufficient 'structure'
2283_Ir2Sn2,insufficient 'structure'
2287_PdSb3,insufficient 'structure'
2288_Ba3Pd,insufficient 'structure'
2289_KNb3,insufficient 'structure'
2290_Ca2Fe2,insufficient 'structure'
2291_In2Rh2,insufficient 'structure'
2292_AuGa2,insufficient 'structure'
2299_Cu3P2,insufficient 'structure'
2300_Cr14Ta2,insufficient 'structure'
2301_Cr2As,insufficient 'structure'
2309_Ba2Pd3,insufficient 'structure'
2310_Au2Ba2,insufficient 'structure'
2327_Pd3Pt,insufficient 'structure'
2328_Au4Mn,insufficient 'structure'
2337_Al2Rh2,insufficient 'structure'
2355_WAs2,insufficient 'structure'
2373_Mn2Ni,insufficient 'structure'
2657_Ir2Ge2,insufficient 'structure'
2658_Ba2Na,insufficient 'structure'
2659_IrNi3,insufficient 'structure'
2660_IrGe,insufficient 'structure'
2661_Pb3W2,insufficient 'structure'
2662_Mn2Ni2,insufficient 'structure'
2663_PdSb2,insufficient 'structure'
2664_MnNi2,insufficient 'structure'
2665_Fe2Rh4,insufficient 'structure'
2666_Ca2As2,insufficient 'structure'
2667_BaSn2,insufficient 'structure'
2668_Cr3K,insufficient 'structure'
2669_Au2Mn,insufficient 'structure'
2670_Ag2Cu3,insufficient 'structure'
2671_Ir6Ge6,insufficient 'structure'
2672_Cu3In2,insufficient 'structure'
2673_Ni2P,insufficient 'structure'
2674_Cu2K2,insufficient 'structure'
2675_Ba2Pd2,insufficient 'structure'
2676_Al3Nb2,insufficient 'structure'
2677_Fe2Rh4,insufficient 'structure'
2678_TaW2,insufficient 'structure'
2679_FeV2,insufficient 'structure'
2680_MoP2,insufficient 'structure'
2681_Al3Na2,insufficient 'structure'
2682_Ag2Ge2,insufficient 'structure'
2683_Au2Sr2,insufficient 'structure'
2684_Cu2In2,insufficient 'structure'
2685_IrNi2,insufficient 'structure'
2686_FeV3,insufficient 'structure'
2687_TaP2,insufficient 'structure'
2688_CuSn3,insufficient 'structure'
2689_Mn2P2,insufficient 'structure'
2690_NbNi2,insufficient 'structure'
2691_Al2Na2,insufficient 'structure'
2692_Ba3Na,insufficient 'structure'
2693_Ba7P6,insufficient 'structure'
2694_Pd2Pt2,insufficient 'structure'
2695_Cu3K,insufficient 'structure'
2696_Ag6Pb7,insufficient 'structure'
2697_Cr2W2,insufficient 'structure'
2698_Ba2Pd,insufficient 'structure'
2699_V3P2,insufficient 'structure'
2700_Ca2Fe,insufficient 'structure'
2701_Fe2Rh4,insufficient 'structure'
2702_Ag3Ge,insufficient 'structure'
2703_Ta2W2,insufficient 'structure'
2704_In3K,insufficient 'structure'
2705_RhSn3,insufficient 'structure'
2706_FeAs2,insufficient 'structure'
2707_Ba6Pd7,insufficient 'structure'
2708_Cu2In,insufficient 'structure'
2709_Mn3P2,insufficient 'structure'
2710_Ca2Ge2,insufficient 'structure'
2711_Ga3W,insufficient 'structure'
2712_Ir2V,insufficient 'structure'
2713_Cr2Rh3,insufficient 'structure'
2714_Pb2Sb,insufficient 'structure'
2715_NbTa2,insufficient 'structure'
2716_RhGe3,insufficient 'structure'
2717_Cu2In3,insufficient 'structure'
2718_KNb2,insufficient 'structure'
2719_RhSn3,insufficient 'structure'
2720_AgK3,insufficient 'structure'
2721_FePd3,insufficient 'structure'
2722_Ca2Fe2,insufficient 'structure'
2723_Au7P6,insufficient 'structure'
2724_Ag3K2,insufficient 'structure'
3759_Pd3Pt9,insufficient 'structure'
3760_Pd4Pt8,insufficient 'structure'
3761_Au2Cu2,insufficient 'structure'
3762_Pd4Pt5,insufficient 'structure'
3763_Ca4Sr2,insufficient 'structure'
3764_Pd5Pt7,insufficient 'structure'
3765_Rh3P,insufficient 'structure'
3766_Ba8Na10,insufficient 'structure'
3767_Ag3Al4,insufficient 'structure'
3768_Au4Mn2,insufficient 'structure'
3769_Cu3Fe,insufficient 'structure'
3770_Pd3Rh,insufficient 'structure'
3927_Al2W4,insufficient 'structure'
3928_Rh3P,insufficient 'structure'
3929_Rh3Sr3,insufficient 'structure'
3930_V2As2,insufficient 'structure'
3931_Al2In2,insufficient 'structure'
3932_K2V2,insufficient 'structure'
3933_Al5As,insufficient 'structure'
3934_PdSr5,insufficient 'structure'
3935_In4V2,insufficient 'structure'
3936_Ca2Nb2,insufficient 'structure'
3937_Pt2P4,insufficient 'structure'
3938_Pd6Pt6,insufficient 'structure'
3939_Ga2Sn4,insufficient 'structure'
3940_IrRh2,insufficient 'structure'
3941_Ag3P,insufficient 'structure'
3942_AuFe5,insufficient 'structure'
3943_MnBr3,insufficient 'structure'
3944_Pd7Pt5,insufficient 'structure'
3945_Fe4Mo8,insufficient 'structure'
3946_Cu3P,insufficient 'structure'
3947_V6Br2,insufficient 'structure'
3948_Ga4Br2,insufficient 'structure'
3949_AlIr3,insufficient 'structure'
3950_TaP2,insufficient 'structure'
3951_K4Ge2,insufficient 'structure'
3952_Mo8W4,insufficient 'structure'
3953_Ga3P,insufficient 'structure'
3954_Pd4Pt8,insufficient 'structure'
3955_Ca4Sn2,insufficient 'structure'
3956_Ag4Ge2,insufficient 'structure'
3957_Ir4Rh2,insufficient 'structure'
3958_IrNi2,insufficient 'structure'
3959_Mo8Br10,insufficient 'structure'
3960_Ni4P2,insufficient 'structure'
3961_As4Br2,insufficient 'structure'
3962_Ag3Cu,insufficient 'structure'
3963_PbRh3,insufficient 'structure'
3964_Cu4Fe12,insufficient 'structure'
3965_Nb12W4,insufficient 'structure'
3966_Cu8In16,insufficient 'structure'
3967_NaPd3,insufficient 'structure'
3968_Ba4Na3,insufficient 'structure'
3969_Pd3Rh6,insufficient 'structure'
3970_PtW3,insufficient 'structure'
3971_Ba5Br,insufficient 'structure'
3972_Ni2Pd4,insufficient 'structure'
3973_Ni6Ta2,insufficient 'structure'
3974_Ba4Nb2,insufficient 'structure'
3975_Pb6Br2,insufficient 'structure'
3976_Fe4Pb,insufficient 'structure'
3977_Mn2Pt2,insufficient 'structure'
3985_PbSn3,insufficient 'structure'
4029_Ag4As2,insufficient 'structure'
4051_Ga2Sn2,insufficient 'structure'
4258_Al4Ge2,insufficient 'structure'
4645_Mn2Ni4,insufficient 'structure'
4646_Rh3Sb3,insufficient 'structure'
4647_K2Rh2,insufficient 'structure'
4648_P4As2,insufficient 'structure'
4649_Sn3P3,insufficient 'structure'
4650_Mn5Pt,insufficient 'structure'
4651_Fe4Mo2,insufficient 'structure'
4652_Ta2W2,insufficient 'structure'
4653_AgCu2,insufficient 'structure'
4654_Ag3Al5,insufficient 'structure'
4655_Pb8W4,insufficient 'structure'
4656_Sn4Ta2,insufficient 'structure'
4657_Au2Ga2,insufficient 'structure'
4658_Au2Pb4,insufficient 'structure'
4659_Al4Sb2,insufficient 'structure'
4660_Ba2Mo4,insufficient 'structure'
4661_In2Ni4,insufficient 'structure'
4662_GaNb3,insufficient 'structure'
4663_Ga2Mo2,insufficient 'structure'
4664_MnAs2,insufficient 'structure'
4665_AgIr3,insufficient 'structure'
4666_PbGe,insufficient 'structure'
4667_Cu4Pb,insufficient 'structure'
4668_Ni6Ta2,insufficient 'structure'
4669_MnBr2,insufficient 'structure'
4670_Al3Ba5,insufficient 'structure'
4671_Pd2Rb2,insufficient 'structure'
4672_Pb2Br4,insufficient 'structure'
4673_BaCa4,insufficient 'structure'
4674_Pd6Pt4,insufficient 'structure'
4675_Sr3As,insufficient 'structure'
4676_Ba2Mo4,insufficient 'structure'
4677_Ag4Al4,insufficient 'structure'
4678_AgCa5,insufficient 'structure'
4679_Ag2K,insufficient 'structure'
4680_Au3Ba,insufficient 'structure'
4681_Ag4Al8,insufficient 'structure'
4682_Mo2Sb2,insufficient 'structure'
4683_Ga2As2,insufficient 'structure'
4684_Ag8Cu10,insufficient 'structure'
4685_Pb2Br2,insufficient 'structure'
4686_In5P,insufficient 'structure'
4687_Fe3Mo,insufficient 'structure'
4688_InV5,insufficient 'structure'
4689_Fe4As12,insufficient 'structure'
4690_Pb5W,insufficient 'structure'
4691_PbI2,insufficient 'structure'
4692_Mn4Pt4,insufficient 'structure'
4693_K2Br2,insufficient 'structure'
4694_Mn4W2,insufficient 'structure'
4695_Ca2V,insufficient 'structure'
4696_Al5Nb,insufficient 'structure'
4697_Ir2V4,insufficient 'structure'
4698_Nb2Ta4,insufficient 'structure'
4699_GaAs2,insufficient 'structure'
4704_Nb6Pd4,insufficient 'structure'
4705_Pd3V,insufficient 'structure'
4706_Mn2Pt2,insufficient 'structure'
4707_W12As4,insufficient 'structure'
4708_InNa5,insufficient 'structure'
