file_name,value_per_atom,space_group
7_Sr6Br4,-1.1913767863029878,R-3c
13_Ga2Sr,-0.533854310311091,P6/mmm
17_Fe6Sb18,0.1547501784091292,Pmmn
21_In2Sn4,0.0010884922752308,C2/m
22_RhGe3,-0.0905160589754983,Imm2
42_Au2P,0.3033008734032615,I4/mmm
43_Ir2Ta4,-0.0336096433566623,Pnnm
45_CaRh2,-0.0716643596461175,I4/mmm
49_Al3Sb5,0.2406565035847956,Cmmm
52_Ca4Ta2,0.53492339105963,I4/mcm
54_Ba2Sn6,-0.2436607623660132,Cmcm
55_AgMn,0.829020340298344,P4/mmm
62_FeIr2,0.0148692361136006,I4/mmm
70_Al3Nb,-0.4241836065132585,I4/mmm
78_Ni4Sb2,0.1770521249294952,I4_1/amd
87_AuMn3,0.2960059875718608,Pmmm
88_Ag2Al2,-0.0094356971058457,I4_1/amd
89_Ba2Ge2,-0.1168555505437622,Pmmn
91_V3Br,0.5709922328291892,I4/mmm
92_InI,-0.3710410919205595,R-3m
93_GaGe,-0.0146410194391521,R-3m
98_Cr3Sn,0.4386852445490596,P4/mmm
104_KSn2,-0.1852067996178531,I4/mmm
118_CrTa,2.66607583354954,F-43m
126_Ta4Ge2,0.5502794154585248,I4_1/amd
134_Au4Sr16,-0.1130436182400256,I-43m
145_Cu4Fe8,0.9290346282517644,Pa-3
147_Cu2Ni26,0.2677396298890073,Fm-3c
159_CrMn,0.2433130873062836,P-6m2
164_Mo3P,0.0756003152457989,Fm-3m
170_AlTa2,-0.109572504407905,I4/mmm
177_Au3Sr,0.7382655086643606,Pm-3m
182_Cu6Ni2,0.1032142976761845,Pm-3n
192_Ir3V,-0.0203825605630481,P4/mmm
194_Al12Pb12,0.2570537015373606,Pbcm
209_CuI,0.163268240844149,P-6m2
210_Al18Pb6,0.208434471028663,Pmmn
215_AgAl2,0.1927638806395458,P4/mmm
219_Ag4Al2,0.0373786797866924,I4_1/amd
221_Mo7Nb,0.4178278478907451,Fm-3m
228_Ge3P,0.4028421099060848,Pmmm
236_VW2,0.4517394004088544,Immm
244_Ni4Rh2,0.1668692690605411,Cmmm
245_AlRh2,-0.637019060757113,I4/mmm
273_Ba3Br,-0.6944199402649203,P4/mmm
278_Al12Sn4,0.1373679800708411,Pnma
279_Ba2Cu4,0.1679982061833745,Cmcm
280_K3P,0.1089889412197191,Imm2
285_MoPb3,0.5025277881857404,Immm
288_As2Br6,0.3046454324844947,I4/mmm
291_Fe24Pb5,0.554399661464772,I-43m
297_FePd3,-0.1061349423812592,Pm-3m
298_PtV3,-0.2900346358635062,P4/mmm
303_Sb3Ge,0.2660213422478197,Immm
304_AlCu5,-0.1362652104227132,Cmmm
307_NbW3,0.4627843224115704,Pmm2
312_Nb2W4,0.1948479195466153,Pnnm
316_MnW,1.98968045727348,F-43m
319_GaNa3,0.0242168552505561,P4/mmm
333_K2P2,-0.4201608338771931,Cmcm
334_Ba2Cu,0.0233477096016647,I4/mmm
336_KP3,0.0163658427781863,Pmmm
337_SmYb3,-0.1239708918231743,Pm-3m
350_FeAs3,0.2431374712098151,Pmm2
351_Cr3Rh,0.1470079694940231,Pm-3m
356_Ag3Ca,-0.1590576046828498,P4/mmm
360_Au3Cr,0.0727205118778444,P4/mmm
366_NiAs3,0.0077896201439395,Fm-3m
367_Al3Rh,-0.5352493491958317,Pmmm
