file_name,value_per_atom,space_group,outlier_type
3863_BaBr2,-11.34664136590266,Fmmm,under_1st_percentile
565_BaBr2,-2.1246359399750907,I4/mmm,under_1st_percentile
2915_Ce2Br6,-2.11548569156943,P6_3/m,under_1st_percentile
3016_NaBr,-1.7192765439625828,Fm-3m,under_1st_percentile
1445_CsI,-1.619871335866558,P-6m2,under_1st_percentile
2988_Sr6Br18,-1.5763172728936563,Pmmn,under_1st_percentile
4039_NaBr,-1.5671150316488234,Pm-3m,under_1st_percentile
4561_BaBr,-1.499596806424356,F-43m,under_1st_percentile
957_BaBr3,-1.4934390696260131,P4/mmm,under_1st_percentile
2489_RbU,2.376284508072093,Fm-3m,over_99th_percentile
200_CsW,2.392753487086816,P-6m2,over_99th_percentile
241_CrTa,2.5070367353222007,F-43m,over_99th_percentile
118_CrTa,2.66607583354954,F-43m,over_99th_percentile
1135_BaIr2,2.783862077291165,Fmmm,over_99th_percentile
4560_CuW3,3.1041706291605253,Pm-3m,over_99th_percentile
1167_AgTa3,3.130992588674295,Pm-3m,over_99th_percentile
2435_RbTa,3.1517506112669618,Fm-3m,over_99th_percentile
178_SrW2,3.2276063672278554,Fm-3m,over_99th_percentile
