file_name,value_per_atom,space_group,outlier_type
2482_Ac3Mn,-53.62881943695404,I4/mmm,under_1st_percentile
3432_Ba4Br8,-2.3961927963342133,Pnma,under_1st_percentile
2419_Ag5Al3,-2.339860029082108,Amm2,under_1st_percentile
543_Sr4Br8,-2.1555202848237465,Pnma,under_1st_percentile
565_BaBr2,-2.1246359399750907,I4/mmm,under_1st_percentile
4037_Ca8Br16,-1.8897337814623807,Fd-3m,under_1st_percentile
4392_Eu4I8,-1.877240265112853,P2_1/c,under_1st_percentile
3991_CeAs,-1.7374966219490622,Fm-3m,under_1st_percentile
2769_Ba2Br6,-1.669242551351272,Pm-3n,under_1st_percentile
1924_AuNp,2.1495720761711983,F-43m,over_99th_percentile
1161_AuMo,2.2015380882334377,F-43m,over_99th_percentile
2643_MnW3,2.350156780098427,Pm-3m,over_99th_percentile
1832_Ni4U6,2.4319144975516,R-3c,over_99th_percentile
648_CrTa,2.4750764616864167,F-43m,over_99th_percentile
1997_BaTa2,2.6742888561602256,P4/mmm,over_99th_percentile
199_Al2V,3.021478292177701,Fmmm,over_99th_percentile
2435_RbTa,3.1517506112669618,Fm-3m,over_99th_percentile
178_SrW2,3.2276063672278554,Fm-3m,over_99th_percentile
