file_name,value_per_atom,space_group,outlier_type
2482_Ac3Mn,-53.62881943695404,I4/mmm,under_1st_percentile
932_BaBr2,-2.124731627500796,I4/mmm,under_1st_percentile
2073_BaBr2,-2.124535582082067,I4/mmm,under_1st_percentile
4600_Sr8Br16,-2.052905570554053,Fd-3m,under_1st_percentile
4195_KBr,-1.9000790488547985,Fm-3m,under_1st_percentile
4037_Ca8Br16,-1.8897337814623807,Fd-3m,under_1st_percentile
1445_CsI,-1.619871335866558,P-6m2,under_1st_percentile
998_KI,-1.585206424514379,R-3m,under_1st_percentile
1440_KI,-1.585149885067622,R-3m,under_1st_percentile
222_BaIr2,1.7617864823163814,Fm-3m,over_99th_percentile
348_MnNb,1.8045609325081904,F-43m,over_99th_percentile
4335_Fe3K,1.8156021498517223,Fm-3m,over_99th_percentile
631_SrW,1.9972426006473425,Pm-3m,over_99th_percentile
2489_RbU,2.376284508072093,Fm-3m,over_99th_percentile
241_CrTa,2.5070367353222007,F-43m,over_99th_percentile
1997_BaTa2,2.6742888561602256,P4/mmm,over_99th_percentile
676_AgTa3,3.185028116001336,Pm-3m,over_99th_percentile
2375_Ga13Mn13,5.485676899432976,R-3m,over_99th_percentile
