file_name,value_per_atom,space_group,outlier_type
1459_CsW,-11.82074013651485,F-43m,under_1st_percentile
3544_Ba2Sb,-8.07092158461461,Fmmm,under_1st_percentile
932_BaBr2,-2.124731627500796,I4/mmm,under_1st_percentile
565_BaBr2,-2.1246359399750907,I4/mmm,under_1st_percentile
2915_Ce2Br6,-2.11548569156943,P6_3/m,under_1st_percentile
4195_KBr,-1.9000790488547985,Fm-3m,under_1st_percentile
4392_Eu4I8,-1.877240265112853,P2_1/c,under_1st_percentile
1527_Ba2Br2,-1.6453708263697826,P4/nmm,under_1st_percentile
3716_RbI,-1.6018918268005236,R-3m,under_1st_percentile
4093_CaNb4,2.0724527098289203,Im-3m,over_99th_percentile
1161_AuMo,2.2015380882334377,F-43m,over_99th_percentile
1125_AlMo2,2.233849459482612,Fmmm,over_99th_percentile
977_SmW,2.654567875129585,F-43m,over_99th_percentile
118_CrTa,2.66607583354954,F-43m,over_99th_percentile
4560_CuW3,3.1041706291605253,Pm-3m,over_99th_percentile
2435_RbTa,3.1517506112669618,Fm-3m,over_99th_percentile
1964_SrW4,3.29538982431248,Im-3m,over_99th_percentile
2375_Ga13Mn13,5.485676899432976,R-3m,over_99th_percentile
