file_name,value_per_atom,space_group,outlier_type
1568_Cs16Bi16,-4.954624198783083,P2_1/c,under_1st_percentile
2915_Ce2Br6,-2.11548569156943,P6_3/m,under_1st_percentile
4600_Sr8Br16,-2.052905570554053,Fd-3m,under_1st_percentile
3981_CsBr,-1.9532013368567016,Fm-3m,under_1st_percentile
4195_KBr,-1.9000790488547985,Fm-3m,under_1st_percentile
274_CsBr,-1.85028031224608,F-43m,under_1st_percentile
1527_Ba2Br2,-1.6453708263697826,P4/nmm,under_1st_percentile
1445_CsI,-1.619871335866558,P-6m2,under_1st_percentile
3887_SmSb,-1.5775718023941758,R-3m,under_1st_percentile
4093_CaNb4,2.0724527098289203,Im-3m,over_99th_percentile
2410_AgTa,2.1461061385795173,F-43m,over_99th_percentile
2202_Cr3Sr,2.343766949356529,P4/mmm,over_99th_percentile
977_SmW,2.654567875129585,F-43m,over_99th_percentile
1135_BaIr2,2.783862077291165,Fmmm,over_99th_percentile
1167_AgTa3,3.130992588674295,Pm-3m,over_99th_percentile
323_TaYb,3.229303225683664,F-43m,over_99th_percentile
4483_Ir2Mo,3.5922447122469983,Fmmm,over_99th_percentile
4864_K2Mo,4.81669369363701,Fmmm,over_99th_percentile
