file_name,value_per_atom,space_group,outlier_type
2482_Ac3Mn,-53.62881943695404,I4/mmm,under_1st_percentile
3432_Ba4Br8,-2.3961927963342133,Pnma,under_1st_percentile
2419_Ag5Al3,-2.339860029082108,Amm2,under_1st_percentile
4600_Sr8Br16,-2.052905570554053,Fd-3m,under_1st_percentile
998_KI,-1.585206424514379,R-3m,under_1st_percentile
74_SmSb,-1.3450050363071764,P-6m2,under_1st_percentile
4529_Pd2Sm2,-1.1939658947664815,Cmcm,under_1st_percentile
16_Ac4I6,-1.145669893512698,R-3c,under_1st_percentile
1667_Cs4I12,-0.9683357396519788,Pnma,under_1st_percentile
1161_AuMo,2.2015380882334377,F-43m,over_99th_percentile
648_CrTa,2.4750764616864167,F-43m,over_99th_percentile
977_SmW,2.654567875129585,F-43m,over_99th_percentile
1997_BaTa2,2.6742888561602256,P4/mmm,over_99th_percentile
2131_Cr3Nb,2.842053501474326,Pm-3m,over_99th_percentile
199_Al2V,3.021478292177701,Fmmm,over_99th_percentile
1711_Fe3Pb,3.1602556276759275,Pm-3m,over_99th_percentile
676_AgTa3,3.185028116001336,Pm-3m,over_99th_percentile
4272_RbW,3.473318277164075,F-43m,over_99th_percentile
