file_name,value_per_atom,space_group,outlier_type
4191_CeBi,-20.51942767497456,Pm-3m,under_1st_percentile
3544_Ba2Sb,-8.07092158461461,Fmmm,under_1st_percentile
56_CsMn,-5.420664132459949,P-6m2,under_1st_percentile
1568_Cs16Bi16,-4.954624198783083,P2_1/c,under_1st_percentile
565_BaBr2,-2.1246359399750907,I4/mmm,under_1st_percentile
3981_CsBr,-1.9532013368567016,Fm-3m,under_1st_percentile
2630_CsBr,-1.8905071260349693,Pm-3m,under_1st_percentile
3016_NaBr,-1.7192765439625828,Fm-3m,under_1st_percentile
4039_NaBr,-1.5671150316488234,Pm-3m,under_1st_percentile
270_FeNa,2.2341407373912583,Fm-3m,over_99th_percentile
2202_Cr3Sr,2.343766949356529,P4/mmm,over_99th_percentile
200_CsW,2.392753487086816,P-6m2,over_99th_percentile
2131_Cr3Nb,2.842053501474326,Pm-3m,over_99th_percentile
4560_CuW3,3.1041706291605253,Pm-3m,over_99th_percentile
2435_RbTa,3.1517506112669618,Fm-3m,over_99th_percentile
1964_SrW4,3.29538982431248,Im-3m,over_99th_percentile
4864_K2Mo,4.81669369363701,Fmmm,over_99th_percentile
1705_CaMn2,6.453217612714281,Fmmm,over_99th_percentile
