file_name,formula,space_group,value_per_atom,outlier_type
3863_BaBr2,BaBr2,Fmmm,-11.34664136590266,under_1st_percentile
2845_Sr2W,Sr2W,Fmmm,-8.575093680456437,under_1st_percentile
3432_Ba4Br8,Ba4Br8,Pnma,-2.3961927963342133,under_1st_percentile
4037_Ca8Br16,Ca8Br16,Fd-3m,-1.8897337814623807,under_1st_percentile
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265112853,under_1st_percentile
4769_Sr2Br6,Sr2Br6,Pmmn,-1.6828241395262955,under_1st_percentile
2769_Ba2Br6,Ba2Br6,Pm-3n,-1.669242551351272,under_1st_percentile
4039_NaBr,NaBr,Pm-3m,-1.5671150316488234,under_1st_percentile
4561_BaBr,BaBr,F-43m,-1.499596806424356,under_1st_percentile
640_SrW,SrW,Pm-3m,1.9908134049990984,over_99th_percentile
4093_CaNb4,CaNb4,Im-3m,2.0724527098289203,over_99th_percentile
3992_CaTa,CaTa,Fm-3m,2.085022014389096,over_99th_percentile
2202_Cr3Sr,Cr3Sr,P4/mmm,2.343766949356529,over_99th_percentile
977_SmW,SmW,F-43m,2.654567875129585,over_99th_percentile
1997_BaTa2,BaTa2,P4/mmm,2.6742888561602256,over_99th_percentile
1167_AgTa3,AgTa3,Pm-3m,3.130992588674295,over_99th_percentile
323_TaYb,TaYb,F-43m,3.229303225683664,over_99th_percentile
4483_Ir2Mo,Ir2Mo,Fmmm,3.5922447122469983,over_99th_percentile
