file_name,value_per_atom,space_group,outlier_type
3863_BaBr2,-11.34664136590266,Fmmm,under_1st_percentile
3432_Ba4Br8,-2.3961927963342133,Pnma,under_1st_percentile
2419_Ag5Al3,-2.339860029082108,Amm2,under_1st_percentile
593_Ba2Br4,-2.1866423000315485,I4/mcm,under_1st_percentile
2474_Sr4Br8,-2.1581744519040207,Pnma,under_1st_percentile
543_Sr4Br8,-2.1555202848237465,Pnma,under_1st_percentile
2915_Ce2Br6,-2.11548569156943,P6_3/m,under_1st_percentile
4392_Eu4I8,-1.877240265112853,P2_1/c,under_1st_percentile
4769_Sr2Br6,-1.6828241395262955,Pmmn,under_1st_percentile
2367_Fe4Na4,1.7236679830938106,P2_13,over_99th_percentile
256_CuIr,1.783717347151633,F-43m,over_99th_percentile
316_MnW,1.98968045727348,F-43m,over_99th_percentile
640_SrW,1.9908134049990984,Pm-3m,over_99th_percentile
3992_CaTa,2.085022014389096,Fm-3m,over_99th_percentile
2410_AgTa,2.1461061385795173,F-43m,over_99th_percentile
977_SmW,2.654567875129585,F-43m,over_99th_percentile
178_SrW2,3.2276063672278554,Fm-3m,over_99th_percentile
4244_AgIr3,3.4604658513367634,Pm-3m,over_99th_percentile
