file_name,value_per_atom
6_Sn17P12,0.2150613449970501
11_Mo3W3,-0.0006663757429568
13_Ga2Sr,-0.533854310311091
18_InSn5,-0.0004405329807042
37_AlMn,-0.1653908717519483
39_CrTa3,0.0265847358564226
41_TaV5,0.0285429832034746
43_Ir2Ta4,-0.0336096433566623
45_CaRh2,-0.0716643596461175
50_Ir16Pd8,0.7219119116409539
53_NiRh,0.0437963995323711
58_Na2Pt4,-0.0507407090270112
63_Cr2Sr2,0.7446481806535772
65_Al4P2,0.0048209866646065
67_Ac3Yb,0.0483534304371855
71_Au6Mn2,0.0028625383247353
78_Ni4Sb2,0.1770521249294952
82_Al2Sn6,0.0934787482373256
85_Ni2Sb,0.1209554596631837
92_InI,-0.3710410919205595
93_GaGe,-0.0146410194391521
95_Cr2W2,0.0864102135558599
101_CrW3,0.0537844050765876
110_Cr4Rh,0.6478040969868033
118_CrTa,2.66607583354954
120_Cu8Fe16,0.325100666679899
123_WP,0.5181687470777128
131_NiSn,-0.1266843635676862
134_Au4Sr16,-0.1130436182400256
137_Au3P,0.2305156716459713
141_CeBr,-0.8023102457033016
147_Cu2Ni26,0.2677396298890073
150_YbP,-0.8482652900103984
158_Cu2Ge4,0.1885786881460269
164_Mo3P,0.0756003152457989
165_Ni2Sn,-0.1054898433116857
169_Cu3Ta,0.0786238311665679
176_In3K,-0.0780771556712189
193_Eu8Ge4,-0.8865988076880225
194_Al12Pb12,0.2570537015373606
201_CrPd,0.7786205625391744
204_Ni3Sb,-0.1361405822875303
206_Cr12W18,0.3346698123646452
208_PI,0.6765507848780659
210_Al18Pb6,0.208434471028663
220_Cr8Rh,0.215390972454407
227_Ir2Na4,0.2310379275124135
229_Pd2Rh2,0.0413431690888472
239_Pb2Sb6,0.156305874512693
240_PaBi,0.5006361656619811
246_WSb,0.6402363637939983
254_NbP2,-0.6493615298102936
255_Mo2Pb2,0.5946080176813062
259_K2As2,-0.160004924188351
261_Fe3Na,1.127116443806946
268_FeW2,0.3111246762356288
270_FeNa,2.2341407373912583
273_Ba3Br,-0.6944199402649203
286_Ca3P5,-0.4401060503561709
290_W24P5,0.4316480836713108
308_Na4Pb,-0.0642697687374035
309_Fe16Pd8,0.2678129794078536
342_Ag3Ge,0.0800694173601241
343_TaGe3,0.210347076036002
344_Nb3W,-0.0274865342817491
363_Nb8P,-0.147451398258034
364_Ca2Sn,-0.4536710840000347
366_NiAs3,0.0077896201439395
379_P3As,0.6037013122326167
380_MoTa2,-0.1507586219781795
386_Na2Pt2,-0.0678347584527458
391_Ga2Na,-0.0480496307103811
396_Au2Nb2,-0.1082128533063704
397_AuNb3,0.0958726177621862
399_Au2Nb2,-0.0960918000005977
403_Ag3Mn,0.2277962190790639
404_Au3P,0.2363162278525057
461_Nb2Pt2,-0.6457401466596764
479_Ca18Mo6,0.6779185862039393
484_Mn3Sn,0.2206086726667848
508_Ba3Sb,-0.4907969730717179
511_AgP,0.4563419294753772
523_In2Sn,0.0836835249385252
525_MnBr8,0.0470076085075885
529_AlPd3,-0.60903041698508
532_AlPd,-0.2299419746504174
544_Mn4Sb5,0.6126234421869883
548_CuIr,1.7455088971045418
553_Al8Sn4,0.1639814527707136
554_K8As,-0.0518674954251389
567_K3Na,0.0088293019136178
568_AsBr4,0.0827368421497677
572_Ni2Sn2,-0.0386517674134507
576_CrNa,0.9901028503581726
579_K4As2,-0.1232630861551378
582_InBr3,-0.5541793780190627
584_Ba3Fe,0.912948127235126
590_Sb4Ge2,0.2864570294892138
592_InSb,-0.1304174171677101
595_Fe2Ga2,0.0474305641048955
597_Cu6Pt5,-0.1221253059125608
603_CrP7,0.6510238187764203
604_Cu4Ni2,0.2141543813091626
617_PaGe3,-0.3479441991654255
619_Pd2Rh2,0.0335179686465618
621_V3Br,0.5547448324913553
630_P4As,0.812091334973811
639_Ni2P2,-0.165174269500933
642_As4Br16,-0.046800421294947
643_Al4Pb8,0.190216711141165
649_AuPa,-0.285637361273328
654_Al2In4,0.1587686536238752
657_CsI,-1.618852980774196
660_Al3Ca,-0.0211971321280866
676_AgTa3,3.185028116001336
681_Pt3V,-0.4605299601087775
684_AgAs,0.0355941644367785
687_In3Ni,0.2402447399500977
689_In3Sr,-0.3304793817924882
697_Ge2P6,0.3548940576013857
704_Cu7Pt5,-0.1193349788810517
705_P16As8,0.2640915783909587
714_Fe2Pd26,0.4845342715894613
716_CuNb,0.2235941904050769
719_BaV3,0.6593841522437529
727_Ga2W,0.2419851468309346
733_Pt2Sb,-0.1835536045961205
740_Ag5Al7,-0.0106816300969262
744_V4W3,-0.0694999846588128
747_Mo3Ta,-0.1285233832042944
748_Mo2P,0.0111428188688501
752_Ba2Ga2,-0.1956373653855494
754_Ba3Sn,-0.322119701814052
756_Fe2Ir2,0.095469058522756
762_Na2Pt4,0.3152627011305847
765_K2As2,-0.1608951117004919
769_P16Br4,0.5858727126604272
779_As4Br2,0.4452598407995474
