file_name,formula,space_group,value_per_atom
570_Cr2Ta2,Cr2Ta2,Imma,0.0133151772221342
574_Ag2Al,Ag2Al,I4/mmm,-0.0620567473526894
575_AcRb,AcRb,Fm-3m,0.98654844080828
577_Ba3Ir,Ba3Ir,Fm-3m,0.338428116950626
581_BaPd3,BaPd3,Immm,-0.1696675891449359
585_AuNi,AuNi,F-43m,0.9641375582202292
586_AuSr,AuSr,Pm-3m,-0.7391766903276662
591_AlPd,AlPd,P-6m2,-0.769562325120063
598_K2Ge2,K2Ge2,Imma,-0.1488017230705125
610_CuNi4,CuNi4,Im-3m,0.8709995730334945
618_TaGe4,TaGe4,I4/m,0.177546213788969
624_Fe5As3,Fe5As3,Cmmm,0.0406293060694071
631_SrW,SrW,Pm-3m,1.9972426006473425
635_CrNb,CrNb,Pm-3m,0.0400403641248559
641_Al6Rh6,Al6Rh6,I4/mmm,-0.7913171802790396
647_PtTh,PtTh,R-3m,-0.9985407139856556
648_CrTa,CrTa,F-43m,2.4750764616864167
656_CrSb,CrSb,F-43m,0.450704512349529
664_Al3Pd,Al3Pd,P4/mmm,-0.4002240771260617
670_Nb2P4,Nb2P4,I4/mcm,-0.6739997459086903
675_AlRh3,AlRh3,Pmmm,-0.4132671229453981
677_W6As10,W6As10,I4cm,0.3115210182407653
679_GaMn2,GaMn2,I4/mmm,-0.0545106711907668
680_EuGa3,EuGa3,Fm-3m,-0.4397634530988226
683_Cr3Na,Cr3Na,Cmmm,0.5610182583884997
686_Cu4Ge2,Cu4Ge2,Pnnm,0.1101341585813073
699_NbW3,NbW3,Immm,-0.0676890586603047
701_Fe2W4,Fe2W4,Cmcm,0.1736369429963483
702_Al2K2,Al2K2,Cmcm,0.2122518133412239
706_Ta4V6,Ta4V6,Fdd2,0.1993984094369878
707_Pd3Sb,Pd3Sb,Immm,-0.3760822909045904
723_Mo2Sr4,Mo2Sr4,I4/mcm,0.7615178657666704
724_Mo2W6,Mo2W6,I4/mmm,0.3719728802045488
731_Cr6Pb18,Cr6Pb18,Pmmn,0.8597710145046591
738_BaV2,BaV2,I4/mmm,0.885057308656922
749_Mo10W6,Mo10W6,I4/mcm,0.344623366699313
751_Ca3Ir,Ca3Ir,Fm-3m,-0.046826592853308
757_W5P,W5P,F-43m,0.7596371541010379
758_Cu4Pt7,Cu4Pt7,P1,-0.1032958613637947
764_Al2K2,Al2K2,P4/nmm,0.2428604531726903
771_Al2Pt4,Al2Pt4,Pnnm,-0.6594769920454873
772_PbGe3,PbGe3,Fm-3m,0.1001123730519051
774_W5Sb,W5Sb,F-43m,0.6439930759214031
786_Al8Ta4,Al8Ta4,I4_1/amd,-0.2256334324555962
799_Ba3In,Ba3In,P4/mmm,-0.2065075990659131
801_Ag2Sn,Ag2Sn,I4/mmm,-0.0049404452265407
802_FePd,FePd,Pm-3m,0.0486880392537516
