file_name,space_group,value_per_atom,outlier_type
4191_CeBi,Pm-3m,-20.51942767,under_1st_percentile
1459_CsW,F-43m,-11.82074014,under_1st_percentile
3863_BaBr2,Fmmm,-11.34664137,under_1st_percentile
2845_Sr2W,Fmmm,-8.57509368,under_1st_percentile
3544_Ba2Sb,Fmmm,-8.070921585,under_1st_percentile
56_CsMn,P-6m2,-5.420664132,under_1st_percentile
1568_Cs16Bi16,P2_1/c,-4.954624199,under_1st_percentile
3432_Ba4Br8,Pnma,-2.396192796,under_1st_percentile
2419_Ag5Al3,Amm2,-2.339860029,under_1st_percentile
593_Ba2Br4,I4/mcm,-2.1866423,under_1st_percentile
2474_Sr4Br8,Pnma,-2.158174452,under_1st_percentile
543_Sr4Br8,Pnma,-2.155520285,under_1st_percentile
932_BaBr2,I4/mmm,-2.124731628,under_1st_percentile
565_BaBr2,I4/mmm,-2.12463594,under_1st_percentile
2073_BaBr2,I4/mmm,-2.124535582,under_1st_percentile
2915_Ce2Br6,P6_3/m,-2.115485692,under_1st_percentile
4600_Sr8Br16,Fd-3m,-2.052905571,under_1st_percentile
3981_CsBr,Fm-3m,-1.953201337,under_1st_percentile
4195_KBr,Fm-3m,-1.900079049,under_1st_percentile
2630_CsBr,Pm-3m,-1.890507126,under_1st_percentile
4037_Ca8Br16,Fd-3m,-1.889733781,under_1st_percentile
4392_Eu4I8,P2_1/c,-1.877240265,under_1st_percentile
274_CsBr,F-43m,-1.850280312,under_1st_percentile
3991_CeAs,Fm-3m,-1.737496622,under_1st_percentile
3016_NaBr,Fm-3m,-1.719276544,under_1st_percentile
4769_Sr2Br6,Pmmn,-1.68282414,under_1st_percentile
2769_Ba2Br6,Pm-3n,-1.669242551,under_1st_percentile
1527_Ba2Br2,P4/nmm,-1.645370826,under_1st_percentile
1445_CsI,P-6m2,-1.619871336,under_1st_percentile
657_CsI,P-6m2,-1.618852981,under_1st_percentile
1106_SnW,F-43m,1.970538985,over_99th_percentile
4397_EuTa,Fm-3m,1.982152824,over_99th_percentile
640_SrW,Pm-3m,1.990813405,over_99th_percentile
631_SrW,Pm-3m,1.997242601,over_99th_percentile
2389_CuMo,F-43m,1.99780866,over_99th_percentile
3533_Pd2Br,Fmmm,2.000228916,over_99th_percentile
3215_K8W4,Pa-3,2.07750302,over_99th_percentile
3992_CaTa,Fm-3m,2.085022014,over_99th_percentile
4612_IrK,Fm-3m,2.116775692,over_99th_percentile
1924_AuNp,F-43m,2.149572076,over_99th_percentile
1052_CuIr,F-43m,2.167745215,over_99th_percentile
481_RbW,P4/mmm,2.187420243,over_99th_percentile
270_FeNa,Fm-3m,2.234140737,over_99th_percentile
4099_CuW,F-43m,2.26100682,over_99th_percentile
2202_Cr3Sr,P4/mmm,2.343766949,over_99th_percentile
2489_RbU,Fm-3m,2.376284508,over_99th_percentile
969_CsW,P-6m2,2.378387332,over_99th_percentile
200_CsW,P-6m2,2.392753487,over_99th_percentile
977_SmW,F-43m,2.654567875,over_99th_percentile
199_Al2V,Fmmm,3.021478292,over_99th_percentile
2435_RbTa,Fm-3m,3.151750611,over_99th_percentile
1711_Fe3Pb,Pm-3m,3.160255628,over_99th_percentile
178_SrW2,Fm-3m,3.227606367,over_99th_percentile
323_TaYb,F-43m,3.229303226,over_99th_percentile
3459_Fe2Mo,Fmmm,3.287027324,over_99th_percentile
4272_RbW,F-43m,3.473318277,over_99th_percentile
4864_K2Mo,Fmmm,4.816693694,over_99th_percentile
2375_Ga13Mn13,R-3m,5.485676899,over_99th_percentile
1705_CaMn2,Fmmm,6.453217613,over_99th_percentile
2346_Fe2Pt2,P4/nmm,23.19357049,over_99th_percentile
