file_name,formula,space_group,value_per_atom,outlier_type
3544_Ba2Sb,Ba2Sb,Fmmm,-8.07092158461461,under_1st_percentile
2073_BaBr2,BaBr2,I4/mmm,-2.124535582082067,under_1st_percentile
2630_CsBr,CsBr,Pm-3m,-1.8905071260349693,under_1st_percentile
3991_CeAs,CeAs,Fm-3m,-1.7374966219490622,under_1st_percentile
3016_NaBr,NaBr,Fm-3m,-1.7192765439625828,under_1st_percentile
657_CsI,CsI,P-6m2,-1.618852980774196,under_1st_percentile
1440_KI,KI,R-3m,-1.585149885067622,under_1st_percentile
3355_NaBr,NaBr,Cmmm,-1.51503601569897,under_1st_percentile
3131_YbBr,YbBr,Fm-3m,-1.4106922041879266,under_1st_percentile
2518_P3Br,P3Br,Pm-3m,1.917565214745004,over_99th_percentile
3530_P3Br,P3Br,Pm-3m,1.926129210792646,over_99th_percentile
3215_K8W4,K8W4,Pa-3,2.0775030196961777,over_99th_percentile
1125_AlMo2,AlMo2,Fmmm,2.233849459482612,over_99th_percentile
270_FeNa,FeNa,Fm-3m,2.2341407373912583,over_99th_percentile
2489_RbU,RbU,Fm-3m,2.376284508072093,over_99th_percentile
118_CrTa,CrTa,F-43m,2.66607583354954,over_99th_percentile
1135_BaIr2,BaIr2,Fmmm,2.783862077291165,over_99th_percentile
676_AgTa3,AgTa3,Pm-3m,3.185028116001336,over_99th_percentile
