file_name,formula,space_group,value_per_atom,outlier_type
4191_CeBi,CeBi,Pm-3m,-20.51942767497456,under_1st_percentile
56_CsMn,CsMn,P-6m2,-5.420664132459949,under_1st_percentile
593_Ba2Br4,Ba2Br4,I4/mcm,-2.1866423000315485,under_1st_percentile
4195_KBr,KBr,Fm-3m,-1.9000790488547985,under_1st_percentile
1527_Ba2Br2,Ba2Br2,P4/nmm,-1.6453708263697826,under_1st_percentile
1445_CsI,CsI,P-6m2,-1.619871335866558,under_1st_percentile
3716_RbI,RbI,R-3m,-1.6018918268005236,under_1st_percentile
3887_SmSb,SmSb,R-3m,-1.5775718023941758,under_1st_percentile
2947_PtSm,PtSm,Pm-3m,-1.4318709282015725,under_1st_percentile
3533_Pd2Br,Pd2Br,Fmmm,2.000228915517294,over_99th_percentile
2410_AgTa,AgTa,F-43m,2.1461061385795173,over_99th_percentile
4099_CuW,CuW,F-43m,2.2610068203752807,over_99th_percentile
969_CsW,CsW,P-6m2,2.3783873322065965,over_99th_percentile
1832_Ni4U6,Ni4U6,R-3c,2.4319144975516,over_99th_percentile
241_CrTa,CrTa,F-43m,2.5070367353222007,over_99th_percentile
2435_RbTa,RbTa,Fm-3m,3.1517506112669618,over_99th_percentile
1711_Fe3Pb,Fe3Pb,Pm-3m,3.1602556276759275,over_99th_percentile
1964_SrW4,SrW4,Im-3m,3.29538982431248,over_99th_percentile
