file_name,formula,space_group,value_per_atom,composition,outlier_type
2435_RbTa,RbTa,Fm-3m,3.151750611,RbTa,over_99th_percentile
1711_Fe3Pb,Fe3Pb,Pm-3m,3.160255628,Fe3Pb,over_99th_percentile
676_AgTa3,AgTa3,Pm-3m,3.185028116,Ta3Ag,over_99th_percentile
178_SrW2,SrW2,Fm-3m,3.227606367,SrW2,over_99th_percentile
323_TaYb,TaYb,F-43m,3.229303226,YbTa,over_99th_percentile
3459_Fe2Mo,Fe2Mo,Fmmm,3.287027324,Fe2Mo,over_99th_percentile
1964_SrW4,SrW4,Im-3m,3.295389824,SrW4,over_99th_percentile
4244_AgIr3,AgIr3,Pm-3m,3.460465851,AgIr3,over_99th_percentile
4272_RbW,RbW,F-43m,3.473318277,RbW,over_99th_percentile
4483_Ir2Mo,Ir2Mo,Fmmm,3.592244712,MoIr2,over_99th_percentile
4864_K2Mo,K2Mo,Fmmm,4.816693694,K2Mo,over_99th_percentile
2375_Ga13Mn13,Ga13Mn13,R-3m,5.485676899,MnGa,over_99th_percentile
1705_CaMn2,CaMn2,Fmmm,6.453217613,CaMn2,over_99th_percentile
2346_Fe2Pt2,Fe2Pt2,P4/nmm,23.19357049,FePt,over_99th_percentile
