file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R
775_MoI,MoI,F-43m,1.3140727451876053,MoI,3823.68879514937,5015.262240970125
776_As17Br12,As17Br12,I-43m,0.0012304841898449,As17Br12,3300.0,5245.527555646653
777_Al2Cu6,Al2Cu6,Cmcm,-0.1611115337218152,AlCu3,1600.0,1438.007545706652
778_NaPb,NaPb,P-6m2,-0.1123338049140905,NaPb,2540.203016132933,1670.164950608008
779_As4Br2,As4Br2,I4/mcm,0.4452598407995474,As2Br,3300.0,5008.593793526102
780_NiTa,NiTa,P-6m2,0.0359782446442089,TaNi,1981.60151706751,3991.757697171372
783_Fe2Ir2,Fe2Ir2,P4/nmm,0.0966810213421247,FeIr,4802.111972006999,7366.536188533512
784_AuCr3,AuCr3,P4/mmm,0.2856037948833716,Cr3Au,1983.89940868049,2370.04408345476
785_Mn4W16,Mn4W16,I-43m,0.9153041860879512,MnW4,6624.615744810555,4126.210992967849
786_Al8Ta4,Al8Ta4,I4_1/amd,-0.2256334324555962,TaAl2,2139.197990207671,3927.074803984495
787_Al3I,Al3I,I4/mmm,0.4000964545887084,Al3I,3614.850098513159,3320.130416469698
788_CrTa3,CrTa3,Immm,0.0310400462610473,Ta3Cr,2369.92955783351,4738.811636895679
789_AuP3,AuP3,Imm2,0.4511237559475161,P3Au,1388.487965113268,2314.222952182664
790_Ba5V,Ba5V,P4/mmm,0.5349305232872368,Ba5V,3020.719816859675,2375.972661818808
791_K2As,K2As,I4/mmm,-0.1842960229864036,K2As,2482.889036051887,5634.221927896227
793_PdRh2,PdRh2,P4/mmm,0.8060997154070506,PdRh2,3200.0,8000.0
794_Sb5Ge,Sb5Ge,Amm2,0.1763970050717992,GeSb5,7622.845738436252,3240.1033106363
795_MoSr2,MoSr2,I4/mmm,0.9515306066991656,Sr2Mo,3563.183125599233,3813.710450623202
796_RhBi,RhBi,P-6m2,0.0684266591716671,BiRh,4607.113434752901,6659.891966901998
797_Al2K4,Al2K4,Cmcm,0.155120108336991,K2Al,1674.346818683859,5609.502758399262
798_Ba2Sn4,Ba2Sn4,Cmcm,-0.4831717141879193,BaSn2,2746.581026665991,1856.516796665484
799_Ba3In,Ba3In,P4/mmm,-0.2065075990659131,Ba3In,3065.386228903244,2234.613771096756
800_Fe3Pd,Fe3Pd,Pm-3m,0.0678074179691172,Fe3Pd,2710.766366739063,3963.82252559727
801_Ag2Sn,Ag2Sn,I4/mmm,-0.0049404452265407,Ag2Sn,1696.922675800965,1470.988953685852
802_FePd,FePd,Pm-3m,0.0486880392537516,FePd,2924.672603457308,5728.548978522787
803_Au5Sr24,Au5Sr24,I-43m,0.0134686051511183,Sr24Au5,3211.248139721361,2362.095574013781
804_Au16Sr4,Au16Sr4,I-43m,-0.4516277814634968,SrAu4,1410.252721768537,1200.163046302282
805_Ca2Cu2,Ca2Cu2,P4/nmm,0.0082695203874965,CaCu,2489.556473403845,1500.0
806_Al2Cu2,Al2Cu2,Pmma,-0.1881961713948934,AlCu,1600.0,1350.976073042154
807_Mo2Ta,Mo2Ta,I4/mmm,-0.1665484888315755,TaMo2,2351.466108167661,5057.330540838308
808_In5Ta3,In5Ta3,Cmmm,0.274984929722831,Ta3In5,2813.9875633077,3360.834822738439
809_PbAs3,PbAs3,Cmmm,0.3753619279989451,As3Pb,3012.198771751772,2944.728829756498
810_Cu3K,Cu3K,Pm-3m,0.7647491590705378,KCu3,1617.018773263085,2470.070075995826
812_V4W2,V4W2,I4_1/amd,0.4559703031640971,V2W,5680.655390010605,3979.078338110688
813_Cr4As,Cr4As,I4/m,0.0144065940607106,Cr4As,3152.965720062494,4073.517139968752
814_Ag8Mn,Ag8Mn,I4/mmm,0.1166144529993648,MnAg8,1223.941180475005,1423.941180475005
815_Pd4Rh,Pd4Rh,I4/m,0.0493545376730246,Pd4Rh,3200.0,8000.0
817_SmI3,SmI3,Pm-3m,-0.8819491333694671,SmI3,6202.373621002792,4318.688009629403
818_Ga3W,Ga3W,P4/mmm,0.2579364782583191,Ga3W,6201.663320687312,3022.6613130997
819_Au3Nb,Au3Nb,Pmmm,-0.0370355227978214,NbAu3,2105.412535908005,2059.7591594706
820_AgSn2,AgSn2,P4/mmm,0.1028906522218721,AgSn2,2162.639325641594,1537.519903663085
821_Ag12Br4,Ag12Br4,Pnma,0.0515699371614406,Ag3Br,1615.848385883225,2489.126724932256
822_Ca5Sn7,Ca5Sn7,I4mm,-0.3709440976254115,Ca5Sn7,2852.58590598821,1580.570314923984
825_IrV5,IrV5,P4/mmm,-0.2488146422955945,V5Ir,4246.194267711885,5851.503329980791
826_BaSn5,BaSn5,Cmmm,-0.2592371020090927,BaSn5,2675.157379422256,1731.525413988948
829_Fe3Pb,Fe3Pb,Fm-3m,0.8221365150147326,Fe3Pb,2565.877219902064,1621.169626536085
830_Mn4W16,Mn4W16,I-43m,0.9114480338063672,MnW4,6624.615744810555,4126.210992967849
831_Ag4Ge12,Ag4Ge12,Pnma,0.2482454616969152,AgGe3,3942.49343591941,1734.450419014562
832_Ni6P2,Ni6P2,I4/mmm,-0.3125298444586937,Ni3P,1149.592703760964,2038.533733539472
833_Sb3Ge,Sb3Ge,Cmmm,0.2674849223565756,GeSb3,7468.72488125685,3151.187431494337
834_Ag5Sn3,Ag5Sn3,Cmmm,0.0055465449788667,Ag5Sn3,1756.781849998492,1479.540264285499
835_Ag3Br,Ag3Br,Immm,0.1339256805882671,Ag3Br,1615.848385883225,2489.126724932256
836_MnW5,MnW5,F-43m,0.637096752327229,MnW5,6695.458518920694,4159.008573574395
837_Mn2W2,Mn2W2,Fd-3m,0.151687813937281,MnW,5757.568171730361,3724.800079504796
839_Pb4As4,Pb4As4,Pnma,0.0962067827938515,AsPb,2859.338951714438,2384.24282295294
840_Cu2Ge,Cu2Ge,I4/mmm,0.1278837745665371,Cu2Ge,2945.643161836862,1645.474936414796
841_Pb2As6,Pb2As6,Pmmn,0.0647045201800651,As3Pb,3012.198771751772,2944.728829756498
842_Na4Pt2,Na4Pt2,I4/mcm,-0.1813541043859411,Na2Pt,4660.760806580271,7459.668849225076
843_SbGe3,SbGe3,Cmmm,0.3111828316428111,Ge3Sb,6231.983042863872,2437.682524729157
844_Au2Nb4,Au2Nb4,Cmcm,0.066589382172116,Nb2Au,4692.185679389182,4786.357878275084
845_Ni3Sb,Ni3Sb,Fm-3m,-0.2230025413726162,Ni3Sb,3820.78779157414,2276.738667245053
846_In2Ta2,In2Ta2,Pmma,0.2468565124577857,TaIn,2688.205698371969,3713.024044558487
847_Fe3Pb,Fe3Pb,Pm-3m,0.8418246784643095,Fe3Pb,2565.877219902064,1621.169626536085
920_Cr24P5,Cr24P5,I-43m,0.1464752893235274,Cr24P5,2978.558096988326,4210.401730010612
921_Cr4P8,Cr4P8,Pa-3,0.1722750167158722,CrP2,2501.96498928277,4643.668191561118
922_Ag4Al4,Ag4Al4,Pmm2,-0.0125733738802225,AlAg,1280.034381616517,1319.965618383483
923_Ca4P6,Ca4P6,Fdd2,-0.7364136415173135,Ca2P3,2879.932910434013,3432.758696019765
924_Fe16Na4,Fe16Na4,I-43m,0.8854584092029818,NaFe4,2278.691691146435,1316.017324639839
925_In5Sn,In5Sn,Cm,0.0071618832732151,In5Sn,3180.05629330254,1931.460739030023
926_Nb4Pb4,Nb4Pb4,Pnma,0.5735621749519426,NbPb,4495.553310129561,3967.047098432229
927_Pb2Sb2,Pb2Sb2,Imma,0.0600887634065325,SbPb,4624.708171206225,2392.217898832685
928_CaMo3,CaMo3,Pmmm,0.7670388591526027,CaMo3,2583.340551025014,4835.537270736631
929_GeP3,GeP3,Immm,0.3912980832327397,GeP3,3447.874716315021,3696.000275088465
930_Ba4Pd2,Ba4Pd2,Cmcm,-0.3112198981691587,Ba2Pd,3055.85266903541,3891.801067509197
932_BaBr2,BaBr2,I4/mmm,-2.124731627500796,BaBr2,3161.348881821395,4774.016187928046
933_BiP,BiP,P-6m2,0.2191229412468898,BiP,4874.029415668148,5883.826204273131
934_Nb2Pb4,Nb2Pb4,Pnnm,0.527916409969278,NbPb2,3762.192444731328,3081.956398813672
935_BaPd5,BaPd5,Amm2,-0.0742184407992028,BaPd5,3158.971777355858,6830.695654641955
936_FeAs3,FeAs3,Imm2,0.0897481398296129,FeAs3,3120.888293994009,3482.566182649359
937_V4Br2,V4Br2,I4_1/amd,0.602972819729254,V2Br,3300.0,4938.415838316272
938_Ca4In,Ca4In,I4/m,-0.0816027239527812,Ca4In,3649.606367898812,1708.661360084324
939_In2Sn2,In2Sn2,C2/m,0.0072557806581281,InSn,2944.166866499948,1796.666780857113
940_BiGe,BiGe,P4/mmm,0.3197912132401441,GeBi,5300.0,4942.462974983346
941_FeIn,FeIn,P-6m2,0.331680491258254,InFe,3005.498555633031,1803.665703755354
942_Cu2Ga2,Cu2Ga2,Cmcm,-0.0384632138339466,GaCu,3640.382234428111,1709.269972761857
944_Sb5Ge,Sb5Ge,Cmmm,0.3160109171990714,GeSb5,7622.845738436252,3240.1033106363
945_RbRh,RbRh,P-6m2,1.0520374114343962,RbRh,4470.40212174443,7092.569913039693
946_Al10Ga6,Al10Ga6,Cmcm,0.095685762753773,Al5Ga3,3970.864160799174,1547.122498645963
947_Au12Nb12,Au12Nb12,Pbcm,0.0246907527303363,NbAu,3471.753605749531,3499.956503357614
948_Al4Ce,Al4Ce,I4/mmm,-0.3289075421692565,CeAl4,6062.614037027572,2186.26449085543
949_Cr12Ta12,Cr12Ta12,Pbcm,0.2317028235556613,TaCr,2478.570315489587,4643.750973946611
950_Sb3Ge,Sb3Ge,Immm,0.2281014348942531,GeSb3,7468.72488125685,3151.187431494337
951_Fe2Mo,Fe2Mo,Fm-3m,0.8205961221980852,Fe2Mo,2400.0,3202.080624187256
952_Pb2As4,Pb2As4,Pnnm,0.1364370872739471,As2Pb,2951.806840180684,2723.291747329175
953_Al2In6,Al2In6,Cmcm,0.1239297719224783,AlIn3,3176.50988972976,1927.358758664565
954_Ga24Pt5,Ga24Pt5,I-43m,-0.0221923533320317,Ga24Pt5,5500.0,4551.426396835968
955_V3Br,V3Br,P4/mmm,0.2451158130539417,V3Br,3300.0,4601.67491304245
957_BaBr3,BaBr3,P4/mmm,-1.4934390696260131,BaBr3,3190.732523691183,5224.565363264808
958_Al3In,Al3In,Cmmm,0.1618625852910868,Al3In,2597.078013094265,1586.516478290745
959_GaAs2,GaAs2,I4/mmm,0.1932450326482199,GaAs2,3998.607527023741,3333.147360568248
960_In2Br4,In2Br4,Cmcm,-0.4657886603656829,InBr2,3300.0,4851.36585756629
962_In2Na,In2Na,I4/mmm,-0.0923335285838901,NaIn2,3099.792821768939,1863.495105751549
963_Pb5As,Pb5As,Cmmm,0.0730055359613004,AsPb5,2740.464565636315,1948.370073999822
964_KMn,KMn,P-6m2,1.154798689515636,KMn,1641.577860134823,4045.204447280464
965_Cr3Sr,Cr3Sr,P4/mmm,0.7469061432395261,SrCr3,3495.643333991494,3704.356666008506
966_Ag2Ca,Ag2Ca,I4/mmm,-0.2523950355557402,CaAg2,1623.004334392434,1415.66682719972
967_Ga2K,Ga2K,Immm,0.003014998792573,KGa2,4667.861757558208,3060.613864458288
968_IrV3,IrV3,I4/mmm,-0.2177500932741018,V3Ir,4525.584168860847,6575.37716477583
971_Cr6Ta2,Cr6Ta2,Pmmn,0.3273652456195499,TaCr3,2670.368774288353,4475.927322497691
972_NiP4,NiP4,I4/mmm,0.2320048088897643,NiP4,1678.548119320232,3942.773229552836
973_MnW,MnW,Pm-3m,0.1476485737560633,MnW,5757.568171730361,3724.800079504796
974_AgMn8,AgMn8,I4/mmm,0.3058372083905188,Mn8Ag,1521.173834508621,1721.173834508621
975_GaW4,GaW4,I4/mmm,0.957071096951836,GaW4,6870.094760416006,4092.151616665611
976_InNa3,InNa3,P4/mmm,-0.0468242476688618,Na3In,2474.412645621351,1437.099531105466
977_SmW,SmW,F-43m,2.654567875129585,SmW,8124.775583482943,3760.107719928186
978_AlIn3,AlIn3,Pmm2,0.1314761879387154,AlIn3,3176.50988972976,1927.358758664565
980_CrTa,CrTa,Cmmm,0.1363227916180687,TaCr,2478.570315489587,4643.750973946611
981_AlMo3,AlMo3,Fm-3m,-0.0073852883437464,AlMo3,2331.432257364449,4931.448383333917
982_Cr2Na2,Cr2Na2,Cmme,0.6053910532536468,NaCr,2486.823957613791,2996.283123704824
983_Ag2Sn,Ag2Sn,I4/mmm,-0.0088186502425434,Ag2Sn,1696.922675800965,1470.988953685852
984_IrV3,IrV3,P4/mmm,-0.3727588195176974,V3Ir,4525.584168860847,6575.37716477583
986_PAs,PAs,Pm-3m,0.5533038979136409,AsP,2919.757751052402,4321.743441417198
987_Cr2Na2,Cr2Na2,Pmmn,0.9853560370272048,NaCr,2486.823957613791,2996.283123704824
988_W3As,W3As,P4/mmm,0.4255188202761601,AsW3,6557.484815823214,4264.120390472152
989_Cr5Sr4,Cr5Sr4,I4/mmm,0.8622231105534092,Sr4Cr5,3731.536356570163,3468.463643429837
990_Ga16Pt4,Ga16Pt4,I-43m,-0.0780871849600103,Ga4Pt,5500.0,4863.451313990582
991_Ni4Rh2,Ni4Rh2,Pmmm,0.0388150810912032,Ni2Rh,2027.689574261107,4536.355560316906
992_K3Na,K3Na,P4/mmm,0.0077935929563961,K3Na,1601.67235209096,6102.007931682384
993_Ba4Ni6,Ba4Ni6,R-3c,0.4805433521371796,Ba2Ni3,2218.696074094222,1987.478429637689
995_Cu2Ge4,Cu2Ge4,I4_1/amd,0.1934571634987148,CuGe2,4174.085602367521,1778.279524580273
996_AuCr2,AuCr2,I4/mmm,0.3190157135225651,Cr2Au,1791.072736279035,2071.162741232504
997_Ga3W,Ga3W,P4/mmm,0.2291023504900202,Ga3W,6201.663320687312,3022.6613130997
998_KI,KI,R-3m,-1.585206424514379,KI,4146.310407952831,5365.267194035378
999_K3Na,K3Na,I4/mmm,0.01417873513989,K3Na,1601.67235209096,6102.007931682384
1000_Fe2Ga4,Fe2Ga4,I4_1/amd,0.1881841721178313,Ga2Fe,4613.530577445965,1757.021060878381
1001_Ge2Br,Ge2Br,I4/mmm,-0.0034931880682318,Ge2Br,4590.322580645161,3674.193548387097
1002_RhV,RhV,F-43m,0.6960338821994467,VRh,3233.111792885139,6476.857527283601
1003_InSb,InSb,P4/mmm,0.0411974551286244,InSb,5667.489791950224,2720.540371463112
1004_Ag2Al,Ag2Al,I4/mmm,-0.0620548805392004,AlAg2,1244.465668678022,1355.534331321978
1005_Cu2Ge2,Cu2Ge2,P4/nmm,0.1451743152793989,CuGe,3573.536193147606,1713.355264124066
1006_Cu2Ge,Cu2Ge,I4/mmm,0.0694776776662996,Cu2Ge,2945.643161836862,1645.474936414796
1007_CrRh4,CrRh4,I4/mmm,0.4467363132556045,CrRh4,3188.784713107621,7562.60381119719
1010_Cr3W,Cr3W,P4/mmm,0.0656147205161872,Cr3W,5209.818399468201,4208.195815357343
1011_Cr2Rh2,Cr2Rh2,P4/nmm,0.0194575353109609,CrRh,3166.432819286566,6690.879952176091
1012_KPt,KPt,P4/mmm,0.3818962756672643,KPt,4865.564605010712,8782.782302505357
1013_Ge2Br2,Ge2Br2,P4/nmm,-0.3539225105654191,GeBr,4252.380952380953,4519.047619047619
1014_CrRh2,CrRh2,P4/mmm,0.4701862462303445,CrRh2,3179.831393316941,7213.424339360708
1015_Cr8Rh,Cr8Rh,I4/mmm,0.4020511085975929,Cr8Rh,3119.832452676882,4873.465654398378
1016_FePt,FePt,P4/mmm,0.1046782928175824,FePt,4810.085721459059,7386.341953301532
1017_CuGa,CuGa,P-6m2,-0.0550340558600681,GaCu,3640.382234428111,1709.269972761857
1018_AlPd3,AlPd3,P4/mmm,-0.5908285954344459,AlPd3,3075.316919123695,7454.511521166166
1019_Cr5Rh4,Cr5Rh4,I4/mmm,0.0433450957045522,Cr5Rh4,3161.28952765959,6490.291578724023
1020_MoV4,MoV4,I4/mmm,0.5635547788826841,V4Mo,3011.897659706512,4008.216051730696
1021_Ni3Sb,Ni3Sb,P4/mmm,0.032134307323318,Ni3Sb,3820.78779157414,2276.738667245053
1022_SmGe5,SmGe5,Immm,-0.6336399568411982,SmGe5,6529.675208349561,2251.33577381416
1024_Fe4Ga2,Fe4Ga2,I4/mcm,0.0881069186662758,GaFe2,3591.432256784244,1592.166493029717
1025_KPb2,KPb2,I4/mmm,-0.1224223883686364,KPb2,2613.785123340043,2265.560333963766
1026_Ge2P4,Ge2P4,Cmcm,0.2497538444960133,GeP2,3781.086336055933,3372.885977157883
1027_CaFe,CaFe,Cmmm,0.6670044540710167,CaFe,3026.721432815904,1441.781428854394
1028_FeP,FeP,R-3m,-0.2909302413017611,FeP,2257.294615650014,2720.024805237375
1031_BaFe2,BaFe2,I4/mmm,0.877546727959088,BaFe2,2730.885843135207,1896.328764702811
1032_Fe2Ga,Fe2Ga,I4/mmm,-0.1271094661681431,GaFe2,3591.432256784244,1592.166493029717
1033_Ir2Mn2,Ir2Mn2,P4/nmm,-0.0092013547958025,MnIr,4633.101347374884,7477.343547650423
1034_Cr3W,Cr3W,P4/mmm,0.070083144452175,Cr3W,5209.818399468201,4208.195815357343
1035_K2Sn,K2Sn,I4/mmm,-0.0105444293062548,K2Sn,2242.587196163054,3823.901890540998
1036_Au16Sr4,Au16Sr4,I-43m,-0.4394674910717768,SrAu4,1410.252721768537,1200.163046302282
1037_AlCa3,AlCa3,Immm,-0.0462830051008067,Ca3Al,3478.457957834079,1408.360425616104
1038_Ag6Al4,Ag6Al4,P-1,-0.0511797502237229,Al2Ag3,1257.169170412239,1342.830829587761
1040_Cu8Pt4,Cu8Pt4,P-1,-0.1016922929724071,Cu2Pt,3961.527860548272,6101.951728247916
1041_Fe5Ir4,Fe5Ir4,I4/mmm,0.021654189741767,Fe5Ir4,4674.121475861398,7048.624311010568
1042_Fe4Pb,Fe4Pb,I4/mmm,0.5180408792710665,Fe4Pb,2544.36341678666,1592.484555715546
1043_AsBr2,AsBr2,I4/mmm,0.1637912403107397,AsBr2,3300.0,5974.370509726937
1044_Fe2Mo4,Fe2Mo4,Fd-3m,0.7116753557152222,FeMo2,2400.0,4420.817438692098
1045_VGe3,VGe3,P4/mmm,0.1847011190133702,VGe3,4921.057682115141,2184.206738413644
1046_Mo2W,Mo2W,I4/mmm,-0.0029383677656393,Mo2W,4650.782497604599,4810.699457042478
1047_K2Na4,K2Na4,Pnnm,0.0428438262803355,KNa2,1375.735495836038,3579.046370169091
1048_Cu7Pt5,Cu7Pt5,P1,-0.1273997840012809,Cu7Pt5,4278.513943398379,6719.668197391711
1049_Fe4V2,Fe4V2,Cmcm,0.1077950162773397,VFe2,2681.909408693888,2026.465352653084
1050_Pd8Sb4,Pd8Sb4,Cmc2_1,-0.4733627168891452,SbPd2,4910.316796174537,6326.072922893007
1051_W4Sb16,W4Sb16,I-43m,0.8629071845772032,Sb4W,7653.374672072503,3646.625327927499
1052_CuIr,CuIr,F-43m,2.1677452154660086,CuIr,4531.019342125327,7211.730000039099
1053_Cr2Ta6,Cr2Ta6,Cmcm,0.0611923339509843,Ta3Cr,2369.92955783351,4738.811636895679
1054_Sr16W4,Sr16W4,I-43m,1.1537662752830578,Sr4W,5163.377751160353,3447.28252732445
1055_SrW3,SrW3,Pm-3m,1.6994325432565986,SrW3,6616.146697124261,4121.782395093407
1056_NiSn,NiSn,P-6m2,-0.1179296850231041,NiSn,2070.64464378924,1566.915290236828
1057_Fe4V12,Fe4V12,Pnma,0.0315684178168123,V3Fe,3059.138254512519,2864.751676694485
1058_V4W2,V4W2,Pnnm,0.6447502404714527,V2W,5680.655390010605,3979.078338110688
1061_AgNa2,AgNa2,I4/mmm,0.0057255469738176,Na2Ag,1170.113607784967,1131.022470064704
1062_MoP,MoP,Fm-3m,-0.0433567812069348,MoP,2302.378555290166,5251.189277645083
1063_Pb8Sb4,Pb8Sb4,Pnma,0.0237348567169709,SbPb2,3880.901223515369,2163.354222620113
1065_Cr3Rh,Cr3Rh,P4/mmm,0.0961999135035913,Cr3Rh,3139.74815155867,5650.17791078813
1066_Ag2Na4,Ag2Na4,I4/mcm,-0.0624964469345152,Na2Ag,1170.113607784967,1131.022470064704
1067_CuGe,CuGe,P4/mmm,0.1859997211468114,CuGe,3573.536193147606,1713.355264124066
1068_Ca3Ni,Ca3Ni,Fm-3m,0.2013279866958397,Ca3Ni,2948.715512548665,1500.0
1069_As2Br,As2Br,I4/mmm,0.0304122552193941,As2Br,3300.0,5008.593793526102
1070_Ni5Ta,Ni5Ta,F-43m,-0.2416319823883223,TaNi5,1495.836563979612,2758.662047025169
1071_AsBr2,AsBr2,P4/mmm,0.0753329165068876,AsBr2,3300.0,5974.370509726937
1072_Fe2Pb2,Fe2Pb2,P4/nmm,0.2930038543888518,FePb,2636.309376722614,1715.079168963485
1074_NiSn2,NiSn2,I4/mmm,-0.0607263927219516,NiSn2,2282.859877330779,1580.178742333174
1075_Sr2W2,Sr2W2,Fd-3m,1.388439071506709,SrW,6096.235172769469,3880.394901642967
1077_AgTa7,AgTa7,Fm-3m,0.265534970245266,Ta7Ag,2213.674259770452,4533.174984745035
1079_AuGa,AuGa,F-43m,0.0772690096115358,GaAu,2250.33070528529,1235.294916990173
1080_AsBr2,AsBr2,I4/mmm,0.1644874317319959,AsBr2,3300.0,5974.370509726937
1081_Fe3Na,Fe3Na,Pm-3m,0.7214530138825488,NaFe3,2243.134831355823,1291.401037092493
1082_Pb4V,Pb4V,Im-3m,0.3152668653469838,VPb4,2734.743046679053,1892.648124477474
1083_Ba3Ta,Ba3Ta,P4/mmm,0.8554577806908497,Ba3Ta,2786.376544856442,3062.940911226993
1084_Fe3Pb,Fe3Pb,I4/mmm,0.4081851932579479,Fe3Pb,2565.877219902064,1621.169626536085
1085_Fe4As6,Fe4As6,Fdd2,0.0774651105346301,Fe2As3,3001.234757239308,3136.900409802446
1086_Al2Rh,Al2Rh,I4/mmm,-0.7934654617387066,Al2Rh,2649.59707634806,5591.987209022764
1087_Fe2Pb2,Fe2Pb2,P4/nmm,0.2934461841775402,FePb,2636.309376722614,1715.079168963485
1089_MoP,MoP,Pm-3m,-0.4032645725072434,MoP,2302.378555290166,5251.189277645083
1090_Al3K,Al3K,Fm-3m,0.3997707114694173,KAl3,1632.570268507257,3019.356647449912
1091_W2Sb6,W2Sb6,Pm-3n,0.7422411538439109,Sb3W,7598.688811188811,3701.311188811189
1092_AsBr,AsBr,P4/mmm,0.2720832940127895,AsBr,3300.0,5496.662050720294
1093_BaTa3,BaTa3,P4/mmm,0.5966542786171853,BaTa3,2441.330563753825,4295.247986593482
1095_Cr4Ta6,Cr4Ta6,Fddd,0.2239742892993831,Ta3Cr2,2428.616497193476,4687.460564955708
1096_Ga2W6,Ga2W6,I4/mmm,0.2772853612739112,GaW3,6831.652831500718,4030.644530401148
1097_Pb2Sb2,Pb2Sb2,Imma,0.0613678890081708,SbPb,4624.708171206225,2392.217898832685
1098_Pt2Sn2,Pt2Sn2,P4/nmm,-0.0398088134136793,SnPt,4402.914013652269,6262.708655997248
1100_WSb,WSb,Pm-3m,0.6333799695471152,SbW,7358.586387434554,3941.413612565445
1101_MoI,MoI,F-43m,1.310114103845386,MoI,3823.68879514937,5015.262240970125
1102_MoSr2,MoSr2,I4/mmm,0.9492812964603784,Sr2Mo,3563.183125599233,3813.710450623202
1104_PdRh4,PdRh4,I4/mmm,0.401449417497561,PdRh4,3200.0,8000.0
1105_Al4In2,Al4In2,Cmcm,0.1216467440318395,Al2In,2756.472059771876,1680.277682218751
1106_SnW,SnW,F-43m,1.9705389854412072,SnW,5273.59444719881,3240.614774417451
1107_Pb3V,Pb3V,Pm-3m,0.414796380719622,VPb3,2745.446860900034,1921.191629066756
1108_WSb4,WSb4,Im-3m,0.6132872102765802,Sb4W,7653.374672072503,3646.625327927499
1109_As3Br,As3Br,Fm-3m,0.4961707944660891,As3Br,3300.0,4760.568853784831
1110_Ag6V10,Ag6V10,I4/mcm,0.5632138098158901,V5Ag3,2124.908453411229,2280.86519372498
1111_Ag7Al5,Ag7Al5,P1,-0.0374998018127884,Al5Ag7,1260.633686591422,1339.366313408578
1112_Cr3Ta,Cr3Ta,Immm,0.054785266293079,TaCr3,2670.368774288353,4475.927322497691
1113_IrAs5,IrAs5,F-43m,0.915548865946659,As5Ir,4046.045781325805,5729.469765800732
1114_Pb2V,Pb2V,Fm-3m,0.7233741524777114,VPb2,2765.682729780172,1975.153946080459
1115_Ba4Ni6,Ba4Ni6,R-3c,0.4894772677785376,Ba2Ni3,2218.696074094222,1987.478429637689
1116_Ir2Ta4,Ir2Ta4,Imma,0.1685092472094496,Ta2Ir,3410.052762546021,6291.633399671216
1117_Al8Pb4,Al8Pb4,Pnma,0.2485274522084513,Al2Pb,2472.711420173142,1634.699214671376
1118_Ag4Al3,Ag4Al3,I4/mmm,-0.0526194813139255,Al3Ag4,1263.186467363626,1336.813532636374
1119_AlPd2,AlPd2,I4/mmm,-0.7924205762264265,AlPd2,3019.989221935548,7212.452845968023
1120_Al6Pb18,Al6Pb18,Pmmn,0.1724440600109176,AlPb3,2654.239072971356,1766.71932579735
1121_Cr4Rh8,Cr4Rh8,I4_1/amd,-0.0843739375719524,CrRh2,3179.831393316941,7213.424339360708
1122_Au4Mn6,Au4Mn6,Fdd2,0.1804851735896761,Mn3Au2,1247.485404371719,1235.97664699475
1123_Au8Mn4,Au8Mn4,Pnma,-0.03722282827629,MnAu2,1161.195780750309,1097.913249200495
1124_Ge4Br2,Ge4Br2,I4_1/amd,0.1319228939049175,Ge2Br,4590.322580645161,3674.193548387097
1125_AlMo2,AlMo2,Fmmm,2.233849459482612,AlMo2,2301.374946835908,4769.890339243006
1126_Mn4Sn,Mn4Sn,I4/m,0.2246010467999781,Mn4Sn,1950.733426109824,1729.853314778035
1127_AgAl4,AgAl4,I4/mmm,0.2037868935858093,Al4Ag,1400.053712619277,1199.946287380723
1128_Ni5Sb4,Ni5Sb4,I4/mmm,-0.0100013788182309,Ni5Sb4,5305.632108360335,2685.608841432556
1129_Al2Pb4,Al2Pb4,Pnnm,0.2678257974993154,AlPb2,2632.757286237798,1751.096208172944
1130_Ir4Mn3,Ir4Mn3,I4/mmm,0.1284928555570275,Mn3Ir4,4811.569641953148,7811.399586219994
1131_Cu8Ge,Cu8Ge,I4/mmm,-0.0100629725513914,Cu8Ge,2062.589155398893,1550.009638421502
1133_Mn2Sn4,Mn2Sn4,I4/mcm,-0.0217938214707539,MnSn2,2412.086426422779,1637.582714715444
1134_Fe2Pb6,Fe2Pb6,Cmcm,0.7930030037002895,FePb3,2675.26957908022,1767.026105440294
1135_BaIr2,BaIr2,Fmmm,2.783862077291165,BaIr2,4842.002372733877,7310.246453836144
1136_Mo4Pb8,Mo4Pb8,Pnma,0.7113737394934839,MoPb2,2643.602304346122,2457.973115961908
1137_Al4Pb8,Al4Pb8,Pnma,0.1908878355909351,AlPb2,2632.757286237798,1751.096208172944
1138_Au2Mn6,Au2Mn6,Cmcm,0.3285969933139405,Mn3Au,1327.781820834756,1364.45091333561
1139_AuIn8,AuIn8,I4/mmm,-0.0204696799148749,In8Au,2911.544288470116,1823.429222031871
1140_CrRh8,CrRh8,I4/mmm,0.4461490079536613,CrRh8,3194.059218721811,7768.309530150641
1141_AlPd2,AlPd2,I4/mmm,-0.7903348888563736,AlPd2,3019.989221935548,7212.452845968023
1142_InTa3,InTa3,P4/mmm,0.0484760350798882,Ta3In,2474.585216799326,4311.161392961889
1143_Au2As2,Au2As2,P4/nmm,0.2329993076058523,AsAu,1706.232778006607,1826.681060918101
1144_Ce3Sn,Ce3Sn,Pm-3m,-0.5155391190107332,Ce3Sn,7980.499315472546,2769.673764233162
