file_name,formula,space_group,value_per_atom,composition,HHI_P,HHI_R
78_Ni4Sb2,Ni4Sb2,I4_1/amd,0.1770521249294952,Ni2Sb,4513.089031507007,2467.372342009176
79_Ag2Al6,Ag2Al6,I4/mmm,0.0341048023002974,Al3Ag,1371.481189890713,1228.518810109287
80_Ag4Al5,Ag4Al5,I4/mmm,0.0050849121442403,Al5Ag4,1295.27707586497,1304.72292413503
81_Mo2As,Mo2As,Fmmm,0.430459223416058,Mo2As,2652.732517346223,4934.941919388789
82_Al2Sn6,Al2Sn6,Cmcm,0.0934787482373256,AlSn3,2529.572628643349,1557.74357718601
83_IrMn2,IrMn2,I4/mmm,-0.0004295886141948,Mn2Ir,4081.507604162678,6444.873207791678
85_Ni2Sb,Ni2Sb,P4/mmm,0.1209554596631837,Ni2Sb,4513.089031507007,2467.372342009176
86_Ni2Sb2,Ni2Sb2,P4/nmm,-0.0582208439969926,NiSb,5655.739376481684,2782.015190625391
87_AuMn3,AuMn3,Pmmm,0.2960059875718608,Mn3Au,1327.781820834756,1364.45091333561
88_Ag2Al2,Ag2Al2,I4_1/amd,-0.0094356971058457,AlAg,1280.034381616517,1319.965618383483
89_Ba2Ge2,Ba2Ge2,Pmmn,-0.1168555505437622,BaGe,3795.705991893965,2161.616349235832
90_IrSn,IrSn,P4/mmm,-0.0646903528158198,SnIr,4392.797987952156,6236.546520565921
91_V3Br,V3Br,I4/mmm,0.5709922328291892,V3Br,3300.0,4601.67491304245
92_InI,InI,R-3m,-0.3710410919205595,InI,4140.001146769682,3470.002006846943
93_GaGe,GaGe,R-3m,-0.0146410194391521,GaGe,5397.951012552418,1900.0
94_Al2Pd2,Al2Pd2,P4/nmm,-0.7411901811862194,AlPd,2876.387077592522,6584.193464467283
95_Cr2W2,Cr2W2,P4/nmm,0.0864102135558599,CrW,6140.145253419643,4255.904884790752
96_Mn3Sn,Mn3Sn,I4/mmm,0.1853687985945038,Mn3Sn,2018.69451431357,1716.261097137286
97_Ag3Al,Ag3Al,P4/mmm,-0.0385368658765874,AlAg3,1230.78448989198,1369.21551010802
98_Cr3Sn,Cr3Sn,P4/mmm,0.4386852445490596,Cr3Sn,2883.926584183448,3019.632920917239
99_Al2Pd2,Al2Pd2,P4/nmm,-0.7471028637113477,AlPd,2876.387077592522,6584.193464467283
100_Ge3Br,Ge3Br,P4/mmm,0.1809122110204661,Ge3Br,4763.414634146341,3241.463414634146
101_CrW3,CrW3,P4/mmm,0.0537844050765876,CrW3,6663.994398823826,4282.768943529428
102_Cr2Sn2,Cr2Sn2,P4/nmm,0.2075312870777024,CrSn,2752.297135251757,2361.485676258786
103_Fe2Pt,Fe2Pt,P4/mmm,0.98433841365906,Fe2Pt,4371.354808425746,6296.590975767177
104_KSn2,KSn2,I4/mmm,-0.1852067996178531,KSn2,2472.744516366547,2391.811898163702
105_Cr3W,Cr3W,P4/mmm,0.0703150051877337,Cr3W,5209.818399468201,4208.195815357343
107_Cr2Sn2,Cr2Sn2,P4/nmm,0.2026693071890291,CrSn,2752.297135251757,2361.485676258786
108_Fe2Pb2,Fe2Pb2,Cmcm,0.4067883133950829,FePb,2636.309376722614,1715.079168963485
109_V2Br2,V2Br2,P4/nmm,-0.1510803872846198,VBr,3300.0,5537.360474758399
110_Cr4Rh,Cr4Rh,I4/mmm,0.6478040969868033,Cr4Rh,3133.100303354982,5390.911830844296
111_AgAl3,AgAl3,P4/mmm,-0.0152064934718052,Al3Ag,1371.481189890713,1228.518810109287
112_VBr3,VBr3,P4/mmm,-0.2619159193614142,VBr3,3300.0,6286.571123347903
115_CrRh2,CrRh2,I4/mmm,-0.0464562337250219,CrRh2,3179.831393316941,7213.424339360708
116_Ba2Ge2,Ba2Ge2,Cmcm,-0.5915835598114554,BaGe,3795.705991893965,2161.616349235832
117_Mn2Sn,Mn2Sn,I4/mmm,0.2038638021403187,Mn2Sn,2119.322938679252,1696.135412264149
118_CrTa,CrTa,F-43m,2.66607583354954,TaCr,2478.570315489587,4643.750973946611
120_Cu8Fe16,Cu8Fe16,Fd-3m,0.325100666679899,Fe2Cu,2109.895227008149,1436.263096623981
121_Fe12W12,Fe12W12,Pbcm,0.1591388106529313,FeW,5928.230802928844,3624.31941923775
122_Na2Pt,Na2Pt,P4/mmm,-0.1094687629154324,Na2Pt,4660.760806580271,7459.668849225076
123_WP,WP,F-43m,0.5181687470777128,PW,6279.055454556957,4415.351127270887
124_PbV3,PbV3,Fm-3m,0.3868962014052073,V3Pb,2954.690166919196,2479.173778451189
126_Ta4Ge2,Ta4Ge2,I4_1/amd,0.5502794154585248,Ta2Ge,2801.500728041347,4315.215962893365
127_Ge4As2,Ge4As2,Pnnm,0.2688744583085179,Ge2As,4619.518114309796,2614.505979974714
128_As4Br2,As4Br2,I4_1/amd,0.1886815862388336,As2Br,3300.0,5008.593793526102
129_InPt,InPt,Fm-3m,-0.2747187912913738,InPt,4684.904905421714,6469.465831133713
130_GaP,GaP,Pm-3m,0.2827077846157659,GaP,4423.419533589372,2884.302140718288
131_NiSn,NiSn,P-6m2,-0.1266843635676862,NiSn,2070.64464378924,1566.915290236828
132_Au2In4,Au2In4,Pnnm,-0.1418995868927499,In2Au,2284.23853185938,1538.290241754264
134_Au4Sr16,Au4Sr16,I-43m,-0.1130436182400256,Sr4Au,3084.646651425082,2280.417194467795
135_Pt8Sn4,Pt8Sn4,I4_1/amd,-0.3379489042611444,SnPt2,4823.4940398288,7350.415620246897
136_Cu6Pt4,Cu6Pt4,P1,-0.1196874372681321,Cu3Pt2,4219.902686955713,6605.451389964978
137_Au3P,Au3P,Immm,0.2305156716459713,PAu3,1144.826459383814,1204.209426081819
