file_name,value_per_atom,space_group
5_MoSm,0.5114126186332761,R-3m
6_Sn17P12,0.2150613449970501,I-43m
7_Sr6Br4,-1.1913767863029878,R-3c
12_InSn5,0.0003555562973946,Cm
15_CuNb,0.2119333832970964,P4/mmm
18_InSn5,-0.0004405329807042,Cm
22_RhGe3,-0.0905160589754983,Imm2
24_Cu2Ga2,-0.0461503759196872,Pmma
26_PtSm,-1.2893512592068015,Pm-3m
35_Ag4Sn8,0.0393953092254234,I4_1/amd
39_CrTa3,0.0265847358564226,Immm
40_Al2Rh,-0.7879958682286438,I4/mmm
42_Au2P,0.3033008734032615,I4/mmm
44_NiPt,-0.0435195877614695,P-6m2
45_CaRh2,-0.0716643596461175,I4/mmm
46_Cr3Sr,0.7330921242841102,P4/mmm
53_NiRh,0.0437963995323711,P-6m2
65_Al4P2,0.0048209866646065,I4_1/amd
67_Ac3Yb,0.0483534304371855,Fm-3m
69_FeP,-0.053819012798443,R-3m
81_Mo2As,0.430459223416058,Fmmm
85_Ni2Sb,0.1209554596631837,P4/mmm
86_Ni2Sb2,-0.0582208439969926,P4/nmm
99_Al2Pd2,-0.7471028637113477,P4/nmm
104_KSn2,-0.1852067996178531,I4/mmm
105_Cr3W,0.0703150051877337,P4/mmm
114_CrNb3,0.0723080494381864,Immm
118_CrTa,2.66607583354954,F-43m
124_PbV3,0.3868962014052073,Fm-3m
132_Au2In4,-0.1418995868927499,Pnnm
138_Ge2As4,0.1196947121736281,Pnnm
142_Ce12Ga8,-0.4472578612747064,P4_2/mnm
151_Ir2Mo4,0.2558778878110732,Pnnm
178_SrW2,3.2276063672278554,Fm-3m
184_W3Sb,0.6142879079802093,Fm-3m
189_CaW2,0.6406378987075527,I4/mmm
192_Ir3V,-0.0203825605630481,P4/mmm
194_Al12Pb12,0.2570537015373606,Pbcm
198_K8P4,-0.0861383471739086,Pnma
200_CsW,2.392753487086816,P-6m2
205_Ir3Mn4,0.0216022662820246,I4/mmm
207_CrRh3,-0.0699913797349944,I4/mmm
211_WSb,0.5521977096633099,P-6m2
219_Ag4Al2,0.0373786797866924,I4_1/amd
225_AlPd2,-0.7917135539533374,I4/mmm
230_Cu7Pt5,-0.1185395596556523,P1
231_Ba3Ir,0.3315548688782104,Pm-3m
233_Ag6Al6,-0.0259394001015677,Cmm2
235_PAs3,0.5081874789383827,Fm-3m
241_CrTa,2.5070367353222007,F-43m
246_WSb,0.6402363637939983,Pm-3m
253_Cu3Ge4,0.2297082476966535,I4/mmm
258_Cr5Nb,0.1469112927238486,F-43m
262_BaBr3,-1.4692358460725734,P4/mmm
264_Cr4P,0.722891464014863,Im-3m
267_CrP7,0.6510238187764203,Fm-3m
269_SnP3,0.5314056150159168,Fm-3m
270_FeNa,2.2341407373912583,Fm-3m
275_V4W4,0.2378765211926374,Pnma
276_K5Ge,0.1171544290501849,Amm2
295_Fe2Pb,1.38281204978178,Fm-3m
303_Sb3Ge,0.2660213422478197,Immm
304_AlCu5,-0.1362652104227132,Cmmm
306_Na2Pt2,0.0534883309573936,P4/nmm
317_Fe4W2,0.6376702269705253,I4/mcm
328_Ba2In,-0.3119255525568878,I4/mmm
329_SnTa,1.464329287677855,F-43m
331_VW2,-0.0937538236216634,I4/mmm
333_K2P2,-0.4201608338771931,Cmcm
335_Cu3Sb,0.1292163677066637,Fm-3m
346_Ni4Rh8,0.0535778871675454,Pnma
347_SmTa,0.266372281515423,P-6m2
358_SbGe,0.3136889612467888,Cmmm
360_Au3Cr,0.0727205118778444,P4/mmm
362_Au6Ga10,-0.0879386703295863,I4/mcm
363_Nb8P,-0.147451398258034,I4/mmm
