file_name,formula,space_group,value_per_atom
626_AgAl2,AgAl2,I4/mmm,0.0462782463932066
627_AuIr,AuIr,F-43m,1.8220014981525097
629_AlP,AlP,P4/mmm,0.0679904561148392
634_Al2Th4,Al2Th4,I4/mcm,-0.2472460955980153
637_KAs2,KAs2,I4/mmm,-0.2475392953244745
644_Al2Pt2,Al2Pt2,Imma,-0.9206056344885516
650_Mo5P24,Mo5P24,I-43m,0.4231915241768708
652_AlP4,AlP4,I4/m,0.0369338508014443
653_NaP,NaP,P-6m2,0.1240933747896404
658_AgAl5,AgAl5,P4/mmm,-0.0043263235933051
661_CrTh,CrTh,P-6m2,0.7174677879494853
662_AgAl2,AgAl2,Immm,0.0076579922915721
685_Pt2Sn2,Pt2Sn2,I4_1/amd,-0.2274748906173247
691_AgNi2,AgNi2,Immm,0.2273391932782319
692_Fe2Mo,Fe2Mo,Fm-3m,0.8089052993960735
693_Mo7P,Mo7P,Fm-3m,0.2919101955614458
694_AsBr3,AsBr3,P4/mmm,0.507192221287605
698_TaGe2,TaGe2,I4/mmm,-0.1885119228950221
708_Fe4Pd8,Fe4Pd8,Pa-3,0.8340075111538189
712_PtSb3,PtSb3,P4/mmm,0.0037757119550514
718_AgGe5,AgGe5,Cmmm,0.2757923473918933
720_GaPt4,GaPt4,Im-3m,0.1320540703884518
721_AgMn3,AgMn3,P4/mmm,0.5190592754356258
725_SrV,SrV,P-6m2,1.1938333385077635
728_FeBr3,3-Feb,Fm-3m,0.3130408727754359
729_CrNb,CrNb,Pm-3m,0.0704811032511401
735_CrSr3,CrSr3,P4/mmm,0.4019539081751229
736_Cr2Nb4,Cr2Nb4,Fd-3m,0.7428867004486825
739_Ag2Ta4,Ag2Ta4,Fd-3m,0.5628349412683527
746_GaAs2,GaAs2,I4/mmm,0.1942717367305538
750_Cr2As4,Cr2As4,I4_1/amd,0.1067575780174448
759_P4Br16,P4Br16,I-43m,0.0475859620767529
760_Cr26Nb2,Cr26Nb2,Fm-3c,0.3761024021291713
761_CuMo,CuMo,P-6m2,0.34300430186188
763_PbAs3,PbAs3,Immm,0.2528127421578459
778_NaPb,NaPb,P-6m2,-0.1123338049140905
781_Ir2V,Ir2V,I4/mmm,-0.1910433153192225
793_PdRh2,PdRh2,P4/mmm,0.8060997154070506
808_In5Ta3,In5Ta3,Cmmm,0.274984929722831
810_Cu3K,Cu3K,Pm-3m,0.7647491590705378
814_Ag8Mn,Ag8Mn,I4/mmm,0.1166144529993648
818_Ga3W,Ga3W,P4/mmm,0.2579364782583191
824_Nb2W,Nb2W,Immm,0.4045436001845151
831_Ag4Ge12,Ag4Ge12,Pnma,0.2482454616969152
835_Ag3Br,Ag3Br,Immm,0.1339256805882671
840_Cu2Ge,Cu2Ge,I4/mmm,0.1278837745665371
845_Ni3Sb,Ni3Sb,Fm-3m,-0.2230025413726162
921_Cr4P8,Cr4P8,Pa-3,0.1722750167158722
929_GeP3,GeP3,Immm,0.3912980832327397
937_V4Br2,V4Br2,I4_1/amd,0.602972819729254
941_FeIn,FeIn,P-6m2,0.331680491258254
961_PaSr,PaSr,R-3m,0.428211552056168
965_Cr3Sr,Cr3Sr,P4/mmm,0.7469061432395261
972_NiP4,NiP4,I4/mmm,0.2320048088897643
974_AgMn8,AgMn8,I4/mmm,0.3058372083905188
992_K3Na,K3Na,P4/mmm,0.0077935929563961
995_Cu2Ge4,Cu2Ge4,I4_1/amd,0.1934571634987148
996_AuCr2,AuCr2,I4/mmm,0.3190157135225651
997_Ga3W,Ga3W,P4/mmm,0.2291023504900202
1003_InSb,InSb,P4/mmm,0.0411974551286244
1020_MoV4,MoV4,I4/mmm,0.5635547788826841
1021_Ni3Sb,Ni3Sb,P4/mmm,0.032134307323318
1022_SmGe5,SmGe5,Immm,-0.6336399568411982
1023_Ac4I6,Ac4I6,R-3c,-1.1254737931145116
1030_CrNb2,CrNb2,Fmmm,0.1022690800026554
1039_Nb2P2,Nb2P2,P4/nmm,-0.0587182743692746
1049_Fe4V2,Fe4V2,Cmcm,0.1077950162773397
1054_Sr16W4,Sr16W4,I-43m,1.1537662752830578
1059_Ir18Mo6,Ir18Mo6,Pmmn,-0.2434333486468745
1061_AgNa2,AgNa2,I4/mmm,0.0057255469738176
1064_EuU,EuU,Fm-3m,1.3282505515044436
1066_Ag2Na4,Ag2Na4,I4/mcm,-0.0624964469345152
1079_AuGa,AuGa,F-43m,0.0772690096115358
1081_Fe3Na,Fe3Na,Pm-3m,0.7214530138825488
1083_Ba3Ta,Ba3Ta,P4/mmm,0.8554577806908497
1084_Fe3Pb,Fe3Pb,I4/mmm,0.4081851932579479
1085_Fe4As6,Fe4As6,Fdd2,0.0774651105346301
1087_Fe2Pb2,Fe2Pb2,P4/nmm,0.2934461841775402
1088_NaPt4,NaPt4,Im-3m,0.9276235444384432
1090_Al3K,Al3K,Fm-3m,0.3997707114694173
1098_Pt2Sn2,Pt2Sn2,P4/nmm,-0.0398088134136793
1099_AuU,AuU,Fm-3m,0.1006976759970168
1106_SnW,SnW,F-43m,1.9705389854412072
1110_Ag6V10,Ag6V10,I4/mcm,0.5632138098158901
1116_Ir2Ta4,Ir2Ta4,Imma,0.1685092472094496
1123_Au8Mn4,Au8Mn4,Pnma,-0.03722282827629
1134_Fe2Pb6,Fe2Pb6,Cmcm,0.7930030037002895
1137_Al4Pb8,Al4Pb8,Pnma,0.1908878355909351
1139_AuIn8,AuIn8,I4/mmm,-0.0204696799148749
1143_Au2As2,Au2As2,P4/nmm,0.2329993076058523
1148_As4Br,As4Br,I4/mmm,0.0474093206841274
1155_Ca3Pb,Ca3Pb,Pmm2,-0.3742175042414386
1161_AuMo,AuMo,F-43m,2.2015380882334377
1164_Ba4Cu2,Ba4Cu2,Cmc2_1,0.0391115110717175
1168_Pb5Sr24,Pb5Sr24,I-43m,0.0469595991761585
1169_Cu6Pt5,Cu6Pt5,P1,-0.133328817054783
1175_Ba5Pd,Ba5Pd,Amm2,-0.0416080374204114
1180_Mo3W,Mo3W,P2/m,-0.0004325140166905
1181_MoPb5,MoPb5,Amm2,0.463974806041629
1185_AsBr,AsBr,Pm-3m,0.606413846195041
1205_PAs3,PAs3,Pm-3m,0.6237256083686127
1209_Ag4Al,Ag4Al,Immm,-0.0270003615448651
1222_K5Ge,K5Ge,Amm2,0.115353885773028
1228_Mn2V2,Mn2V2,P4/nmm,0.0580102388124679
1236_Ag2Ge4,Ag2Ge4,Pnnm,0.2981145380044309
1238_Cr2Ta2,Cr2Ta2,P4/nmm,0.0607414872424509
1242_CrAs3,CrAs3,I4/mmm,0.6062406563238731
1246_Al3Cu5,Al3Cu5,Cmmm,-0.2072909856782967
1249_AuNb3,AuNb3,Immm,-0.0157210614419369
1254_P8Br16,P8Br16,Fd-3m,0.5215730473216924
1255_Ga4W,Ga4W,I4/mmm,0.5111326559478918
1256_Ag2Ge2,Ag2Ge2,Cmme,0.1947644454814843
1258_AgBr3,AgBr3,Cmmm,0.0322776735988974
1261_FePb3,FePb3,Pm-3m,0.8225211552662088
1263_Ni2P4,Ni2P4,I4/mcm,0.0238628367824442
1264_Sb4Ge2,Sb4Ge2,Cmcm,0.1172749535292852
1269_PdSn3,PdSn3,Cmmm,-0.2541301370193132
1272_Ba6Ga2,Ba6Ga2,Cmcm,-0.07673025911448
1273_Ag2Mn4,Ag2Mn4,I4/mcm,0.6947248627524445
1278_CrNb3,CrNb3,I4/mmm,0.2586689314898542
1283_CaNi5,CaNi5,P6/mmm,-0.1108199941880911
1287_Nb3Sn,Nb3Sn,Pm-3m,-0.1626790395041961
1289_Bi16I4,Bi16I4,C2/m,-0.1405454727266878
1291_Al5Sb,Al5Sb,Cmmm,0.1330706441740492
1294_Au3Ga,Au3Ga,I4/mmm,-0.0748055552389126
1298_Al12K12,Al12K12,Pbcm,0.3068203356212556
1312_PtSb3,PtSb3,P4/mmm,0.0018055570048129
1352_Fe4Pt8,Fe4Pt8,I4_1/amd,-0.2230040031542503
1354_V3Br,V3Br,P4/mmm,0.2459976949128535
1384_VBr3,VBr3,P4/mmm,0.6187073980676105
1391_PdTa2,PdTa2,I4/mmm,-0.0609986808037371
1392_GaNb,GaNb,R-3m,-0.1452180837217334
1400_VBr2,VBr2,I4/mmm,-0.4096795574544997
1401_Ir2Na2,Ir2Na2,Pmmn,0.2327297864083446
